src,dst
82,1322
591,475
1555,842
464,380
806,481
583,915
1589,57
491,1634
180,495
1550,1113
113,577
1037,1316
50,358
918,910
961,358
1424,816
278,451
1175,1191
47,5
1164,1103
1414,1191
323,65
217,1063
1059,917
54,497
161,501
1454,609
459,57
194,7
274,51
1077,1318
289,594
1307,483
89,356
1334,910
1007,61
821,350
1141,591
1581,499
147,465
853,861
1329,1061
173,597
844,1634
531,591
1071,505
34,856
1036,350
519,856
1530,1634
530,1086
1064,451
1506,609
1055,380
1057,63
23,1108
148,1360
1289,57
1650,352
871,1429
196,1113
171,590
607,842
856,342
52,1318
465,499
39,597
329,350
946,4
1425,894
1389,369
383,910
180,1108
254,6
1430,453
428,1309
1143,1316
547,919
1530,475
1456,491
136,325
1262,441
47,861
1373,1084
85,479
945,602
94,471
80,457
1316,55
555,1191
319,1108
307,475
584,449
1647,606
606,1428
1332,463
66,495
434,51
70,5
1141,917
1137,894
161,362
1622,501
547,866
1548,350
888,473
1027,471
1633,325
1101,495
949,856
308,325
1274,816
354,449
141,866
964,1086
216,55
126,873
1558,839
811,461
939,1634
165,590
99,861
1177,467
140,465
960,1613
1020,1206
206,839
931,901
1170,1634
1550,1316
113,505
538,455
1365,59
1464,933
134,1206
1626,369
375,344
157,499
925,897
88,839
953,53
445,1204
323,569
1205,485
267,5
1449,455
962,592
1318,1090
90,1318
496,1084
288,839
1422,1427
1077,842
330,1320
1132,465
169,842
1615,1375
586,325
1393,1086
41,63
516,915
1363,6
438,606
863,1204
429,873
1010,894
1470,861
1085,57
961,350
180,7
1053,63
1182,1206
1045,5
1016,933
1431,816
534,369
2,931
866,592
929,1063
1160,1322
1562,481
1338,459
1104,461
156,5
165,63
995,459
1336,6
1007,868
1174,505
367,493
160,481
229,1479
1322,1084
478,461
1156,369
1006,856
1009,7
843,1084
281,325
1148,2
358,1429
1184,842
207,493
281,497
942,1113
1086,499
1433,915
1156,917
1551,839
1148,1108
183,1375
258,7
870,441
1064,1206
183,57
806,491
461,1320
13,65
1026,473
939,591
1292,477
815,1088
914,505
519,933
432,1084
1482,512
1551,55
1311,57
80,479
315,477
867,839
1624,325
911,505
942,1578
85,1204
1389,897
11,503
150,856
538,569
863,369
1127,489
1591,467
501,866
1270,487
494,369
219,481
1093,501
19,5
201,897
1334,1634
231,57
268,866
549,459
911,1084
1106,463
1180,451
1554,465
1207,477
311,475
1188,55
1338,369
377,569
327,453
327,1613
1104,1063
1065,65
1181,485
151,59
1178,449
653,479
1030,475
914,1088
1450,465
1033,1063
578,57
911,910
594,325
1092,839
1143,1578
846,457
126,53
1298,915
895,1103
1561,856
214,369
1016,352
313,350
1413,475
1167,475
31,459
1049,1517
956,1088
193,477
894,602
76,455
1545,2
1495,842
539,1191
129,1206
106,350
295,1067
146,65
1399,473
1079,1113
286,55
1613,467
1038,894
1517,362
986,6
974,1627
112,342
893,369
1359,590
221,479
805,483
1619,1191
469,1088
1515,917
454,1578
521,369
301,1318
1457,483
935,1375
1339,917
917,1375
984,53
1035,6
1412,1479
1127,1108
840,6
167,380
562,483
1047,1090
39,1613
899,915
261,1191
1130,65
453,342
1514,360
1582,499
1366,816
148,842
169,489
1436,1613
1634,346
1024,352
874,897
748,485
1279,1479
19,325
1227,501
1393,57
1192,55
1203,59
969,606
1620,1084
315,1113
1116,352
512,61
1588,380
533,1322
1095,2
307,894
865,459
1119,1627
970,1428
1014,505
1309,917
108,380
238,501
510,512
822,1063
1568,816
98,53
911,579
746,364
1045,495
1555,1428
842,1517
477,459
691,915
218,609
1644,441
1222,59
1034,4
853,487
1391,1517
111,602
379,489
330,901
602,457
863,491
1092,551
15,1206
1328,342
48,606
261,441
33,4
380,1322
950,577
329,931
514,65
493,861
1153,602
1476,369
1078,1086
1616,579
1576,465
1415,1613
1129,2
134,461
155,63
592,453
1010,1088
887,453
494,346
574,65
1319,369
1073,596
1190,1191
1268,481
1103,1191
109,512
207,346
1279,901
1284,63
97,473
1148,1428
537,451
1296,816
602,495
36,451
312,501
542,346
905,910
431,477
836,1427
1190,53
465,1206
1513,457
890,53
1162,1429
721,481
886,491
1261,470
464,1479
978,485
508,57
966,596
1335,1113
539,325
438,495
1110,473
1139,342
144,477
146,1067
1521,894
991,479
1034,1429
1095,609
858,1113
933,816
1271,501
464,1113
1070,369
591,473
1057,1320
478,579
694,369
615,897
101,342
479,55
316,475
91,473
94,449
917,915
1432,1627
81,1479
104,594
1606,917
118,467
937,897
19,868
1635,1065
1532,569
1214,591
1133,1063
1468,1634
803,473
464,7
1398,901
114,1204
529,489
145,493
1047,1191
984,1191
1179,356
1180,7
219,59
1340,866
275,1061
257,894
1276,360
557,485
190,63
1092,1613
914,1316
1534,1627
1629,861
891,325
1290,1428
934,350
620,894
925,477
852,369
1600,470
1354,497
1654,1360
9,1103
1530,1063
1473,592
144,463
804,7
1269,59
947,489
352,362
206,1316
863,594
1066,839
981,459
62,325
155,1322
1422,606
1447,917
1479,1375
46,369
121,350
95,579
1369,441
198,4
1237,473
945,606
254,499
1141,441
1007,1090
1465,495
821,63
1518,449
1365,602
489,816
1169,1204
1165,473
1572,57
1532,65
900,352
1289,597
942,602
211,1360
605,606
1109,1375
579,497
54,579
1452,457
453,1375
117,461
271,917
885,591
1208,910
931,477
1010,493
936,1113
226,441
889,1090
1072,453
1519,897
1172,459
1638,1103
529,816
1414,577
286,1063
811,897
430,597
1052,342
55,463
866,1309
850,596
1168,65
852,1108
128,919
884,868
1185,1088
310,7
1191,465
264,499
809,861
1156,1479
1118,901
985,441
305,569
1479,842
973,868
1504,59
372,489
1011,65
471,477
288,501
1139,1375
986,358
899,63
295,61
985,868
69,59
481,4
1185,1191
502,1309
371,1428
1107,1063
984,592
835,856
303,606
1192,497
1141,441
1184,342
257,917
350,1113
1071,344
2,1206
222,350
1475,592
866,897
600,457
16,1613
356,606
1215,1088
920,1578
72,856
1266,6
40,1088
525,866
147,358
352,596
208,501
476,1479
387,457
871,1427
1098,861
1267,487
951,53
841,591
114,360
366,1204
553,1322
115,4
891,1113
160,931
1227,1427
126,512
994,51
965,51
1157,53
566,53
346,481
565,592
34,6
153,606
1178,470
1564,931
1091,1517
856,873
92,1113
141,463
1520,354
95,467
1152,63
42,1316
933,358
1520,483
1563,597
865,1428
264,873
281,497
555,1613
837,1316
128,910
1218,917
899,1084
1502,901
805,471
722,59
539,63
491,1309
183,591
1555,459
1082,861
817,63
1248,455
127,461
574,602
637,461
1590,7
1628,1065
224,1322
809,592
1038,449
104,473
1096,1103
908,1090
524,842
549,1090
1565,591
183,346
1549,1613
585,470
75,816
95,489
1549,461
1072,479
973,487
1227,551
905,1375
978,1191
520,917
609,344
1340,1086
1411,53
56,597
593,933
1073,369
449,4
147,483
875,352
967,358
73,512
1215,441
571,497
844,1088
99,1067
816,897
170,455
1532,483
1082,455
102,505
927,65
330,65
513,1067
1418,917
1374,5
998,479
13,591
329,861
1653,868
70,861
351,441
1198,1063
1323,455
153,569
387,350
948,933
1127,551
1011,868
9,1067
42,839
450,354
1292,352
1003,1067
355,590
116,491
1211,497
296,1316
162,1090
233,816
1468,590
68,471
239,362
845,470
1173,1113
865,59
883,1090
906,441
1151,459
277,606
552,816
1591,1320
1013,364
1589,1086
1012,51
54,2
1113,369
284,457
1247,451
183,856
357,364
1528,1318
696,499
1337,485
287,1206
1217,856
822,350
184,475
1128,63
1324,1206
944,1065
1166,590
833,602
68,1318
1159,590
125,477
1037,457
1126,594
1101,449
355,596
1644,53
1353,4
1411,5
1298,1479
1020,901
962,6
302,915
1164,55
1559,1429
905,933
193,866
260,459
1046,455
1472,380
581,477
567,1427
264,503
879,479
980,360
531,358
821,1108
1332,65
1142,1479
127,356
1356,477
1543,358
1434,1316
1034,596
1564,459
1559,497
248,352
1151,471
834,1322
260,842
586,933
896,449
502,1061
561,1479
25,352
816,1086
440,493
1622,6
904,592
914,51
1127,470
538,577
541,467
155,346
378,1375
539,606
455,1322
432,465
581,342
366,1427
1104,590
1078,594
987,463
1063,356
492,4
64,579
192,894
1003,459
931,55
883,364
638,1613
213,1320
1315,473
27,901
309,1427
286,901
185,471
1502,1428
553,579
1144,346
1050,917
1179,467
165,356
926,354
1549,344
1272,57
1501,346
619,463
265,816
1357,453
585,5
1358,346
363,497
290,1517
1128,489
1096,1061
1543,512
47,497
305,485
620,1090
1635,467
1318,569
531,1088
59,894
1611,1479
1020,463
1466,591
894,897
1554,1063
1533,483
927,364
78,455
1064,816
27,1427
1578,455
1512,459
355,346
944,1428
1357,455
94,360
1610,919
476,1578
469,465
378,352
73,1428
961,596
158,489
1277,455
1186,606
1275,457
53,451
1337,1090
233,467
459,1320
886,362
1140,356
59,356
439,910
1361,360
1579,1191
1605,1360
1217,344
1264,1084
1544,1318
184,479
870,919
140,873
1470,579
1004,577
452,481
476,475
1027,512
643,1427
287,453
103,503
11,931
1329,449
1052,1084
442,1204
472,1113
475,369
1340,1113
0,894
220,577
999,1316
1450,569
569,1309
593,364
144,51
1070,1067
582,1318
276,919
481,461
969,342
1310,354
1373,1428
430,344
1089,501
480,499
1634,1103
985,350
1041,499
852,606
810,463
595,467
936,61
1274,915
1063,861
33,1318
259,915
567,901
1578,569
132,1191
1321,59
1135,1088
1297,577
1509,1088
1610,487
1353,933
104,1375
1375,463
1043,861
1555,1578
1614,1090
1317,1061
1521,931
934,1084
943,897
1149,51
455,897
902,342
1428,868
1307,917
480,894
993,453
13,1479
1423,606
345,356
1323,358
1280,358
1567,1103
94,594
1248,449
874,487
522,1479
85,1316
1505,2
909,917
1413,591
186,457
1576,915
1375,463
941,441
1496,1309
271,473
238,866
12,856
934,65
239,364
242,1206
444,325
203,1309
73,1316
1418,65
1203,491
506,453
817,861
357,59
271,868
1074,1103
8,1103
553,873
935,479
1468,842
77,380
1229,1090
902,461
61,1063
804,1429
202,577
1126,473
992,499
997,1578
1613,933
49,512
928,842
1141,51
1136,493
0,495
96,596
1574,602
286,505
1020,489
1034,493
25,931
1161,57
609,1084
1635,7
1268,51
1279,933
125,467
1313,1479
874,55
1518,63
858,1088
888,360
1005,449
588,512
353,441
883,475
1022,577
972,1429
263,55
877,451
91,356
495,1634
67,1613
311,497
1102,481
202,475
295,4
1603,1309
452,894
1360,4
1049,1067
487,1578
1056,1063
1355,910
1420,1517
257,65
265,1375
1026,491
216,1206
1434,1063
1203,1634
533,501
885,1061
835,479
152,467
1294,1061
12,861
309,471
483,473
193,473
997,55
271,61
278,1578
602,342
1644,441
856,1375
1182,861
230,1316
379,479
213,594
489,609
562,839
1329,354
983,344
214,1088
345,1316
61,346
207,915
188,483
1294,1627
1110,505
267,352
999,7
876,344
1628,577
876,485
1360,489
1265,866
1388,57
1050,489
890,1191
282,499
44,59
1180,1191
1653,1067
1222,1320
804,1067
1615,842
1447,931
1468,57
1533,63
1193,606
1230,1578
253,1204
493,868
35,597
1474,1063
193,873
21,55
469,449
900,499
968,910
1317,1316
1600,356
265,1067
1190,453
13,2
875,1309
212,489
290,1627
515,325
1160,606
566,868
54,499
947,1613
1450,325
619,55
379,65
1094,485
696,1320
1151,487
913,53
1569,1206
17,497
1579,897
1417,856
1165,505
453,590
1455,919
1616,1320
1590,354
850,5
310,473
450,602
