src,same_file,jaccard_val,dst
807,1,-1,325
1511,0,-1,479
668,1,-1,453
831,1,-1,919
671,1,-1,1318
401,1,-1,501
1537,0,0.0,6
1597,0,-1,497
794,0,0.0,1360
400,1,-1,1063
786,1,0.0,577
1380,0,-1,1309
618,0,0.0,1479
1583,0,-1,59
718,1,-1,856
1438,0,-1,63
413,0,0.0,1479
706,0,0.0,7
1396,0,-1,350
798,0,-1,65
727,1,-1,501
679,1,-1,503
626,0,-1,59
622,1,-1,931
784,1,-1,467
682,1,-1,1309
250,1,-1,63
1302,1,-1,897
408,0,0.0,5
733,1,-1,453
724,1,-1,901
1386,0,0.0,1517
421,1,-1,917
1386,0,-1,897
801,0,0.0,1375
392,0,-1,65
814,1,-1,866
735,1,-1,459
664,0,0.0,7
1403,0,-1,455
447,1,-1,479
1490,0,-1,551
179,0,-1,1191
665,0,0.0,4
1535,0,-1,461
668,1,-1,451
633,0,-1,53
406,1,-1,360
446,1,-1,483
668,1,0.0,816
864,1,-1,449
665,1,-1,441
626,0,0.0,2
1652,0,0.0,1578
1441,0,-1,475
423,1,-1,457
751,1,0.0,577
1246,0,0.0,1375
802,1,0.0,606
1249,1,-1,1206
789,1,-1,1206
723,0,0.0,1375
780,1,0.0,597
139,0,-1,483
424,1,-1,493
712,1,-1,342
636,0,-1,61
1146,1,-1,1063
784,1,-1,1309
283,0,-1,842
791,0,-1,65
772,1,-1,551
391,1,0.0,579
807,0,0.0,1428
626,1,-1,1309
1471,0,-1,1204
736,1,-1,1309
139,0,0.0,1578
1234,1,-1,1063
1467,0,0.0,609
818,0,0.0,1428
389,0,-1,55
1243,1,-1,1063
829,1,-1,344
1467,1,0.0,1427
1312,1,0.0,816
340,1,-1,479
689,1,-1,455
1645,0,-1,487
427,1,-1,453
659,1,-1,364
719,1,-1,342
818,1,-1,1316
648,1,-1,1084
702,1,-1,344
714,1,-1,489
710,1,-1,350
864,1,-1,505
697,1,0.0,596
270,0,0.0,1360
715,1,-1,1065
1254,1,-1,470
1344,1,-1,369
673,1,-1,1206
786,1,0.0,816
448,1,-1,457
749,1,-1,463
655,0,0.0,1428
1484,0,-1,499
407,1,-1,360
1239,1,-1,1113
633,1,-1,915
776,0,0.0,6
613,1,-1,477
790,1,-1,467
386,1,-1,449
1300,1,-1,910
760,0,-1,61
688,1,-1,344
1342,1,-1,352
744,1,-1,441
422,1,-1,358
1379,0,-1,897
1254,1,-1,491
204,0,0.0,1428
1343,1,-1,919
634,1,-1,489
708,1,-1,485
668,1,-1,1204
655,1,-1,491
324,0,0.0,1375
1385,0,-1,868
447,1,-1,861
1115,1,-1,441
740,0,-1,1634
720,0,0.0,1375
1233,0,0.0,1427
446,1,-1,873
715,0,0.0,6
1535,0,-1,51
406,1,0.0,569
684,1,-1,360
1538,0,-1,354
679,1,-1,839
727,1,0.0,590
1241,1,-1,461
1541,0,-1,1113
725,0,-1,65
754,1,-1,1191
610,1,-1,917
1490,0,-1,461
770,1,-1,467
427,1,-1,350
1239,1,0.0,602
711,1,0.0,590
1384,0,-1,897
616,1,-1,894
634,0,-1,55
1442,0,0.0,597
772,1,0.0,577
331,1,-1,1318
1244,1,-1,483
790,1,-1,512
399,1,-1,503
1234,1,0.0,816
1489,0,-1,51
300,0,0.0,592
270,0,0.0,602
179,0,-1,342
1536,0,-1,487
1305,1,-1,485
730,1,-1,512
1486,0,-1,1067
706,0,0.0,6
802,1,-1,915
418,1,0.0,380
636,1,-1,1108
1380,0,-1,1634
1325,1,-1,364
756,1,-1,501
686,1,-1,487
1257,1,-1,1061
697,1,-1,861
660,1,-1,356
341,1,-1,501
706,1,-1,369
1405,0,-1,931
669,1,0.0,569
729,0,0.0,1360
1421,0,-1,451
1652,0,-1,344
623,1,-1,483
700,1,-1,364
657,1,-1,362
1255,0,0.0,1613
714,1,-1,1309
785,0,0.0,1479
686,0,-1,65
426,0,0.0,1517
