id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,336,1,packages\eventemitter3\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,3,0,4,17,packages\eventemitter3\index.js,1,1
4,FunctionDeclaration,nan,-1,0,0,13,0,13,20,packages\eventemitter3\index.js,1,2
5,IfStatement,nan,-1,-1,-1,22,0,30,1,packages\eventemitter3\index.js,1,3
6,FunctionDeclaration,nan,-1,3,0,41,0,45,1,packages\eventemitter3\index.js,1,4
7,FunctionDeclaration,nan,-1,5,1,58,0,71,1,packages\eventemitter3\index.js,1,5
8,FunctionDeclaration,nan,-1,2,0,80,0,83,1,packages\eventemitter3\index.js,1,6
9,FunctionDeclaration,nan,-1,0,0,92,0,95,1,packages\eventemitter3\index.js,1,7
22,IfStatement,nan,-1,-1,-1,334,0,336,1,packages\eventemitter3\index.js,1,8
24,Identifier,Events,-1,-1,-1,13,9,13,15,packages\eventemitter3\index.js,1,9
26,BlockStatement,nan,-1,-1,-1,13,18,13,20,packages\eventemitter3\index.js,1,10
27,BlockStatement,nan,-1,-1,-1,22,19,30,1,packages\eventemitter3\index.js,1,11
28,MemberExpression,nan,-1,-1,-1,22,4,22,17,packages\eventemitter3\index.js,1,12
29,Identifier,EE,-1,-1,-1,41,9,41,11,packages\eventemitter3\index.js,1,13
30,Identifier,fn,-1,-1,-1,41,12,41,14,packages\eventemitter3\index.js,1,14
31,Identifier,context,-1,-1,-1,41,16,41,23,packages\eventemitter3\index.js,1,15
32,Identifier,once,-1,-1,-1,41,25,41,29,packages\eventemitter3\index.js,1,16
34,BlockStatement,nan,-1,-1,-1,41,31,45,1,packages\eventemitter3\index.js,1,17
35,Identifier,addListener,-1,-1,-1,58,9,58,20,packages\eventemitter3\index.js,1,18
36,Identifier,emitter,-1,-1,-1,58,21,58,28,packages\eventemitter3\index.js,1,19
37,Identifier,event,-1,-1,-1,58,30,58,35,packages\eventemitter3\index.js,1,20
38,Identifier,fn,-1,-1,-1,58,37,58,39,packages\eventemitter3\index.js,1,21
39,Identifier,context,-1,-1,-1,58,41,58,48,packages\eventemitter3\index.js,1,22
40,Identifier,once,-1,-1,-1,58,50,58,54,packages\eventemitter3\index.js,1,23
42,BlockStatement,nan,-1,-1,-1,58,56,71,1,packages\eventemitter3\index.js,1,24
43,Identifier,clearEvent,-1,-1,-1,80,9,80,19,packages\eventemitter3\index.js,1,25
44,Identifier,emitter,-1,-1,-1,80,20,80,27,packages\eventemitter3\index.js,1,26
45,Identifier,evt,-1,-1,-1,80,29,80,32,packages\eventemitter3\index.js,1,27
47,BlockStatement,nan,-1,-1,-1,80,34,83,1,packages\eventemitter3\index.js,1,28
48,Identifier,EventEmitter,-1,-1,-1,92,9,92,21,packages\eventemitter3\index.js,1,29
50,BlockStatement,nan,-1,-1,-1,92,24,95,1,packages\eventemitter3\index.js,1,30
51,AssignmentExpression,nan,-1,-1,-1,104,0,120,1,packages\eventemitter3\index.js,1,31
52,AssignmentExpression,nan,-1,-1,-1,129,0,141,1,packages\eventemitter3\index.js,1,32
53,AssignmentExpression,nan,-1,-1,-1,150,0,157,1,packages\eventemitter3\index.js,1,33
54,AssignmentExpression,nan,-1,-1,-1,166,0,216,1,packages\eventemitter3\index.js,1,34
55,AssignmentExpression,nan,-1,-1,-1,227,0,229,1,packages\eventemitter3\index.js,1,35
56,AssignmentExpression,nan,-1,-1,-1,240,0,242,1,packages\eventemitter3\index.js,1,36
57,AssignmentExpression,nan,-1,-1,-1,254,0,292,1,packages\eventemitter3\index.js,1,37
58,AssignmentExpression,nan,-1,-1,-1,301,0,313,1,packages\eventemitter3\index.js,1,38
59,AssignmentExpression,nan,-1,-1,-1,318,0,318,66,packages\eventemitter3\index.js,1,39
60,AssignmentExpression,nan,-1,-1,-1,319,0,319,62,packages\eventemitter3\index.js,1,40
61,AssignmentExpression,nan,-1,-1,-1,324,0,324,30,packages\eventemitter3\index.js,1,41
62,AssignmentExpression,nan,-1,-1,-1,329,0,329,40,packages\eventemitter3\index.js,1,42
63,BlockStatement,nan,-1,-1,-1,334,35,336,1,packages\eventemitter3\index.js,1,43
66,IfStatement,nan,-1,-1,-1,29,2,29,46,packages\eventemitter3\index.js,1,44
70,IfStatement,nan,-1,-1,-1,59,2,61,3,packages\eventemitter3\index.js,1,45
71,VariableDeclaration,nan,-1,-1,-1,63,2,64,44,packages\eventemitter3\index.js,1,46
72,IfStatement,nan,-1,-1,-1,66,2,68,63,packages\eventemitter3\index.js,1,47
73,ReturnStatement,nan,1,-1,-1,70,2,70,17,packages\eventemitter3\index.js,1,48
74,IfStatement,nan,-1,-1,-1,81,2,82,35,packages\eventemitter3\index.js,1,49
77,MemberExpression,nan,-1,-1,-1,104,0,104,33,packages\eventemitter3\index.js,1,50
78,FunctionExpression,nan,-1,0,1,104,36,120,1,packages\eventemitter3\index.js,1,51
79,MemberExpression,nan,-1,-1,-1,129,0,129,32,packages\eventemitter3\index.js,1,52
80,FunctionExpression,nan,-1,1,1,129,35,141,1,packages\eventemitter3\index.js,1,53
81,MemberExpression,nan,-1,-1,-1,150,0,150,36,packages\eventemitter3\index.js,1,54
82,FunctionExpression,nan,-1,1,1,150,39,157,1,packages\eventemitter3\index.js,1,55
83,MemberExpression,nan,-1,-1,-1,166,0,166,27,packages\eventemitter3\index.js,1,56
84,FunctionExpression,nan,-1,6,1,166,30,216,1,packages\eventemitter3\index.js,1,57
85,MemberExpression,nan,-1,-1,-1,227,0,227,25,packages\eventemitter3\index.js,1,58
