src,dst
53,129
147,131
34,129
83,129
8,133
171,3
6,131
14,3
128,133
154,153
67,129
66,153
9,133
18,122
149,122
12,153
69,133
66,131
21,3
174,131
156,129
66,122
99,129
147,122
62,129
111,153
173,129
84,3
173,131
8,131
13,122
101,129
34,3
129,153
116,122
106,129
82,131
103,131
83,131
166,133
40,3
60,153
165,133
84,131
140,131
20,3
64,122
130,131
146,153
165,131
170,133
6,129
98,133
58,122
116,122
86,153
4,3
133,122
139,122
179,122
116,122
140,129
101,133
127,133
40,122
61,129
141,129
51,131
91,131
95,131
133,131
38,129
83,129
98,122
136,133
145,131
133,129
28,3
60,3
123,129
102,122
82,122
68,129
0,133
66,122
38,129
171,133
1,153
167,3
155,122
149,129
105,153
66,122
102,153
62,133
22,3
13,129
114,122
114,153
127,131
24,3
152,129
168,129
36,129
117,153
100,131
53,131
174,3
77,131
116,122
66,129
95,122
91,133
43,3
184,153
167,3
103,133
173,122
78,133
145,131
170,131
5,122
16,133
121,133
136,122
5,129
33,131
82,153
66,131
146,153
69,3
36,3
52,129
86,131
116,131
122,131
154,153
18,3
153,3
120,122
48,129
4,133
90,153
6,129
