src,dst
4565,154
2858,573
4707,784
3351,5011
2940,3138
1652,1351
5323,1780
3989,3134
2412,3077
4409,3909
10,425
4827,4751
4265,4970
3853,3911
1473,4059
3192,924
4084,2735
3253,4196
346,3103
885,2580
3270,3587
106,3620
2468,2737
3237,2361
3923,1962
5073,3907
2907,4917
91,2580
5206,3425
4667,2898
1831,2965
1645,3468
5140,3973
425,3653
3875,3975
3979,39
1620,157
450,3026
1117,3287
4671,27
522,2883
310,3315
4195,4761
2544,156
3155,3425
1794,1810
1583,2201
5239,4363
5223,2737
657,4107
973,4481
1951,2955
4862,4105
5147,3620
2483,4838
5417,571
115,3750
1354,1349
1220,2655
4152,3697
2159,1681
713,2522
2165,3285
5257,5386
2498,3785
2058,530
4671,4093
1294,295
3893,3285
4959,98
4427,2465
1570,2045
2543,2668
4626,4508
3251,4194
45,3973
5472,2955
3873,3453
621,2078
2633,3793
5463,766
2368,158
507,2150
3589,3260
3111,4105
713,5096
1380,4244
3840,1074
3844,1424
5010,5222
725,89
4627,2522
3981,1529
5096,1508
121,1351
1444,3795
4013,4063
1895,4970
3519,4832
5188,2574
92,4216
3154,4101
717,1003
466,4781
4047,4577
571,3285
5015,295
2363,54
1501,1618
523,4227
1322,567
3675,4833
3306,2562
2813,3907
3010,2285
2459,4244
1357,5026
1853,1110
3350,2675
685,2369
5023,5338
3098,2733
1945,1510
1460,3468
1510,4838
1930,3750
1712,2467
1098,4496
4939,3907
944,4504
3321,4572
155,1112
872,487
3586,1616
2804,1596
1678,782
5178,3787
989,1415
75,1618
4125,1832
5201,1074
3307,4751
5285,2285
2351,780
711,5221
2795,4061
4154,3501
1315,3451
5339,1262
3523,1219
1040,1951
4243,2311
3917,354
511,2969
4946,3979
928,567
3606,1984
705,1424
2369,1221
288,2580
2131,2174
1302,4105
4661,1830
2796,474
5456,1167
2474,571
2048,4496
4039,4309
1127,4091
4688,1373
3161,569
1628,1964
2703,4309
4388,3466
519,1767
1691,1074
1742,1221
2384,4237
2024,1683
1844,811
1625,3897
2269,3101
1644,571
81,5447
4974,811
1032,759
3815,4089
3353,3103
2909,2467
668,27
1812,1241
1571,3679
1090,4144
3561,2789
4720,5190
822,2706
1697,1744
5033,995
3214,2620
5045,780
4061,3069
4361,3026
3924,1305
2540,55
252,3350
223,4198
459,2969
3018,786
2437,2156
2237,2102
2393,1568
1260,2279
3541,4812
747,670
471,3097
1626,4249
4809,2174
2087,1618
5327,3795
2122,3466
753,782
3294,1219
692,670
888,3781
4166,3260
3013,4833
2358,1849
818,530
2299,539
5220,3077
4732,2670
2155,3781
2670,1746
3519,3272
137,1387
4291,4506
791,4095
1892,2010
5475,4761
3717,3360
3710,375
2916,5190
2412,4194
5369,1847
1524,3606
4751,4097
4086,567
1115,530
881,2584
4763,2670
1124,5268
5009,1966
3222,1984
4746,375
4795,3060
2212,4105
4222,3026
1715,4233
1116,2677
4846,3785
3045,1387
695,2467
4575,474
2693,294
4612,158
1043,3077
2567,3077
5043,5390
