src,same_file,jaccard_val,dst
4461,0,0.0,1529
3312,0,-1,4781
4467,1,-1,4093
2603,0,-1,1221
2026,0,-1,5284
3826,0,0.0,5010
518,0,-1,1742
4339,0,-1,2303
3119,0,-1,4097
1688,0,-1,2969
384,0,-1,2285
3024,0,-1,1830
2605,0,-1,672
3583,0,-1,4198
3822,0,-1,2377
2500,0,-1,2261
3120,0,-1,2303
1232,0,-1,4567
1786,0,-1,4874
947,0,-1,2443
4490,0,-1,679
2034,0,-1,1914
3657,0,-1,3785
798,0,0.0,4144
3380,0,-1,3468
3298,0,0.0,635
1284,0,-1,1828
2923,0,-1,2670
2297,0,0.0,158
3676,0,-1,109
899,0,-1,1301
2603,0,-1,2172
3935,0,-1,4309
1145,1,-1,987
1348,0,-1,3190
2774,0,-1,1608
968,0,-1,3569
3122,0,0.0,4725
735,0,-1,474
2960,0,-1,2731
832,0,-1,3300
2739,0,0.0,295
1824,0,-1,543
2120,0,-1,1610
4218,0,-1,4502
374,0,-1,4091
675,0,-1,1239
2161,0,-1,1984
4336,0,-1,1424
4888,0,-1,1966
2332,0,-1,4987
3769,0,0.0,3604
2986,0,-1,4101
607,0,0.0,635
4637,0,0.0,4837
2296,0,-1,2655
2689,0,-1,3975
441,0,-1,3754
1878,0,-1,1351
4531,0,-1,987
5143,0,-1,2010
4461,0,-1,2285
3162,0,0.0,156
48,0,-1,3101
4712,0,-1,5447
1347,0,0.0,157
2332,0,-1,807
423,0,0.0,5010
2072,0,-1,2309
4492,0,-1,2367
3429,0,-1,2677
2345,1,-1,2301
537,0,-1,3505
4218,0,-1,5205
4318,0,-1,5374
2617,0,-1,4481
2686,0,-1,5382
3905,0,-1,2049
904,0,-1,2898
3991,0,0.0,759
2233,0,-1,3791
3264,0,-1,2620
2960,0,-1,2367
1080,0,-1,3911
3683,0,-1,2445
3281,0,-1,1005
499,0,-1,3101
4207,0,-1,4781
4719,0,-1,1791
1736,0,-1,2731
1347,0,0.0,154
3490,0,-1,2955
1777,0,-1,1608
4206,0,-1,2963
1367,1,-1,1424
3769,0,-1,4194
3934,0,0.0,54
3641,0,-1,3300
662,0,-1,846
691,0,0.0,154
4780,0,-1,5376
1285,0,-1,3697
1705,0,-1,3979
737,0,-1,4363
3829,0,-1,4952
3386,0,-1,2307
951,0,-1,1262
1537,0,-1,4216
2990,0,-1,3470
1299,0,-1,3134
719,0,0.0,3605
3430,0,-1,3274
4419,0,-1,5116
1366,0,-1,3300
2235,0,0.0,5010
3464,0,-1,2377
499,0,0.0,4838
1280,0,-1,2967
3120,0,-1,390
2298,0,-1,987
5354,0,-1,2207
2126,0,-1,782
615,0,-1,1301
4048,1,-1,4103
1366,0,-1,39
2120,0,-1,987
3643,0,-1,4085
1635,0,-1,2655
5331,0,0.0,5011
2990,0,-1,3653
4906,0,-1,766
3265,0,-1,1003
5212,0,-1,4481
2030,0,-1,2838
2433,0,-1,1681
413,0,-1,2998
2147,0,-1,3750
3971,0,-1,3501
1496,0,0.0,4833
2028,0,0.0,156
4783,0,-1,2369
1063,0,-1,3556
2295,0,-1,1385
3641,0,-1,4198
868,1,-1,846
3118,0,-1,1872
2226,0,0.0,55
416,0,-1,571
958,0,-1,3750
4191,0,-1,1464
3065,0,-1,2058
3232,0,-1,1767
3284,0,-1,1266
1882,0,0.0,759
558,0,0.0,887
3614,0,-1,1677
1576,0,-1,709
2234,0,-1,1112
5359,0,-1,2359
3037,0,-1,2522
1253,0,-1,1076
3829,0,-1,3270
4240,0,-1,1962
4161,1,-1,4105
1817,0,-1,809
3188,0,-1,3787
2350,0,-1,2037
3322,0,-1,2435
5469,0,-1,788
3086,0,-1,811
4935,0,-1,4083
3830,0,-1,3126
1672,0,-1,1112
2985,0,-1,2261
339,0,-1,2353
1633,0,-1,784
2781,0,-1,2012
798,0,-1,1830
1959,0,-1,3907
2989,0,-1,2369
2640,0,-1,5376
687,0,-1,4577
3657,0,-1,5116
691,0,-1,912
2043,0,-1,4734
1071,0,-1,1677
2373,0,-1,5116
1786,0,0.0,5190
3123,0,-1,3350
5310,0,0.0,5070
1654,0,-1,4220
559,0,-1,1964
2766,0,-1,3126
4353,1,-1,4061
3769,0,-1,1241
114,0,-1,4562
1412,0,0.0,54
1709,0,-1,2735
3407,0,-1,2201
4533,0,-1,390
4157,1,-1,4244
1147,0,-1,3787
1452,0,-1,2576
2192,0,-1,4506
2034,0,0.0,635
5440,0,-1,1379
5143,0,-1,1260
3999,0,-1,995
2119,0,-1,2731
2607,0,-1,404
3692,0,-1,672
954,0,-1,3651
2503,0,-1,507
3641,0,-1,1645
3970,0,-1,1625
4747,0,-1,4363
4419,0,-1,1167
2573,0,-1,3315
1151,1,-1,1084
1689,0,-1,4560
3068,0,-1,672
4159,0,-1,1828
4489,0,-1,4107
3122,0,0.0,5010
1976,0,-1,920
3846,0,0.33333333333333326,634
3093,0,-1,1200
4491,0,-1,3466
963,0,-1,2039
2160,0,-1,1379
693,0,-1,914
5296,0,-1,541
1537,0,-1,920
3172,0,0.0,5070
497,0,-1,2309
2350,0,-1,3132
4165,1,-1,4061
799,0,-1,2883
3215,0,0.0,4698
593,0,-1,4496
5364,0,-1,425
2417,0,-1,1243
3734,0,-1,2183
3968,0,-1,4510
3446,0,-1,1076
3657,0,-1,5306
1958,0,-1,679
1080,0,-1,2082
415,0,-1,3470
1056,0,-1,1377
3378,0,-1,545
2025,0,-1,653
1866,0,-1,2611
3168,0,-1,3697
143,0,-1,4059
5439,0,0.0,5189
4173,0,-1,3571
4419,1,-1,4083
1363,0,-1,567
1888,0,-1,541
3746,0,-1,912
3298,0,-1,1962
73,0,-1,3270
4240,0,-1,1845
2905,0,-1,5380
1958,0,-1,2883
3038,0,-1,2309
1412,0,-1,3453
832,0,0.0,294
2897,0,-1,912
1406,0,0.0,203
3064,0,-1,3000
1654,0,-1,4220
691,0,-1,4496
5477,0,-1,780
2099,0,0.0,54
964,0,-1,2677
2596,0,0.0,4837
3059,0,-1,134
4628,0,-1,3075
3683,0,-1,4220
3846,0,0.0,5039
983,0,-1,3501
3059,0,-1,1510
2076,0,-1,4107
777,0,-1,2737
5278,0,0.0,156
2160,0,-1,4089
2147,0,-1,3073
776,0,-1,2741
4240,0,-1,2303
2689,0,-1,5447
3828,1,-1,3735
518,0,-1,392
3821,0,-1,2673
5260,0,-1,1385
2076,0,-1,1618
2214,0,0.0,4838
2897,0,-1,2012
1886,0,-1,3130
4330,0,0.0,759
3820,0,-1,2668
3068,0,-1,4099
1839,0,-1,2655
143,0,-1,1679
4480,0,-1,4099
4551,0,-1,3304
3166,0,-1,2881
1147,0,-1,1966
3999,0,-1,1383
4171,0,0.0,5039
2639,0,-1,4244
1687,0,-1,3425
4224,0,-1,987
801,0,-1,4103
2430,0,-1,5378
400,0,0.0,634
1739,0,-1,3470
4435,0,0.0,5096
2113,0,-1,2263
4286,1,-1,4087
2986,0,-1,1379
948,0,-1,3287
2033,0,-1,3620
374,0,-1,3101
2357,0,-1,485
1728,0,-1,1245
4487,0,-1,3705
2418,0,-1,4244
4340,0,-1,3756
1597,0,-1,571
2507,0,-1,985
4225,0,-1,1681
5291,0,0.0,1810
2771,0,-1,1239
3527,0,-1,1349
1412,0,0.5,5338
3940,0,-1,4007
2026,0,-1,2898
2226,0,-1,3681
963,0,-1,3075
4181,0,0.0,887
3935,0,-1,1508
3037,0,-1,4812
1280,0,-1,2655
5091,0,-1,3138
1864,0,-1,3132
4079,0,-1,2355
3232,0,0.0,154
4432,1,-1,4083
2422,0,-1,2170
1728,0,-1,2737
1598,0,-1,5374
1689,0,-1,645
1640,0,-1,1551
4169,0,0.0,2279
1171,0,-1,2355
3944,0,-1,3573
699,0,0.0,55
2232,0,-1,5386
2596,0,-1,1568
3216,0,-1,1417
800,0,-1,668
1291,0,-1,1591
1330,0,-1,487
3777,0,-1,922
4743,0,-1,807
4048,0,-1,3362
5261,0,-1,1679
4461,0,-1,2564
1337,0,-1,2379
1910,0,-1,1964
2725,0,0.0,4833
1604,0,-1,3186
1956,0,-1,2261
1670,0,-1,4097
2034,0,-1,4103
2196,0,-1,2443
1483,0,-1,4216
1070,0,-1,1241
3188,0,-1,811
2996,0,-1,844
3259,0,-1,3097
723,0,-1,2871
1928,0,0.0,1596
4652,0,-1,5447
3167,0,0.0,5070
2342,0,-1,2582
1788,0,-1,3752
1347,0,-1,3758
2365,0,-1,4924
4070,0,-1,3134
3527,0,-1,1112
4571,0,-1,3569
1347,0,-1,4713
4340,0,-1,1258
3527,0,-1,2871
3968,0,-1,3793
5360,0,-1,4105
674,0,-1,1003
687,0,0.0,4762
3090,0,-1,1872
2025,0,-1,4059
2503,0,-1,1984
4536,0,-1,3620
497,0,0.0,4761
1406,0,-1,539
418,0,-1,4506
143,0,-1,4097
1871,0,-1,844
4163,0,-1,545
1838,0,-1,2203
3527,0,-1,1683
142,0,-1,2994
1706,0,-1,3304
2334,0,-1,1510
3332,0,0.0,54
4326,0,0.0,3604
4347,0,-1,4987
4718,0,-1,3274
3381,0,-1,4508
856,0,-1,4061
5091,0,-1,766
4535,0,-1,4781
2771,0,-1,2361
2421,0,-1,1847
1761,0,-1,3132
3934,0,-1,4309
959,0,-1,4309
2071,0,-1,3501
4436,0,0.0,5070
2663,0,-1,1508
3948,0,-1,2963
5258,0,-1,1377
3491,0,0.0,354
1976,0,-1,3218
1237,0,-1,1679
4543,0,-1,3781
3267,0,-1,1520
2298,0,-1,1591
