src,dst
240,165
113,165
806,161
83,211
258,189
549,215
194,153
560,189
115,189
326,195
795,205
315,173
232,215
3,211
268,199
201,167
365,179
757,161
778,211
607,171
805,167
662,185
279,179
682,11
202,181
190,193
705,173
192,189
694,183
110,187
313,201
298,197
164,205
657,157
794,153
223,187
205,173
239,191
696,153
22,159
581,189
687,177
48,195
677,155
608,187
801,11
652,197
621,173
816,185
35,179
697,11
591,153
680,207
667,157
101,193
323,155
3,207
525,191
212,207
526,193
755,205
277,211
347,185
614,157
537,217
170,201
605,155
554,165
502,181
6,197
7,187
162,181
600,173
365,217
622,215
165,201
626,185
770,187
302,161
603,163
0,161
563,201
609,155
498,165
50,217
333,181
796,167
65,183
776,211
40,193
749,199
621,173
90,181
360,197
241,11
354,195
576,201
649,203
241,171
55,161
329,217
362,165
641,159
668,173
550,185
498,179
81,205
266,189
210,209
729,189
190,209
674,175
89,195
214,177
352,201
789,203
187,217
300,161
327,189
184,193
62,211
787,195
528,157
655,177
256,171
27,195
578,165
367,153
214,203
189,185
116,203
169,195
188,167
236,215
666,175
247,175
475,195
223,175
585,161
698,185
802,189
542,167
41,173
743,205
225,169
751,159
774,175
783,183
155,217
537,191
242,179
206,205
218,153
751,211
51,175
677,179
692,179
165,179
772,201
608,193
183,213
198,175
333,211
638,211
582,189
270,171
233,157
314,189
197,191
86,213
254,195
542,163
79,11
326,213
784,179
598,173
325,213
646,201
543,201
314,169
62,179
99,205
680,171
340,177
318,215
87,171
238,185
576,183
578,167
602,169
723,177
167,215
706,213
101,161
571,199
257,165
804,193
577,179
525,181
182,213
580,193
754,163
797,179
740,207
366,175
666,171
526,189
78,193
801,181
565,179
536,217
806,173
674,201
550,155
119,179
708,211
73,187
2,161
292,211
341,183
695,185
749,199
525,193
8,175
87,155
637,171
58,155
318,183
311,175
192,173
37,195
662,195
641,161
13,157
279,183
184,171
359,191
311,169
754,177
227,217
82,167
276,155
734,215
644,209
49,157
686,195
315,153
183,11
722,179
547,187
672,211
304,195
309,203
818,205
101,167
101,189
280,175
323,195
722,189
330,179
348,207
223,155
76,159
171,193
19,181
43,167
557,201
301,175
365,203
772,203
809,209
47,161
185,205
285,165
541,159
213,179
184,161
814,171
689,205
113,187
343,155
38,205
186,173
156,165
218,197
231,11
54,217
602,169
77,175
263,187
36,217
605,181
280,185
194,187
606,213
262,179
365,159
614,159
656,165
165,205
190,175
719,153
754,175
577,191
788,153
688,173
693,191
74,195
98,155
116,163
339,201
799,199
693,203
93,193
579,191
301,165
69,193
612,159
267,183
657,157
776,193
574,199
216,215
582,215
633,197
319,199
726,209
357,157
811,187
72,185
648,203
781,185
65,159
258,185
701,165
816,213
207,155
532,153
29,181
76,163
259,185
8,165
3,201
315,189
729,165
591,187
305,157
95,211
311,213
788,207
666,153
621,177
223,215
248,153
65,197
736,159
652,191
205,201
358,171
232,211
566,211
590,217
621,203
820,161
782,189
725,161
671,163
73,183
275,205
27,199
529,191
300,159
276,171
811,163
704,167
271,213
632,215
690,191
168,213
201,157
653,211
513,187
23,203
313,189
638,185
615,187
218,185
2,185
342,169
353,205
244,159
794,191
80,217
247,183
505,179
108,155
236,179
514,201
499,159
12,161
676,163
559,179
629,211
308,189
119,209
684,153
341,203
275,203
231,157
188,189
608,167
263,213
274,187
169,211
530,155
773,187
311,189
658,177
651,167
17,11
530,213
252,197
737,197
532,163
680,189
61,191
331,11
268,177
1,161
692,11
663,217
681,167
252,189
196,183
171,173
564,199
800,177
64,191
545,159
29,169
611,209
56,197
691,11
50,173
250,171
83,11
629,181
475,11
179,183
536,201
355,167
177,191
201,175
729,11
349,171
246,199
357,203
778,183
742,153
762,189
264,197
770,169
573,171
55,161
60,215
578,199
515,211
773,185
644,213
11,209
217,155
196,179
484,183
668,165
196,161
736,195
648,199
198,187
526,209
209,153
730,157
573,201
260,181
113,159
784,215
16,189
576,203
742,203
41,209
626,195
662,213
262,217
22,193
62,203
736,199
334,175
71,215
629,165
587,185
322,199
296,197
39,185
716,205
171,197
189,177
256,213
685,193
719,201
282,179
663,177
558,165
590,197
331,153
638,195
571,155
93,195
499,185
572,195
11,189
73,185
118,197
816,155
789,157
649,195
17,163
529,187
215,217
33,211
599,213
328,161
305,155
738,175
153,213
679,183
744,183
526,193
750,197
707,161
215,189
112,211
779,209
660,157
206,173
284,187
179,195
71,197
195,167
652,217
798,195
76,167
302,205
727,187
808,193
513,185
307,171
498,171
54,209
623,197
695,201
366,193
743,153
55,171
685,177
67,153
241,157
532,215
279,211
269,215
253,189
364,189
80,169
711,157
47,193
713,209
319,201
307,171
563,185
95,189
813,181
603,169
67,165
523,207
89,189
162,187
744,211
510,197
7,207
341,163
619,217
114,209
589,207
638,195
665,193
756,185
486,181
762,183
322,207
746,195
741,181
119,179
674,179
671,205
252,165
206,155
516,201
332,195
763,173
634,161
159,183
254,213
116,177
709,213
719,201
568,191
670,217
551,191
544,179
313,173
709,187
324,163
538,189
104,185
789,211
19,191
268,217
82,167
677,193
326,209
180,193
591,195
185,169
657,171
531,207
713,187
502,195
548,209
167,11
