src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
11,16
11,17
11,18
12,19
12,20
13,21
13,22
14,23
14,24
15,25
15,26
17,27
17,28
18,29
18,30
18,31
18,32
18,33
18,34
18,35
18,36
18,37
18,38
18,39
18,40
32,41
32,42
36,43
40,45
41,46
43,47
44,49
44,50
45,51
45,52
45,53
46,54
47,58
47,59
52,60
52,61
54,62
63,64
63,65
63,66
63,67
63,68
63,69
63,70
63,71
63,72
63,73
63,74
63,75
63,76
63,77
63,78
63,79
63,80
63,81
63,82
63,83
63,84
63,85
63,86
63,87
63,88
63,89
63,90
63,91
63,92
63,93
94,95
94,96
97,98
97,99
97,100
101,102
101,103
102,104
102,105
106,107
106,108
106,109
110,111
110,112
111,113
111,114
115,116
115,117
115,118
119,120
119,121
120,122
120,123
124,125
124,126
124,127
128,129
128,130
129,131
129,132
133,134
133,135
133,136
137,138
137,139
138,140
138,141
142,143
142,144
142,145
146,150
147,151
147,152
148,153
149,154
149,155
156,160
156,161
158,162
158,163
164,165
164,166
167,168
167,169
168,170
168,171
172,173
172,174
172,175
176,177
176,178
177,179
177,180
181,182
181,183
181,184
181,185
181,186
181,187
181,188
181,189
181,190
181,191
181,192
182,194
182,195
182,196
183,197
183,198
183,199
183,200
183,201
183,202
183,203
184,204
184,205
184,206
185,207
185,208
185,209
185,210
185,211
185,212
185,213
185,214
185,215
186,216
186,217
186,218
186,219
187,220
187,221
187,222
187,223
187,224
187,225
187,226
187,227
187,228
187,229
188,230
188,231
188,232
188,233
189,234
189,235
189,236
189,237
189,238
189,239
189,240
189,241
189,242
189,243
189,244
189,245
189,246
189,247
189,248
189,249
189,250
189,251
189,252
189,253
189,254
189,255
190,256
190,257
191,258
191,259
191,260
191,261
191,262
192,263
192,264
192,265
192,266
192,267
193,268
193,269
196,270
196,271
196,272
203,273
203,274
203,275
203,276
203,277
203,278
203,279
203,280
203,281
206,282
215,283
215,284
215,285
215,286
215,287
215,288
219,289
229,290
229,291
229,292
229,293
229,294
229,295
229,296
229,297
229,298
229,299
229,300
229,301
229,302
229,303
229,304
229,305
229,306
233,307
233,308
233,309
233,310
233,311
255,312
255,313
257,314
262,315
262,316
262,317
267,318
267,319
267,320
267,321
270,322
270,323
272,324
274,325
274,326
280,327
281,328
282,329
284,330
287,331
288,332
289,333
305,335
306,336
306,337
310,338
310,339
311,340
312,341
313,342
313,343
313,344
314,345
315,346
317,348
320,349
321,350
324,353
325,354
327,357
327,358
329,361
329,362
329,363
331,367
333,368
333,369
334,370
334,371
337,373
337,374
337,375
337,376
337,377
341,378
344,380
346,381
347,384
347,385
358,393
358,394
363,395
368,398
371,399
371,400
372,401
373,408
373,409
374,410
375,411
375,412
376,413
377,414
377,415
378,420
378,421
380,422
381,423
388,426
389,427
389,428
391,429
392,430
392,431
396,433
396,434
397,435
397,436
397,437
397,438
397,439
397,440
397,441
397,442
397,443
398,444
398,445
398,446
403,451
405,452
406,453
406,454
407,455
407,456
408,457
409,458
409,459
410,460
410,461
411,463
411,464
417,466
419,467
419,468
420,469
420,470
421,471
421,472
423,474
423,475
423,476
423,477
424,478
424,479
425,480
425,481
458,485
459,486
460,487
461,489
464,490
465,492
469,496
469,497
470,499
470,500
472,501
473,504
482,505
482,506
483,507
483,508
484,509
484,510
485,512
488,514
488,515
489,516
490,521
490,522
491,523
495,524
498,525
498,526
499,527
502,530
502,531
503,532
503,533
503,534
503,535
503,536
503,537
503,538
503,539
503,540
503,541
503,542
503,543
503,544
503,545
503,546
503,547
503,548
503,549
503,550
508,551
508,552
508,553
522,560
522,561
526,563
531,568
531,569
531,570
531,571
554,574
557,575
558,576
558,577
559,578
562,579
562,580
564,583
564,584
565,585
565,586
566,587
589,592
589,593
590,594
590,595
591,596
591,597
593,598
593,599
593,600
593,601
597,602
597,603
597,604
597,605
597,606
597,607
597,608
597,609
597,610
597,611
597,612
597,613
597,614
597,615
597,616
597,617
597,618
597,619
597,620
623,624
623,625
625,627
625,628
625,629
626,630
626,631
629,632
629,633
629,634
629,635
635,636
637,638
637,639
637,640
637,641
637,642
637,643
639,645
639,646
639,647
639,648
640,649
640,650
640,651
640,652
640,653
641,654
641,655
641,656
641,657
641,658
642,659
642,660
642,661
643,662
643,663
643,664
643,665
644,666
644,667
648,668
648,669
648,670
653,671
658,672
661,673
665,674
669,676
670,677
671,678
672,679
673,680
674,681
675,682
675,683
678,685
679,686
680,687
681,688
689,693
689,694
694,695
694,696
696,697
696,698
699,700
699,701
699,702
699,703
701,705
701,706
702,707
702,708
702,709
702,710
703,711
703,712
703,713
703,714
703,715
704,716
704,717
706,718
710,719
715,720
715,721
718,722
719,723
721,724
722,725
722,726
723,727
726,728
726,729
726,730
726,731
726,732
726,733
728,734
728,735
734,738
736,739
736,740
737,741
737,742
740,744
740,745
743,746
743,747
749,750
751,752
752,754
752,755
752,756
753,757
753,758
756,759
756,760
756,761
756,762
756,763
763,764
764,769
764,770
765,771
765,772
767,773
767,774
769,775
776,777
777,779
777,780
777,781
778,782
778,783
780,784
780,785
781,786
781,787
787,788
788,789
788,790
788,791
792,793
792,794
793,795
793,796
796,797
796,798
797,799
799,800
800,802
801,803
802,804
802,805
804,806
807,808
807,809
807,810
807,811
807,812
813,931
813,932
814,933
814,934
815,935
815,936
816,937
816,938
817,939
817,940
818,941
818,942
819,943
819,944
820,945
820,946
821,947
821,948
822,949
822,950
823,951
823,952
824,953
824,954
825,955
825,956
826,957
826,958
827,959
827,960
828,961
828,962
829,963
829,964
830,965
830,966
831,967
831,968
832,969
832,970
833,971
833,972
834,973
834,974
835,975
835,976
836,977
836,978
837,979
837,980
838,981
838,982
839,983
839,984
840,985
840,986
841,987
841,988
842,989
842,990
843,991
843,992
844,993
844,994
845,995
845,996
846,997
846,998
847,999
847,1000
848,1001
848,1002
849,1003
849,1004
850,1005
850,1006
851,1007
851,1008
852,1009
852,1010
853,1011
853,1012
854,1013
854,1014
855,1015
855,1016
856,1017
856,1018
857,1019
857,1020
858,1021
858,1022
859,1023
859,1024
860,1025
860,1026
861,1027
861,1028
862,1029
862,1030
863,1031
863,1032
864,1033
864,1034
865,1035
865,1036
866,1037
866,1038
867,1039
867,1040
868,1041
868,1042
869,1043
869,1044
870,1045
870,1046
871,1047
871,1048
872,1049
872,1050
873,1051
873,1052
874,1053
874,1054
875,1055
875,1056
876,1057
876,1058
877,1059
877,1060
878,1061
878,1062
879,1063
879,1064
880,1065
880,1066
881,1067
881,1068
882,1069
882,1070
883,1071
883,1072
884,1073
884,1074
885,1075
885,1076
886,1077
886,1078
887,1079
887,1080
888,1081
888,1082
889,1083
889,1084
890,1085
890,1086
891,1087
891,1088
892,1089
892,1090
893,1091
893,1092
894,1093
894,1094
895,1095
895,1096
896,1097
896,1098
897,1099
897,1100
898,1101
898,1102
899,1103
899,1104
900,1105
900,1106
901,1107
901,1108
902,1109
902,1110
903,1111
903,1112
904,1113
