src,same_file,jaccard_val,dst
44,0,-1.0,788
52,0,1.0,752
45,0,1.0,639
397,1,1.0,187
593,1,1.0,191
597,1,1.0,189
531,1,1.0,191
503,1,1.0,189
423,1,1.0,191
792,1,-1.0,793
813,1,-1.0,931
2255,0,1.0,11
2258,0,1.0,11
814,1,-1.0,933
815,1,-1.0,935
816,1,-1.0,937
1666,1,-1.0,2268
817,1,-1.0,939
1668,1,-1.0,2271
818,1,-1.0,941
1670,1,-1.0,2274
819,1,-1.0,943
1672,1,-1.0,2277
820,1,-1.0,945
821,1,-1.0,947
3868,0,1.0,11
3869,0,1.0,11
3870,0,1.0,11
3871,0,1.0,11
3872,0,1.0,11
822,1,-1.0,949
3873,0,1.0,11
3874,0,1.0,11
3876,0,1.0,11
3877,0,1.0,11
3878,0,1.0,11
3879,0,1.0,11
3880,0,1.0,11
3881,0,1.0,11
3882,0,1.0,11
3883,0,1.0,11
3884,0,1.0,11
3885,0,1.0,11
3886,0,1.0,11
3887,0,1.0,11
3888,0,1.0,11
3889,0,1.0,11
3890,0,1.0,11
3891,0,1.0,11
3892,0,1.0,11
3893,0,1.0,11
3894,0,1.0,11
3895,0,1.0,11
3896,0,1.0,11
3897,0,1.0,11
3898,0,1.0,11
3899,0,1.0,11
3900,0,1.0,11
3901,0,1.0,11
3902,0,1.0,11
3903,0,1.0,11
823,1,-1.0,951
3904,0,1.0,11
824,1,-1.0,953
3905,0,1.0,11
825,1,-1.0,955
826,1,-1.0,957
827,1,-1.0,959
828,1,-1.0,961
829,1,-1.0,963
830,1,-1.0,965
831,1,-1.0,967
832,1,-1.0,969
833,1,-1.0,971
834,1,-1.0,973
835,1,-1.0,975
836,1,-1.0,977
837,1,-1.0,979
838,1,-1.0,981
839,1,-1.0,983
840,1,-1.0,985
841,1,-1.0,987
842,1,-1.0,989
843,1,-1.0,991
844,1,-1.0,993
845,1,-1.0,995
846,1,-1.0,997
847,1,-1.0,999
848,1,-1.0,1001
849,1,-1.0,1003
850,1,-1.0,1005
851,1,-1.0,1007
852,1,-1.0,1009
853,1,-1.0,1011
855,1,-1.0,1015
857,1,-1.0,1019
858,1,-1.0,1021
860,1,-1.0,1025
861,1,-1.0,1027
869,1,-1.0,1043
870,1,-1.0,1045
871,1,-1.0,1047
876,1,-1.0,1057
877,1,-1.0,1059
883,1,-1.0,1071
886,1,-1.0,1077
887,1,-1.0,1079
888,1,-1.0,1081
889,1,-1.0,1083
890,1,-1.0,1085
892,1,-1.0,1089
893,1,-1.0,1091
894,1,-1.0,1093
902,1,-1.0,1109
903,1,-1.0,1111
904,1,-1.0,1113
905,1,-1.0,1115
909,1,-1.0,1123
910,1,-1.0,1125
911,1,-1.0,1127
912,1,-1.0,1129
913,1,-1.0,1131
914,1,-1.0,1133
915,1,-1.0,1135
916,1,-1.0,1137
917,1,-1.0,1139
918,1,-1.0,1141
919,1,-1.0,1143
920,1,-1.0,1145
921,1,-1.0,1147
922,1,-1.0,1149
923,1,-1.0,1151
924,1,-1.0,1153
925,1,-1.0,1155
926,1,-1.0,1157
927,1,-1.0,1159
928,1,-1.0,1161
929,1,-1.0,1163
930,1,-1.0,1165
