src,dst
2888,187
529,1039
3908,1083
1618,2363
3642,995
2392,1071
3345,2327
1563,2312
28,2381
540,997
3672,643
3260,11
670,2268
166,701
297,2369
2771,1091
3772,1013
2773,2309
1121,2357
3075,1057
2324,2398
1524,625
1392,1059
3790,639
3038,701
1557,1033
3822,1103
2694,1023
1460,1125
3388,1089
2574,1095
3450,1001
1654,182
29,1091
662,2342
3703,963
2529,993
46,931
3523,793
3504,961
4020,1029
3792,703
2339,2390
3008,985
1550,1051
2490,642
1407,933
3160,187
3043,182
2693,2284
2463,2309
3713,1029
659,1101
2440,1121
572,2354
3939,1039
300,1069
3820,1077
208,2360
368,793
3647,1151
1368,185
3707,1057
1587,2366
728,2330
2505,2366
3515,2394
3741,643
2946,1033
950,2360
713,2300
2289,1141
3976,1017
3410,192
810,2300
538,1013
3757,703
3944,190
517,1127
530,642
3061,1067
615,703
586,186
36,1107
1121,2303
368,694
1529,642
1508,2390
2969,1057
2453,1053
3601,188
3727,947
3184,1073
1467,1029
3040,977
3807,1163
3609,1049
2756,1135
3983,1147
612,186
3802,2284
253,1049
305,1079
1102,2369
3963,2354
3034,1137
1528,1051
674,183
571,2387
2874,2398
3187,1093
1581,2357
729,1007
989,1137
3078,2394
3590,995
2676,640
1308,2366
999,1041
3008,999
3475,1159
317,1025
706,945
2785,2277
13,2366
3427,2262
1124,1131
2590,1103
3052,1033
108,640
3029,642
3538,1101
1137,2306
1525,1043
1521,2390
430,931
3033,2345
2939,953
353,1001
3940,2348
3410,641
1012,977
3625,2398
2262,1111
1022,2315
951,1021
3336,2375
2945,1159
27,1125
720,959
2775,1051
293,2336
3271,625
3570,3924
3064,961
364,2327
3793,2296
2633,965
3304,1095
3839,191
1233,2348
3364,1059
1352,979
2583,1087
1126,1033
2856,931
2410,2360
4020,1089
1432,961
1040,2394
3438,2360
3103,2309
2632,1149
2446,1095
3848,1005
38,2390
728,1135
3685,1101
3477,777
793,1107
3587,1141
2821,2327
3157,963
405,1079
3059,1091
1041,1141
951,1085
231,1117
1502,1023
3684,2333
1092,1073
1343,2351
31,1039
36,2284
636,1053
238,993
786,1003
691,2394
3736,190
711,933
496,1103
3130,2312
3983,1111
734,2318
1459,1017
1579,1111
704,1165
3850,1037
3694,1093
1027,1163
3140,2351
1432,979
993,1055
516,993
3304,642
2823,640
3572,1045
3552,995
1087,2381
1479,189
787,184
20,1045
2299,1063
3781,1121
668,1093
1521,1015
2253,939
2942,1021
76,186
