src,same_file,jaccard_val,dst
2224,1,-1,955
1957,1,-1,2287
1763,1,-1,1079
2054,1,-1,1163
890,0,0.0,188
1717,1,-1,1075
903,1,-1,1149
2080,1,-1,1159
1885,1,-1,1049
1986,1,-1,2372
1790,1,-1,2394
2334,1,-1,1127
1831,1,-1,963
2069,1,-1,2398
1685,1,-1,2293
2564,1,-1,945
2316,1,-1,1163
1888,1,-1,2290
2175,1,-1,2336
1741,1,-1,1159
1829,1,-1,1099
2157,1,-1,939
3879,0,0.0,642
723,0,-1,953
2129,1,-1,1037
137,0,-1,2284
398,0,-1,1089
829,1,-1,1049
1935,1,-1,2250
2004,1,-1,971
2532,1,-1,2366
2052,1,-1,2330
3875,0,0.33333333333333326,183
1866,0,0.0,703
3905,1,-1,3924
1954,1,-1,2375
1913,1,-1,1055
3890,1,-1,2303
3219,0,0.5,640
1695,1,-1,1097
2027,1,-1,1029
1662,0,0.0,184
880,1,-1,1015
128,0,-1,1003
1799,1,-1,1053
883,1,-1,1109
3889,1,-1,2252
1826,1,-1,971
503,0,-1,2390
2095,1,-1,1019
1930,1,-1,2354
2221,1,-1,1147
1876,0,0.0,703
1813,1,-1,1097
1931,1,-1,1057
2186,1,-1,2384
925,1,-1,2398
1919,1,-1,953
3882,1,-1,2330
2285,1,-1,1083
2157,1,-1,1121
3563,1,-1,1033
2399,1,-1,1019
891,1,-1,1031
2328,1,-1,1057
1751,1,-1,1093
2307,1,-1,1043
817,1,-1,969
564,0,-1,989
3868,1,-1,1035
2118,1,-1,3919
1791,1,-1,2342
1862,1,-1,1087
2170,1,-1,2394
2205,1,-1,999
2215,1,-1,1137
901,1,-1,2333
2731,1,-1,1023
2174,1,-1,1151
3890,1,-1,1119
1940,1,-1,1081
1709,1,-1,2394
1746,1,-1,2268
825,1,-1,1071
855,1,-1,3909
2011,0,0.0,777
1891,1,-1,979
1864,1,-1,971
3374,1,-1,1061
1704,1,-1,1087
2091,1,-1,1045
1999,0,0.0,188
1756,1,-1,1131
2580,0,0.33333333333333326,641
3906,1,-1,1079
2158,1,-1,2306
824,1,-1,1153
2105,1,-1,1113
2092,1,-1,1005
2170,0,-1,793
2123,1,-1,1009
1698,1,-1,1041
2192,0,0.0,641
914,1,-1,1103
1668,1,-1,2315
1896,1,-1,1109
2215,1,-1,2339
1908,1,-1,1117
2711,1,-1,977
2125,1,-1,1115
3368,0,0.0,182
792,0,-1,949
1952,1,-1,1003
832,1,-1,1113
1741,1,-1,2339
2108,0,-1,793
2758,1,-1,1005
1913,1,-1,971
1896,1,-1,2360
1744,1,-1,2324
2242,0,0.0,182
2042,1,-1,2296
1863,1,-1,1039
1975,1,-1,933
835,0,-1,694
3204,1,-1,2327
