id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,56,1,packages\fast-redact\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,3,0,3,44,packages\fast-redact\index.js,1,1
4,VariableDeclaration,nan,-1,-1,-1,4,0,4,36,packages\fast-redact\index.js,1,2
5,VariableDeclaration,nan,-1,-1,-1,5,0,5,42,packages\fast-redact\index.js,1,3
6,VariableDeclaration,nan,-1,-1,-1,6,0,6,42,packages\fast-redact\index.js,1,4
7,VariableDeclaration,nan,-1,-1,-1,7,0,7,64,packages\fast-redact\index.js,1,5
8,VariableDeclaration,nan,-1,-1,-1,8,0,8,36,packages\fast-redact\index.js,1,6
9,VariableDeclaration,nan,-1,-1,-1,9,0,9,30,packages\fast-redact\index.js,1,7
10,VariableDeclaration,nan,-1,-1,-1,10,0,10,28,packages\fast-redact\index.js,1,8
11,VariableDeclaration,nan,-1,-1,-1,11,0,11,21,packages\fast-redact\index.js,1,9
13,VariableDeclaration,nan,-1,-1,-1,14,0,14,35,packages\fast-redact\index.js,1,10
17,FunctionDeclaration,nan,-1,1,1,20,0,56,1,packages\fast-redact\index.js,1,11
19,AssignmentExpression,nan,-1,-1,-1,12,0,12,19,packages\fast-redact\index.js,1,12
20,AssignmentExpression,nan,-1,-1,-1,15,0,15,18,packages\fast-redact\index.js,1,13
21,AssignmentExpression,nan,-1,-1,-1,16,0,16,32,packages\fast-redact\index.js,1,14
22,AssignmentExpression,nan,-1,-1,-1,18,0,18,27,packages\fast-redact\index.js,1,15
23,Identifier,fastRedact,-1,-1,-1,20,9,20,19,packages\fast-redact\index.js,1,16
24,AssignmentPattern,nan,-1,-1,-1,20,21,20,30,packages\fast-redact\index.js,1,17
26,BlockStatement,nan,-1,-1,-1,20,32,56,1,packages\fast-redact\index.js,1,18
27,MemberExpression,nan,-1,-1,-1,12,0,12,12,packages\fast-redact\index.js,1,19
28,Identifier,noop,-1,-1,-1,12,15,12,19,packages\fast-redact\index.js,1,20
29,MemberExpression,nan,-1,-1,-1,15,0,15,13,packages\fast-redact\index.js,1,21
30,Identifier,rx,-1,-1,-1,15,16,15,18,packages\fast-redact\index.js,1,22
31,MemberExpression,nan,-1,-1,-1,16,0,16,20,packages\fast-redact\index.js,1,23
32,Identifier,validator,-1,-1,-1,16,23,16,32,packages\fast-redact\index.js,1,24
33,MemberExpression,nan,-1,-1,-1,18,0,18,14,packages\fast-redact\index.js,1,25
34,Identifier,fastRedact,-1,-1,-1,18,17,18,27,packages\fast-redact\index.js,1,26
35,Identifier,opts,-1,-1,-1,20,21,20,25,packages\fast-redact\index.js,1,27
36,ObjectExpression,nan,-1,-1,-1,20,28,20,30,packages\fast-redact\index.js,1,28
37,VariableDeclaration,nan,-1,-1,-1,21,2,21,53,packages\fast-redact\index.js,1,29
38,VariableDeclaration,nan,-1,-1,-1,22,2,25,20,packages\fast-redact\index.js,1,30
