src,dst
0,1
0,2
0,3
0,4
5,7
5,8
6,9
6,10
8,11
8,12
10,13
14,18
15,19
15,20
16,21
16,22
17,23
20,25
20,26
22,27
22,28
29,30
29,31
29,32
33,37
33,38
34,39
34,40
35,41
35,42
36,43
36,44
38,45
40,46
40,47
42,48
42,49
44,50
44,51
52,57
52,58
53,59
54,60
54,61
54,62
55,63
55,64
56,65
56,66
67,68
67,69
70,71
70,72
73,74
73,75
73,76
73,77
73,78
73,79
80,83
80,84
81,85
81,86
82,87
82,88
89,90
89,91
89,92
93,96
93,97
94,98
94,99
95,100
95,101
97,102
97,103
99,104
105,107
105,108
106,109
110,111
110,112
110,113
114,117
114,118
115,119
115,120
116,121
116,122
118,123
118,124
120,125
126,128
126,129
127,130
132,133
134,135
134,136
134,137
134,138
134,139
138,142
138,143
139,144
139,145
140,147
140,148
140,149
141,150
141,151
146,154
146,155
151,156
151,157
152,158
152,159
153,160
153,161
157,162
157,163
157,164
162,165
167,168
169,170
169,171
172,179
172,180
172,181
173,182
173,183
174,184
174,185
175,186
175,187
176,188
176,189
177,190
177,191
178,192
178,193
183,194
183,195
185,196
185,197
185,198
189,199
191,200
195,201
201,202
202,204
202,205
203,206
203,207
203,208
209,210
209,211
209,212
209,213
209,214
213,221
213,222
214,223
214,224
215,226
215,227
215,228
216,229
217,230
218,231
219,232
220,233
225,236
225,237
234,238
234,239
235,240
235,241
242,243
242,244
242,245
246,250
246,251
246,252
247,253
247,254
248,255
248,256
249,257
249,258
254,259
256,260
256,261
256,262
259,263
262,264
262,265
265,268
265,269
266,274
267,275
267,276
268,277
270,278
270,279
270,280
271,281
271,282
272,283
272,284
273,285
273,286
276,287
276,288
277,289
277,290
283,291
285,292
285,293
291,295
294,296
294,297
294,298
295,299
295,300
299,305
299,306
301,307
301,308
302,309
302,310
303,311
304,312
304,313
306,314
306,315
316,319
316,320
317,321
318,322
318,323
320,324
320,325
326,327
326,328
329,330
329,331
330,332
332,333
333,334
335,342
335,343
336,344
336,345
337,346
337,347
338,348
338,349
339,350
339,351
340,352
340,353
341,354
341,355
344,356
346,357
348,358
350,359
352,360
354,361
357,362
358,363
359,364
360,365
361,366
362,374
363,375
364,376
365,377
366,378
367,379
367,380
368,381
369,382
370,383
371,384
372,385
373,386
387,403
387,404
388,405
388,406
389,407
389,408
390,409
390,410
391,411
391,412
392,413
392,414
393,415
393,416
394,417
395,418
395,419
396,420
396,421
397,422
397,423
398,424
399,425
399,426
400,427
400,428
401,429
401,430
402,431
403,432
405,433
407,434
409,435
411,436
413,437
415,438
418,439
420,440
422,441
425,442
427,443
429,444
432,445
433,446
434,447
435,448
436,449
437,450
438,451
445,452
446,453
447,454
448,455
449,456
450,457
451,458
459,465
459,466
460,467
460,468
461,469
462,470
462,471
463,472
463,473
464,474
475,503
475,504
475,505
476,506
476,507
477,508
478,509
478,510
478,511
479,512
480,513
481,514
482,515
483,516
483,517
484,518
484,519
485,520
485,521
486,522
486,523
487,524
487,525
488,526
488,527
489,528
489,529
490,530
490,531
490,532
491,533
492,534
493,535
494,536
495,537
495,538
496,539
496,540
497,541
497,542
498,543
499,544
499,545
500,546
500,547
501,548
501,549
502,550
516,551
518,552
520,553
522,554
524,555
526,556
528,557
537,558
539,559
541,560
544,561
546,562
548,563
551,564
552,565
553,566
554,567
555,568
556,569
557,570
564,571
565,572
566,573
567,574
568,575
569,576
570,577
578,586
578,587
579,588
579,589
580,590
580,591
581,592
582,593
582,594
583,595
583,596
584,597
584,598
585,599
600,618
600,619
600,620
601,621
602,622
603,623
604,624
605,625
606,626
607,627
608,628
609,629
610,630
610,631
611,632
612,633
613,634
613,635
613,636
614,637
615,638
616,639
617,640
641,642
643,650
643,651
644,652
644,653
645,654
645,655
646,656
647,657
648,658
649,659
649,660
651,661
651,662
651,663
651,664
653,665
655,666
667,670
667,671
668,672
668,673
669,674
669,675
676,677
676,678
679,680
679,681
