src,same_file,jaccard_val,dst
70,0,-1,118
272,1,-1,283
273,1,-1,285
336,1,-1,344
387,1,-1,403
388,1,-1,405
483,1,-1,516
484,1,-1,518
485,1,-1,520
486,1,-1,522
487,1,-1,524
389,1,-1,407
488,1,-1,526
489,1,-1,528
390,1,-1,409
391,1,-1,411
337,1,-1,346
495,1,-1,537
496,1,-1,539
497,1,-1,541
392,1,-1,413
499,1,-1,544
500,1,-1,546
501,1,-1,548
393,1,-1,415
338,1,-1,348
339,1,-1,350
395,1,-1,418
396,1,-1,420
397,1,-1,422
340,1,-1,352
399,1,-1,425
400,1,-1,427
401,1,-1,429
341,1,-1,354
329,1,-1,330
