id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,39,2,packages\faye-websocket\examples\autobahn_client.js,0,0
2,VariableDeclaration,nan,-1,-1,-1,1,0,3,32,packages\faye-websocket\examples\autobahn_client.js,0,1
3,VariableDeclaration,nan,-1,-1,-1,5,0,8,40,packages\faye-websocket\examples\autobahn_client.js,0,2
4,VariableDeclaration,nan,-1,-1,-1,10,0,11,18,packages\faye-websocket\examples\autobahn_client.js,0,3
6,VariableDeclaration,nan,-1,-1,-1,19,0,35,2,packages\faye-websocket\examples\autobahn_client.js,0,4
8,AssignmentExpression,nan,-1,-1,-1,13,0,17,1,packages\faye-websocket\examples\autobahn_client.js,0,5
9,AssignmentExpression,nan,-1,-1,-1,37,0,39,1,packages\faye-websocket\examples\autobahn_client.js,0,6
10,MemberExpression,nan,-1,-1,-1,13,0,13,16,packages\faye-websocket\examples\autobahn_client.js,0,7
11,FunctionExpression,nan,-1,1,0,13,19,17,1,packages\faye-websocket\examples\autobahn_client.js,0,8
12,MemberExpression,nan,-1,-1,-1,37,0,37,14,packages\faye-websocket\examples\autobahn_client.js,0,9
13,FunctionExpression,nan,-1,0,0,37,17,39,1,packages\faye-websocket\examples\autobahn_client.js,0,10
14,Identifier,event,-1,-1,-1,13,28,13,33,packages\faye-websocket\examples\autobahn_client.js,0,11
16,BlockStatement,nan,-1,-1,-1,13,35,17,1,packages\faye-websocket\examples\autobahn_client.js,0,12
18,BlockStatement,nan,-1,-1,-1,37,28,39,1,packages\faye-websocket\examples\autobahn_client.js,0,13
23,CallExpression,nan,1,-1,-1,14,2,14,50,packages\faye-websocket\examples\autobahn_client.js,0,14
24,AssignmentExpression,nan,-1,-1,-1,15,2,15,30,packages\faye-websocket\examples\autobahn_client.js,0,15
25,AssignmentExpression,nan,-1,-1,-1,16,2,16,24,packages\faye-websocket\examples\autobahn_client.js,0,16
26,CallExpression,nan,1,-1,-1,38,2,38,12,packages\faye-websocket\examples\autobahn_client.js,0,17
28,MemberExpression,nan,-1,-1,-1,14,2,14,13,packages\faye-websocket\examples\autobahn_client.js,0,18
29,Identifier,cases,-1,-1,-1,15,2,15,7,packages\faye-websocket\examples\autobahn_client.js,0,19
30,CallExpression,nan,1,-1,-1,15,10,15,30,packages\faye-websocket\examples\autobahn_client.js,0,20
31,Identifier,progress,-1,-1,-1,16,2,16,10,packages\faye-websocket\examples\autobahn_client.js,0,21
32,CallExpression,nan,1,-1,-1,16,13,16,24,packages\faye-websocket\examples\autobahn_client.js,0,22
34,Identifier,runCase,-1,-1,-1,38,2,38,9,packages\faye-websocket\examples\autobahn_client.js,0,23
36,MemberExpression,nan,-1,-1,-1,14,39,14,49,packages\faye-websocket\examples\autobahn_client.js,0,24
37,MemberExpression,nan,-1,-1,-1,15,19,15,29,packages\faye-websocket\examples\autobahn_client.js,0,25
38,Identifier,parseInt,-1,-1,-1,15,10,15,18,packages\faye-websocket\examples\autobahn_client.js,0,26
39,Identifier,cases,-1,-1,-1,16,18,16,23,packages\faye-websocket\examples\autobahn_client.js,0,27
40,Identifier,pace,-1,-1,-1,16,13,16,17,packages\faye-websocket\examples\autobahn_client.js,0,28
41,Program,nan,-1,-1,-1,1,0,32,2,packages\faye-websocket\examples\client.js,0,29
42,VariableDeclaration,nan,-1,-1,-1,1,0,3,30,packages\faye-websocket\examples\client.js,0,30
43,VariableDeclaration,nan,-1,-1,-1,5,0,8,23,packages\faye-websocket\examples\client.js,0,31
44,VariableDeclaration,nan,-1,-1,-1,10,0,15,3,packages\faye-websocket\examples\client.js,0,32
49,AssignmentExpression,nan,-1,-1,-1,17,0,20,1,packages\faye-websocket\examples\client.js,0,33
50,AssignmentExpression,nan,-1,-1,-1,22,0,24,1,packages\faye-websocket\examples\client.js,0,34
