src,dst
792,440
430,302
155,398
225,396
9,144
765,11
372,442
768,140
402,512
320,300
915,492
627,420
816,424
200,286
473,392
529,288
482,440
882,518
152,424
539,444
438,292
538,137
195,432
42,290
37,372
914,524
656,380
488,518
546,308
257,492
232,300
576,286
79,288
419,508
28,428
801,41
911,366
293,424
220,304
312,414
904,440
812,410
559,404
481,386
79,290
86,522
788,418
147,43
631,498
422,378
741,432
389,286
657,294
23,396
218,384
256,492
162,496
239,264
377,192
291,43
533,306
476,144
98,404
13,140
217,144
511,508
22,410
878,140
796,524
511,386
379,296
158,400
775,400
757,370
747,368
500,304
513,913
127,440
320,508
645,512
105,422
542,292
109,516
233,442
567,400
521,406
664,442
39,392
149,490
221,394
235,140
64,520
33,516
488,310
444,434
390,378
437,434
575,502
815,490
923,398
411,440
469,488
687,428
201,504
178,286
838,516
160,494
147,370
475,396
652,378
629,512
209,137
313,524
63,410
46,406
99,392
295,428
21,432
690,400
795,496
692,386
916,418
468,306
302,290
323,422
116,506
747,498
671,390
763,284
74,430
101,298
525,412
226,424
194,494
312,376
120,436
399,402
296,430
385,402
65,390
124,398
799,140
745,382
160,508
437,508
386,400
804,432
127,488
881,378
130,494
205,298
73,422
893,510
548,298
18,420
105,492
141,498
568,444
198,428
157,432
418,41
640,140
540,372
12,500
497,396
514,392
639,418
242,414
66,508
809,418
171,400
57,440
153,500
378,440
805,432
266,390
147,144
403,294
579,410
95,140
395,298
560,438
205,444
476,899
894,288
286,444
125,440
507,378
408,520
294,404
636,512
60,130
85,402
791,500
483,390
1,43
755,398
559,496
564,386
888,41
564,434
44,418
25,384
195,512
889,518
202,418
49,368
551,412
174,412
37,378
30,382
692,388
649,504
95,296
204,144
145,414
370,264
298,424
180,310
3,130
767,496
473,494
18,420
565,376
372,442
208,296
889,394
383,11
655,382
130,520
909,192
269,372
295,416
497,416
208,290
531,302
681,144
384,512
753,264
900,514
165,304
534,390
757,266
551,424
562,412
414,137
212,490
558,510
476,412
761,424
404,913
209,368
141,510
917,406
293,426
393,12
915,436
64,414
366,290
11,390
535,436
45,520
827,376
832,913
261,374
629,520
648,913
231,12
475,510
92,440
692,366
536,506
82,522
67,422
558,400
509,374
874,518
397,308
19,442
878,378
67,400
813,518
493,422
77,404
562,43
777,504
173,264
673,442
884,286
384,304
635,388
172,284
546,414
178,41
64,308
763,514
380,296
74,514
33,440
793,304
136,520
182,424
220,514
570,372
42,500
23,408
557,308
249,506
862,43
252,12
125,288
842,400
124,406
293,308
823,522
290,444
834,496
856,137
23,292
505,500
521,440
838,300
108,306
392,288
870,376
150,137
847,192
515,416
57,436
76,366
232,913
826,414
476,302
545,266
150,420
884,284
437,396
107,12
436,494
572,418
837,414
184,398
17,522
637,137
70,426
200,422
146,498
765,436
550,370
848,496
166,422
138,913
437,506
154,522
538,290
407,428
675,292
552,488
757,388
737,428
13,400
442,11
426,510
524,416
753,434
469,442
391,913
440,290
69,402
787,913
771,43
870,496
797,43
490,386
234,298
197,420
149,426
488,500
775,43
369,488
78,398
906,368
484,304
841,522
167,424
97,394
23,368
743,506
15,130
68,372
781,378
755,300
900,412
91,488
286,259
501,408
213,440
434,140
820,390
439,432
635,372
314,414
893,496
202,444
387,390
63,41
671,418
214,370
253,140
35,438
427,394
208,506
795,426
32,416
46,310
784,374
366,913
203,522
649,410
95,372
426,518
765,386
