src,same_file,jaccard_val,dst
782,1,-1,524
879,0,-1,140
343,1,-1,296
587,1,-1,388
280,1,-1,502
343,1,-1,298
719,1,-1,508
452,1,-1,382
734,1,-1,488
879,1,-1,512
335,1,-1,408
612,1,-1,444
595,1,-1,426
764,0,-1,41
279,1,-1,286
247,0,-1,510
594,1,-1,290
48,0,-1,386
175,1,0.0,11
752,1,-1,384
346,1,-1,288
277,1,-1,372
170,1,-1,41
605,0,-1,41
333,1,-1,444
678,1,-1,288
456,1,-1,398
666,1,-1,486
282,1,-1,522
342,1,-1,384
111,0,-1,512
711,1,-1,298
611,1,-1,494
326,1,-1,514
702,1,-1,524
740,1,-1,292
762,0,-1,192
606,1,-1,392
650,1,-1,496
114,0,-1,384
625,1,-1,286
615,1,-1,504
770,0,-1,43
114,0,-1,504
334,1,-1,296
877,1,-1,302
597,1,-1,388
247,0,-1,296
752,1,-1,300
634,1,-1,512
590,1,-1,420
611,1,-1,400
700,1,-1,382
332,1,-1,412
646,1,-1,488
727,0,-1,41
56,0,-1,418
605,1,-1,302
458,1,-1,520
592,1,-1,394
449,1,-1,518
707,1,-1,304
327,1,-1,524
861,1,-1,366
723,1,-1,266
342,1,-1,520
736,1,-1,370
459,1,-1,302
782,0,-1,899
344,1,-1,392
634,1,-1,378
607,1,-1,512
736,1,-1,402
452,1,-1,410
349,0,-1,41
717,1,-1,406
270,1,-1,444
715,1,-1,422
282,0,-1,913
360,1,-1,492
461,1,-1,300
48,0,-1,292
613,1,-1,524
732,1,-1,376
