src,same_file,jaccard_val,dst
339,1,1.0,39
464,1,1.0,39
469,1,1.0,404
453,1,-1.0,141
456,1,-1.0,141
255,1,0.0,148
429,1,1.0,48
202,1,1.0,43
203,1,1.0,43
204,1,1.0,48
411,1,1.0,54
486,1,1.0,54
491,1,1.0,53
488,1,-1.0,495
379,1,-1.0,415
25,1,-1.0,27
738,1,1.0,524
609,1,1.0,524
732,1,1.0,530
757,1,1.0,530
762,1,1.0,529
759,1,-1.0,763
728,1,-1.0,736
992,1,-1.0,1002
925,1,-1.0,946
821,1,-1.0,825
1104,1,0.0,1075
1105,1,0.0,1075
1024,1,-1.0,1027
1233,1,-1.0,1268
1234,1,-1.0,1270
1235,1,-1.0,1272
1236,1,-1.0,1274
1209,1,-1.0,1214
1237,1,-1.0,1276
1238,1,-1.0,1278
1210,1,-1.0,1216
1759,1,-1.0,1798
1432,1,-1.0,1540
1432,1,-1.0,1541
1240,1,-1.0,1281
1762,1,-1.0,1805
1441,1,-1.0,1554
1441,1,-1.0,1555
1241,1,-1.0,1283
1766,1,-1.0,1814
1445,1,-1.0,1561
1445,1,-1.0,1562
1242,1,-1.0,1285
1769,1,-1.0,1821
1453,1,-1.0,1573
1453,1,-1.0,1574
1243,1,-1.0,1287
1772,1,-1.0,1828
1457,1,-1.0,1580
1457,1,-1.0,1581
1244,1,-1.0,1289
1775,1,-1.0,1835
1461,1,-1.0,1587
1461,1,-1.0,1588
1245,1,-1.0,1291
1462,1,-1.0,1590
1462,1,-1.0,1591
1246,1,-1.0,1293
1778,1,-1.0,1841
1778,1,-1.0,1842
1463,1,-1.0,1593
1463,1,-1.0,1594
1247,1,-1.0,1295
1781,1,-1.0,1849
1467,1,-1.0,1600
1467,1,-1.0,1601
1248,1,-1.0,1297
1784,1,-1.0,1856
1471,1,-1.0,1607
1471,1,-1.0,1608
1249,1,-1.0,1299
1787,1,-1.0,1863
1475,1,-1.0,1614
1475,1,-1.0,1615
1250,1,-1.0,1301
1476,1,-1.0,1617
1476,1,-1.0,1618
1251,1,-1.0,1303
1477,1,-1.0,1620
1477,1,-1.0,1621
1252,1,-1.0,1305
1478,1,-1.0,1623
1478,1,-1.0,1624
1253,1,-1.0,1307
1211,1,-1.0,1218
1254,1,-1.0,1309
1255,1,-1.0,1311
1256,1,-1.0,1313
1257,1,-1.0,1315
1258,1,-1.0,1317
1259,1,-1.0,1319
1260,1,-1.0,1321
1212,1,-1.0,1220
1261,1,-1.0,1323
1262,1,-1.0,1325
1263,1,-1.0,1327
1264,1,-1.0,1329
1265,1,-1.0,1331
1266,1,-1.0,1333
1267,1,-1.0,1335
1213,1,-1.0,1222
1204,1,-1.0,1205
2049,1,-1.0,2053
2050,1,-1.0,2055
2071,1,-1.0,2087
2051,1,-1.0,2057
2124,1,-1.0,2142
2072,1,-1.0,2089
2126,1,-1.0,2145
2073,1,-1.0,2091
2128,1,-1.0,2148
2074,1,-1.0,2093
2130,1,-1.0,2151
2075,1,-1.0,2095
2132,1,-1.0,2154
2076,1,-1.0,2097
2134,1,-1.0,2157
2077,1,-1.0,2099
2052,1,-1.0,2059
2044,1,-1.0,2045
2789,1,-1.0,2520
2970,1,-1.0,2306
2604,1,-1.0,2304
3049,1,-1.0,2306
2891,1,-1.0,2331
2804,1,-1.0,2335
2811,1,-1.0,2520
3111,1,-1.0,2550
2919,1,-1.0,2548
2825,1,-1.0,2542
3188,1,-1.0,2520
3201,1,1.0,2726
3128,1,1.0,2726
3129,1,-1.0,2546
2434,1,-1.0,2544
2635,1,-1.0,2546
2737,1,-1.0,2329
2739,1,-1.0,2351
2743,1,-1.0,2329
3097,1,-1.0,2363
2653,1,-1.0,2369
2653,1,-1.0,2367
2653,1,-1.0,2365
2672,1,-1.0,2304
2783,1,1.0,2600
