src,same_file,jaccard_val,dst
1781,1,-1,1841
1926,0,0.0,47
1084,0,-1,1268
1424,0,-1,2304
1794,0,0.0,35
1517,0,0.0,47
731,0,-1,2097
2068,0,-1,2546
608,1,1.0,519
1780,0,-1,2550
1929,1,-1,1303
1923,0,-1,2363
1771,1,-1,1301
2672,0,-1,1278
1761,0,0.0,44
1921,0,0.0,37
1245,0,-1,2363
1663,0,-1,2542
260,0,0.0,2726
1422,1,-1,1216
641,0,-1,1327
2082,0,-1,2308
1823,0,-1,2154
1769,0,-1,1027
1927,0,-1,2151
2967,0,-1,26
2816,0,-1,1042
1239,1,-1,1297
2050,0,-1,2388
2072,0,-1,1270
2180,0,-1,1623
2197,0,-1,1216
2135,0,0.0,572
3097,1,-1,2329
2066,0,-1,1218
1211,0,-1,580
1782,0,-1,2329
2128,0,-1,1276
1477,0,-1,1042
191,0,-1,1615
1768,1,-1,1281
1438,1,-1,1274
1771,0,-1,825
1188,0,-1,2148
1463,0,-1,2322
3125,0,-1,1270
271,0,-1,2363
1785,1,-1,1841
453,0,-1,2322
1252,1,-1,1331
821,0,-1,1541
491,0,-1,1214
509,0,-1,736
3201,0,-1,236
1419,1,-1,1617
2955,1,-1,2310
641,1,0.0,531
1108,0,-1,2388
1077,0,-1,2087
491,0,0.0,519
2198,0,0.0,33
783,0,0.0,37
622,0,-1,1540
202,0,-1,2546
3097,0,-1,1601
488,0,-1,1268
1639,1,-1,1270
1237,1,-1,1317
2,0,0.0,48
1911,1,-1,1842
1765,1,-1,1325
165,0,-1,1270
2068,0,-1,1317
463,0,-1,2396
1663,0,0.0,404
1265,1,-1,1798
2878,1,-1,2520
1761,0,-1,2365
1252,1,-1,1299
2074,0,0.0,54
1477,0,-1,2151
1491,1,-1,1540
1258,0,-1,1046
963,0,-1,1555
1926,0,0.0,522
1912,0,0.0,33
1583,1,-1,1580
1778,1,-1,1285
1212,1,-1,1798
2878,0,0.0,39
987,0,-1,2093
326,0,-1,1573
1156,0,0.0,522
1204,0,0.0,40
2134,0,-1,2345
1470,1,-1,1327
1444,0,-1,2335
1659,0,-1,2367
636,0,0.0,148
2197,0,-1,2353
2869,0,-1,859
1945,0,-1,2053
2672,0,0.0,39
1240,1,-1,1562
1235,0,-1,1052
1874,1,-1,1842
1473,0,-1,1054
1234,0,-1,857
2082,0,-1,2861
2697,0,-1,1283
1823,1,-1,1574
1508,0,-1,2089
1439,1,-1,1309
3038,0,-1,1580
1438,0,-1,2142
1779,0,0.0,527
1420,1,-1,1623
2051,0,-1,1289
1830,1,-1,1270
382,1,0.0,55
1760,0,-1,857
1780,0,0.0,53
1867,0,-1,2142
1239,0,0.0,41
1946,0,-1,131
410,1,0.0,46
1484,0,-1,2377
1087,0,-1,861
463,0,-1,517
1759,1,-1,1588
1429,1,-1,1309
636,0,-1,1285
269,0,-1,2318
2204,0,-1,2322
1429,0,-1,402
608,0,-1,1573
1458,1,-1,1573
2604,0,-1,1608
1249,1,-1,1305
1429,1,-1,1272
1457,0,0.0,2600
1780,0,-1,2087
1105,0,-1,1588
1791,0,-1,2316
596,0,-1,2386
1204,0,-1,867
1213,1,-1,1863
1948,0,0.0,51
2126,0,-1,1301
631,0,-1,1841
1435,1,-1,1608
