id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,8,1,packages\fontfaceobserver\exports.js,0,0
3,IfStatement,nan,-1,-1,-1,3,0,8,1,packages\fontfaceobserver\exports.js,0,1
4,CallExpression,nan,1,-1,-1,1,0,1,33,packages\fontfaceobserver\exports.js,0,2
5,BlockStatement,nan,-1,-1,-1,3,32,5,1,packages\fontfaceobserver\exports.js,0,3
8,MemberExpression,nan,-1,-1,-1,1,0,1,12,packages\fontfaceobserver\exports.js,0,4
10,UnaryExpression,nan,1,-1,-1,3,4,3,17,packages\fontfaceobserver\exports.js,0,5
12,AssignmentExpression,nan,-1,-1,-1,4,2,4,36,packages\fontfaceobserver\exports.js,0,6
13,Identifier,module,-1,-1,-1,3,11,3,17,packages\fontfaceobserver\exports.js,0,7
14,MemberExpression,nan,-1,-1,-1,4,2,4,16,packages\fontfaceobserver\exports.js,0,8
15,MemberExpression,nan,-1,-1,-1,4,19,4,36,packages\fontfaceobserver\exports.js,0,9
16,Program,nan,-1,-1,-1,5,0,10,20,packages\fontfaceobserver\externs-commonjs.js,0,10
17,VariableDeclaration,nan,-1,-1,-1,5,0,5,16,packages\fontfaceobserver\externs-commonjs.js,0,11
19,AssignmentExpression,nan,-1,-1,-1,10,0,10,19,packages\fontfaceobserver\externs-commonjs.js,0,12
20,MemberExpression,nan,-1,-1,-1,10,0,10,14,packages\fontfaceobserver\externs-commonjs.js,0,13
21,ObjectExpression,nan,-1,-1,-1,10,17,10,19,packages\fontfaceobserver\externs-commonjs.js,0,14
22,Program,nan,-1,-1,-1,7,0,15,70,packages\fontfaceobserver\externs.js,0,15
23,VariableDeclaration,nan,-1,-1,-1,7,0,7,57,packages\fontfaceobserver\externs.js,0,16
25,AssignmentExpression,nan,-1,-1,-1,15,0,15,69,packages\fontfaceobserver\externs.js,0,17
26,MemberExpression,nan,-1,-1,-1,15,0,15,31,packages\fontfaceobserver\externs.js,0,18
27,FunctionExpression,nan,-1,2,0,15,34,15,69,packages\fontfaceobserver\externs.js,0,19
28,Identifier,opt_text,-1,-1,-1,15,44,15,52,packages\fontfaceobserver\externs.js,0,20
29,Identifier,opt_timeout,-1,-1,-1,15,54,15,65,packages\fontfaceobserver\externs.js,0,21
31,BlockStatement,nan,-1,-1,-1,15,67,15,69,packages\fontfaceobserver\externs.js,0,22
32,Program,nan,-1,-1,-1,1,70,12,322,packages\fontfaceobserver\fontfaceobserver.js,0,23
35,CallExpression,nan,0,-1,-1,1,71,3,493,packages\fontfaceobserver\fontfaceobserver.js,0,24
36,CallExpression,nan,0,-1,-1,5,1,12,320,packages\fontfaceobserver\fontfaceobserver.js,0,25
37,FunctionExpression,nan,-1,0,0,1,71,3,491,packages\fontfaceobserver\fontfaceobserver.js,0,26
38,FunctionExpression,nan,-1,0,0,5,1,12,318,packages\fontfaceobserver\fontfaceobserver.js,0,27
40,BlockStatement,nan,-1,-1,-1,1,81,3,491,packages\fontfaceobserver\fontfaceobserver.js,0,28
42,BlockStatement,nan,-1,-1,-1,5,11,12,318,packages\fontfaceobserver\fontfaceobserver.js,0,29
44,VariableDeclaration,nan,-1,-1,-1,1,95,1,106,packages\fontfaceobserver\fontfaceobserver.js,0,30
45,FunctionDeclaration,nan,-1,1,0,1,106,1,147,packages\fontfaceobserver\fontfaceobserver.js,0,31
