src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
30,47
30,48
47,50
49,51
49,52
52,53
52,54
52,55
52,56
56,57
56,58
56,59
56,60
56,61
56,62
56,63
56,64
56,65
56,66
56,67
56,68
56,69
57,70
57,71
58,72
58,73
59,74
67,75
67,76
68,77
69,78
70,79
72,80
74,81
77,85
77,86
77,87
77,88
77,89
77,90
79,91
80,94
81,97
82,98
82,99
88,102
88,103
89,104
89,105
90,108
90,109
91,110
92,111
94,112
96,113
97,114
100,115
100,116
101,117
101,118
101,119
102,120
103,121
105,122
106,123
107,124
109,125
109,126
109,127
118,128
118,129
118,130
120,131
121,132
121,133
122,138
131,141
132,142
133,143
136,144
140,146
140,147
154,155
154,156
154,157
154,158
154,159
154,160
154,161
154,162
154,163
154,164
154,165
154,166
154,167
168,178
168,179
169,180
169,181
170,182
170,183
171,184
171,185
172,186
172,187
172,188
173,189
173,190
173,191
174,192
174,193
174,194
175,195
175,196
175,197
176,198
176,199
177,200
177,201
177,202
178,203
178,204
180,205
180,206
182,207
182,208
184,209
184,210
187,211
187,212
190,213
190,214
193,215
193,216
196,217
196,218
198,219
198,220
201,221
201,222
212,223
214,224
214,225
214,226
216,227
216,228
218,229
218,230
218,231
220,232
233,279
233,280
234,281
234,282
235,283
236,284
236,285
236,286
237,287
237,288
237,289
238,290
238,291
238,292
239,293
239,294
239,295
240,296
240,297
240,298
241,299
241,300
241,301
242,302
242,303
242,304
243,305
243,306
243,307
244,308
244,309
244,310
245,311
245,312
245,313
246,314
246,315
246,316
247,317
247,318
247,319
248,320
249,321
249,322
249,323
250,324
250,325
250,326
251,327
251,328
251,329
252,330
252,331
252,332
253,333
254,334
254,335
254,336
255,337
255,338
255,339
256,340
256,341
256,342
257,343
257,344
257,345
258,346
258,347
258,348
259,349
259,350
259,351
260,352
260,353
261,354
262,355
262,356
263,357
263,358
264,359
264,360
264,361
265,362
265,363
265,364
266,365
267,366
267,367
267,368
268,369
269,370
269,371
269,372
270,373
271,374
271,375
271,376
272,377
273,378
273,379
274,380
274,381
274,382
275,383
276,384
276,385
276,386
277,387
277,388
277,389
278,390
279,391
284,392
287,393
290,394
293,395
296,396
299,397
302,398
305,399
308,400
312,401
312,402
315,403
315,404
318,405
318,406
321,407
324,408
327,409
330,410
334,411
337,412
340,413
343,414
347,415
347,416
350,417
350,418
352,419
352,420
357,421
359,422
362,423
367,424
367,425
371,426
371,427
375,428
375,429
378,430
384,431
387,432
416,433
418,434
425,435
427,436
429,437
438,470
439,471
440,472
441,473
442,474
443,475
444,476
445,477
446,478
447,479
447,480
447,481
448,482
448,483
448,484
449,485
449,486
449,487
450,488
450,489
450,490
451,491
451,492
451,493
452,494
453,495
453,496
453,497
454,498
455,499
455,500
456,501
456,502
457,503
458,504
458,505
459,506
460,507
460,508
461,509
461,510
462,511
462,512
463,513
464,514
464,515
465,516
465,517
466,518
467,519
467,520
468,521
468,522
469,523
479,524
482,526
485,528
489,530
489,531
496,532
496,533
499,534
501,535
505,536
507,540
507,541
507,542
509,544
509,545
509,546
512,547
514,551
514,552
514,553
517,555
519,559
519,560
519,561
521,563
521,564
521,565
525,566
525,567
527,568
527,569
529,570
529,571
533,572
575,587
575,588
576,589
576,590
577,591
577,592
578,593
578,594
578,595
579,596
579,597
579,598
580,599
580,600
580,601
581,602
582,603
583,604
596,605
596,606
599,608
599,609
