src,same_file,jaccard_val,dst
438,0,-1,52
236,1,-1,284
439,0,-1,52
237,1,-1,287
440,0,-1,52
238,1,-1,290
441,0,-1,52
239,1,-1,293
442,0,-1,52
240,1,-1,296
443,0,-1,52
241,1,-1,299
444,0,-1,52
242,1,-1,302
445,0,-1,52
243,1,-1,305
446,0,-1,52
244,1,-1,308
575,0,-1,52
447,1,-1,479
576,0,-1,52
448,1,-1,482
577,0,-1,52
449,1,-1,485
321,0,-1,52
324,0,-1,52
327,0,-1,52
330,0,-1,52
334,0,-1,52
337,0,-1,52
340,0,-1,52
343,0,-1,52
596,0,-1,52
599,0,-1,52
582,0,-1,52
455,1,-1,499
583,0,-1,52
456,1,-1,501
359,0,-1,52
362,0,-1,52
469,0,-1,52
276,1,-1,384
387,0,-1,52
