src,dst
184,296
70,293
304,367
220,496
515,305
219,499
493,296
217,384
350,178
352,479
293,371
313,193
437,284
124,312
366,350
196,296
415,312
552,347
150,499
10,375
593,299
282,318
435,290
354,499
230,367
63,371
310,299
7,367
483,187
538,178
149,52
215,347
388,305
13,184
283,350
112,350
6,315
328,501
476,193
608,52
145,375
535,347
31,315
487,479
144,315
36,501
31,367
315,284
488,198
433,384
4,375
347,318
435,367
332,485
472,347
51,201
533,367
399,190
548,312
312,182
318,180
539,201
119,305
135,305
67,198
419,302
40,193
282,308
129,352
223,187
363,371
162,482
144,318
302,482
112,315
358,296
226,312
587,501
81,318
164,182
603,318
47,284
319,180
319,290
189,287
560,375
159,290
499,182
483,184
93,190
0,52
595,287
86,347
280,489
213,501
318,501
411,287
486,296
349,479
517,52
309,371
74,352
63,293
347,178
391,367
142,187
367,318
125,184
125,184
120,318
559,315
178,201
364,496
365,193
543,308
404,302
40,52
299,193
317,318
201,371
495,367
482,489
605,347
504,347
3,479
230,290
166,367
380,308
45,184
13,296
70,479
44,375
404,187
222,190
516,367
28,284
81,187
76,180
32,318
160,352
610,198
8,315
182,190
605,178
431,182
4,352
528,178
342,485
297,489
64,284
66,302
167,190
151,312
142,384
127,496
128,180
559,347
367,178
590,352
511,347
388,347
331,198
348,287
40,308
304,479
17,305
159,375
57,496
574,190
25,501
179,299
501,178
87,499
602,52
79,201
128,180
226,290
181,180
132,293
310,489
13,308
313,371
113,501
81,180
427,296
353,499
89,302
61,308
49,315
286,367
355,182
407,178
458,198
43,193
57,184
158,190
491,479
12,196
561,284
531,293
288,499
496,198
421,287
31,196
499,287
422,290
389,371
543,499
422,299
357,287
376,190
157,347
84,299
320,482
378,196
181,347
320,290
232,312
350,482
22,318
19,287
433,193
20,190
605,184
284,182
573,290
69,305
555,293
389,187
536,312
140,485
539,302
418,290
513,182
477,496
225,293
465,312
231,187
125,315
341,479
61,287
214,384
137,479
53,501
516,318
25,384
284,347
407,198
497,184
403,184
54,499
432,299
486,347
158,318
304,318
195,190
287,375
388,308
299,182
518,296
483,193
585,296
550,485
31,284
60,499
149,496
307,479
204,296
135,496
487,489
412,299
304,496
63,284
425,305
190,290
533,318
436,293
569,485
23,305
192,198
534,184
42,182
601,299
426,287
184,315
193,184
79,178
181,485
162,352
397,315
133,318
120,482
149,180
216,302
604,499
386,193
551,375
593,352
303,196
323,299
181,371
597,352
412,305
588,187
487,302
23,501
96,489
353,299
128,180
360,293
0,318
15,352
302,198
110,501
338,302
403,499
492,299
288,501
38,499
369,501
432,184
560,184
558,299
148,198
482,290
70,293
58,352
303,201
541,350
291,52
584,296
186,352
563,350
281,485
18,312
196,312
232,178
409,375
25,302
13,315
323,367
331,375
404,180
339,479
30,187
115,196
3,479
148,287
31,178
114,201
96,184
376,201
500,318
609,198
210,302
473,196
458,375
38,485
201,315
90,296
108,182
497,178
342,180
346,308
407,187
602,182
2,290
409,375
480,299
328,184
151,371
421,190
385,501
561,178
66,375
573,347
592,287
161,489
73,350
282,193
309,287
133,198
191,318
563,485
353,187
574,308
436,315
499,287
96,187
7,308
325,187
298,299
421,293
494,296
185,479
24,315
297,496
132,318
16,305
108,485
391,347
591,182
435,489
77,201
217,479
411,318
85,485
214,308
411,482
15,184
188,180
166,367
483,489
485,371
21,489
158,499
413,52
182,499
149,318
298,182
385,299
339,315
58,350
408,187
59,489
149,180
85,367
323,384
11,52
162,482
473,290
63,302
230,308
312,284
165,489
83,347
546,299
311,290
376,318
358,52
85,178
344,496
59,367
380,193
213,367
33,367
214,293
505,499
110,371
292,318
389,352
392,305
145,178
571,201
17,479
399,201
299,318
364,312
500,350
366,198
116,312
381,178
183,201
391,193
338,375
