src,same_file,jaccard_val,dst
463,1,-1,384
270,1,-1,184
250,1,-1,284
174,1,-1,287
249,1,-1,501
239,1,-1,384
451,1,-1,350
460,1,-1,182
273,1,-1,293
261,1,-1,371
271,1,-1,293
264,0,-1,52
509,1,-1,350
174,1,-1,193
273,1,-1,180
453,1,-1,352
596,1,-1,299
337,1,-1,180
239,1,-1,287
444,1,-1,196
596,1,-1,187
245,1,-1,482
266,1,-1,479
576,1,-1,284
274,1,-1,201
241,1,-1,352
247,1,-1,184
330,1,-1,367
258,1,-1,178
242,1,-1,184
442,1,-1,312
266,1,-1,347
172,1,-1,299
240,1,-1,384
260,1,-1,485
172,1,-1,190
268,1,-1,315
241,1,-1,305
261,1,-1,496
457,1,-1,367
175,1,-1,296
463,1,-1,485
176,1,-1,315
