id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,373,2,packages\get-intrinsic\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,3,0,3,14,packages\get-intrinsic\index.js,1,1
4,VariableDeclaration,nan,-1,-1,-1,5,0,5,41,packages\get-intrinsic\index.js,1,2
5,VariableDeclaration,nan,-1,-1,-1,7,0,7,34,packages\get-intrinsic\index.js,1,3
6,VariableDeclaration,nan,-1,-1,-1,8,0,8,43,packages\get-intrinsic\index.js,1,4
7,VariableDeclaration,nan,-1,-1,-1,9,0,9,45,packages\get-intrinsic\index.js,1,5
8,VariableDeclaration,nan,-1,-1,-1,10,0,10,47,packages\get-intrinsic\index.js,1,6
9,VariableDeclaration,nan,-1,-1,-1,11,0,11,47,packages\get-intrinsic\index.js,1,7
10,VariableDeclaration,nan,-1,-1,-1,12,0,12,43,packages\get-intrinsic\index.js,1,8
11,VariableDeclaration,nan,-1,-1,-1,13,0,13,41,packages\get-intrinsic\index.js,1,9
12,VariableDeclaration,nan,-1,-1,-1,15,0,15,41,packages\get-intrinsic\index.js,1,10
13,VariableDeclaration,nan,-1,-1,-1,16,0,16,45,packages\get-intrinsic\index.js,1,11
14,VariableDeclaration,nan,-1,-1,-1,17,0,17,41,packages\get-intrinsic\index.js,1,12
15,VariableDeclaration,nan,-1,-1,-1,18,0,18,41,packages\get-intrinsic\index.js,1,13
16,VariableDeclaration,nan,-1,-1,-1,19,0,19,41,packages\get-intrinsic\index.js,1,14
17,VariableDeclaration,nan,-1,-1,-1,20,0,20,45,packages\get-intrinsic\index.js,1,15
18,VariableDeclaration,nan,-1,-1,-1,21,0,21,43,packages\get-intrinsic\index.js,1,16
19,VariableDeclaration,nan,-1,-1,-1,23,0,23,28,packages\get-intrinsic\index.js,1,17
20,VariableDeclaration,nan,-1,-1,-1,24,0,24,52,packages\get-intrinsic\index.js,1,18
21,VariableDeclaration,nan,-1,-1,-1,26,0,28,2,packages\get-intrinsic\index.js,1,19
22,VariableDeclaration,nan,-1,-1,-1,29,0,44,18,packages\get-intrinsic\index.js,1,20
23,VariableDeclaration,nan,-1,-1,-1,46,0,46,42,packages\get-intrinsic\index.js,1,21
24,VariableDeclaration,nan,-1,-1,-1,48,0,48,36,packages\get-intrinsic\index.js,1,22
25,VariableDeclaration,nan,-1,-1,-1,49,0,49,60,packages\get-intrinsic\index.js,1,23
26,VariableDeclaration,nan,-1,-1,-1,50,0,50,62,packages\get-intrinsic\index.js,1,24
27,VariableDeclaration,nan,-1,-1,-1,52,0,52,62,packages\get-intrinsic\index.js,1,25
28,VariableDeclaration,nan,-1,-1,-1,53,0,53,60,packages\get-intrinsic\index.js,1,26
29,VariableDeclaration,nan,-1,-1,-1,55,0,55,19,packages\get-intrinsic\index.js,1,27
30,VariableDeclaration,nan,-1,-1,-1,57,0,57,99,packages\get-intrinsic\index.js,1,28
31,VariableDeclaration,nan,-1,-1,-1,59,0,142,2,packages\get-intrinsic\index.js,1,29
32,IfStatement,nan,-1,-1,-1,144,0,152,1,packages\get-intrinsic\index.js,1,30
33,VariableDeclaration,nan,-1,-1,-1,154,0,154,49,packages\get-intrinsic\index.js,1,31
34,VariableDeclaration,nan,-1,-1,-1,155,0,155,57,packages\get-intrinsic\index.js,1,32
35,VariableDeclaration,nan,-1,-1,-1,156,0,156,68,packages\get-intrinsic\index.js,1,33
36,VariableDeclaration,nan,-1,-1,-1,158,0,181,2,packages\get-intrinsic\index.js,1,34
37,VariableDeclaration,nan,-1,-1,-1,183,0,236,2,packages\get-intrinsic\index.js,1,35
38,VariableDeclaration,nan,-1,-1,-1,238,0,238,36,packages\get-intrinsic\index.js,1,36
39,VariableDeclaration,nan,-1,-1,-1,239,0,239,31,packages\get-intrinsic\index.js,1,37
40,VariableDeclaration,nan,-1,-1,-1,240,0,240,55,packages\get-intrinsic\index.js,1,38
41,VariableDeclaration,nan,-1,-1,-1,241,0,241,61,packages\get-intrinsic\index.js,1,39
42,VariableDeclaration,nan,-1,-1,-1,242,0,242,58,packages\get-intrinsic\index.js,1,40
43,VariableDeclaration,nan,-1,-1,-1,243,0,243,57,packages\get-intrinsic\index.js,1,41
44,VariableDeclaration,nan,-1,-1,-1,244,0,244,52,packages\get-intrinsic\index.js,1,42
45,VariableDeclaration,nan,-1,-1,-1,247,0,247,118,packages\get-intrinsic\index.js,1,43
