src,dst
0,1
0,2
0,3
4,5
4,6
6,7
6,8
8,9
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
20,21
20,22
22,23
22,24
23,25
24,26
24,27
24,28
28,29
28,30
28,31
28,32
28,33
28,34
29,35
29,36
31,37
31,38
33,39
33,40
34,42
34,43
35,44
36,45
37,46
37,47
37,48
39,49
41,50
41,51
42,52
44,53
47,54
48,55
49,57
51,58
51,59
51,60
52,61
53,62
54,63
55,65
55,66
56,67
56,68
57,69
58,71
58,72
68,73
68,74
69,75
70,76
77,78
77,79
77,80
77,81
77,82
77,83
77,84
85,86
85,87
86,88
86,89
90,94
90,95
90,96
91,97
91,98
91,99
92,100
92,101
92,102
93,103
95,104
95,105
97,106
97,107
97,108
98,109
98,110
101,111
101,112
113,120
113,121
113,122
114,123
115,124
115,125
115,126
116,127
116,128
116,129
117,130
117,131
117,132
118,133
118,134
118,135
119,136
124,137
125,138
125,139
128,141
128,142
131,143
131,144
134,145
134,146
140,147
140,148
142,149
142,150
151,157
151,158
152,159
152,160
152,161
153,162
153,163
154,164
155,165
155,166
156,167
159,168
159,169
162,171
162,172
165,173
165,174
170,176
170,177
171,178
173,179
175,180
175,181
