src,dst
1363,729
477,659
1315,691
49,86
739,973
737,693
1228,943
592,203
452,749
1091,954
240,976
146,1371
1110,15
995,1414
1007,725
946,1714
349,1711
668,1713
524,741
81,731
208,204
185,937
1252,49
782,725
781,687
518,729
109,372
1031,765
1717,51
21,19
1384,1714
1368,675
1424,1713
432,976
1734,68
785,947
1039,15
676,183
1062,904
1790,946
886,202
1259,743
803,1371
856,687
1649,496
696,18
351,877
1652,707
282,981
1527,679
1361,729
1760,893
572,739
1605,745
61,19
984,745
79,48
1210,83
1594,879
466,979
1419,926
385,751
886,888
1243,671
233,388
964,745
378,958
1396,707
1143,930
490,743
1343,735
753,566
1691,992
345,597
111,1380
1826,689
918,83
62,1716
1657,763
1351,683
1604,741
458,725
987,733
146,979
853,707
38,893
1119,699
1244,979
1129,372
776,190
164,763
1768,15
1792,950
1603,711
366,14
700,940
142,49
1021,729
532,86
1573,727
59,67
782,753
279,725
1071,51
1738,992
1611,921
1324,946
128,1714
1697,986
751,923
11,49
1652,737
1270,897
1801,934
858,963
932,743
729,981
1759,695
802,68
1596,761
295,759
1618,976
990,1414
196,934
749,683
1181,671
811,20
1628,597
866,55
1277,992
1360,733
94,496
984,1373
1394,719
832,691
1327,904
1350,881
1619,50
42,203
1749,879
105,85
1792,663
1300,884
360,16
129,958
818,932
427,192
1717,963
110,967
1067,566
1001,192
877,739
510,976
827,884
1105,737
193,15
822,67
695,948
1641,203
858,721
783,52
1124,183
298,944
864,203
1767,891
922,753
1698,80
1630,48
858,681
398,1369
1373,761
893,711
732,963
60,751
4,1373
167,941
661,755
186,675
1128,979
50,954
1677,761
865,697
1389,904
948,879
1095,745
982,947
236,979
7,1713
1396,765
717,919
999,759
1045,886
766,388
999,685
20,729
779,908
831,749
927,891
1123,969
1583,16
1797,701
206,930
743,693
1399,711
191,689
1597,737
1041,879
415,569
884,665
1422,923
867,952
1604,683
694,969
1728,965
1144,755
286,969
583,80
1599,372
1006,691
440,944
1103,879
1660,745
1731,48
879,689
427,1732
767,946
846,757
1577,50
218,944
174,729
994,934
489,921
1289,681
928,1714
55,671
288,729
888,707
118,729
602,921
248,51
431,675
277,757
1756,1375
586,747
1056,944
770,723
844,67
1412,331
553,884
910,85
790,1414
1672,581
1795,496
271,667
388,496
819,691
852,566
723,388
538,1713
1673,86
143,595
869,80
1364,761
721,992
429,759
944,190
1661,884
664,19
1009,763
665,683
253,80
1585,203
836,737
1826,719
1103,707
1595,908
1127,737
1256,727
4,927
1563,691
202,745
122,685
1417,735
1660,733
145,727
289,745
1017,753
787,944
1095,47
24,901
1773,1414
1109,944
86,875
73,687
959,388
1288,701
1823,673
737,372
1364,884
713,940
1712,979
1740,49
444,934
360,1732
680,984
503,47
1396,67
906,735
1643,888
919,203
89,1375
386,943
1662,581
1629,930
427,749
97,687
1592,719
399,661
1724,671
919,981
1565,981
198,707
1755,763
709,753
1700,733
322,81
1422,85
1664,954
85,703
1568,717
545,755
997,703
429,190
500,755
489,693
1296,711
450,948
372,948
669,691
909,981
1095,84
1805,981
886,904
1401,707
34,1716
370,879
975,986
1735,897
352,16
666,68
1422,665
1261,992
1631,669
876,719
1649,717
1398,986
1145,927
945,48
198,14
1758,731
884,1375
844,943
860,926
27,970
1260,709
1340,683
757,671
889,699
924,879
757,721
134,597
227,687
978,705
298,80
377,663
1190,701
1194,47
1680,20
1691,992
1187,952
1627,1369
568,693
1324,701
714,14
75,713
164,569
545,671
1210,965
145,55
493,990
425,183
1588,67
1260,675
1660,729
455,85
1107,743
110,69
880,671
1623,919
1297,761
388,947
1058,733
408,55
1046,944
1822,969
378,875
118,703
1818,1714
1815,569
1102,990
1384,705
1120,17
1739,55
966,1373
61,1732
863,886
471,937
142,1369
791,881
763,908
1683,86
510,659
815,973
227,55
1397,717
769,388
493,1711
49,192
947,981
761,663
1090,16
1411,48
462,930
221,675
1007,891
265,48
1027,950
1311,703
777,86
666,969
733,695
1002,926
1677,661
1006,20
1090,908
1071,934
1033,952
926,875
1666,15
659,707
1615,673
1069,705
1403,80
602,976
772,875
54,917
1132,958
369,875
807,681
15,707
659,727
1690,18
907,941
508,969
495,50
55,695
1793,52
929,739
1645,81
866,703
1057,715
40,743
1675,667
677,86
1652,973
1123,705
1327,753
219,20
190,986
234,15
1709,897
1318,943
936,49
678,914
836,84
507,741
1523,83
1727,1732
1225,919
1386,51
454,190
994,919
112,1375
1348,747
1048,19
758,757
8,685
220,687
1305,950
1078,923
428,891
1365,1375
1373,679
1284,67
1093,695
1625,667
563,731
904,192
753,888
822,689
829,765
767,331
1410,952
958,733
296,683
769,675
448,973
204,707
977,908
443,893
1021,50
1326,693
147,877
529,685
1635,965
537,202
535,566
1616,929
835,934
1167,83
1109,669
1653,67
1693,388
1581,687
671,67
1673,85
521,372
786,701
500,1414
774,917
600,83
885,919
711,705
318,877
366,917
1267,703
179,190
1635,976
144,958
327,904
1780,944
85,496
1588,705
1125,685
493,945
1331,761
871,85
498,569
143,703
990,759
505,755
26,711
1605,47
798,904
125,984
492,86
1672,47
247,967
1617,687
1767,737
995,891
826,729
1770,709
1652,986
252,16
1421,948
1358,979
835,671
1663,51
1678,671
1143,751
379,677
1411,937
57,1714
477,203
801,965
1612,921
524,699
592,203
859,934
1293,709
20,725
232,948
910,50
511,979
1216,595
781,679
589,755
222,881
1784,671
711,727
1827,940
556,203
492,737
1404,723
1058,973
881,1716
365,753
887,990
1709,1414
1618,681
782,753
1101,965
1081,665
533,1732
1666,765
1643,729
1421,719
1628,566
1663,703
521,68
1818,49
764,663
1366,69
210,940
670,923
1141,595
1029,1375
258,927
1127,663
1579,188
1047,1732
1314,595
355,14
1136,15
1281,19
1681,973
1014,751
1345,759
581,1373
268,747
685,55
1045,901
334,725
86,679
1769,68
238,741
570,569
154,875
1189,659
108,739
581,1714
571,743
695,85
678,721
939,1380
501,659
429,923
1711,893
1017,717
507,739
985,725
781,745
1657,904
1339,888
755,683
1717,735
975,496
1696,945
116,47
728,1380
782,992
675,943
237,954
334,954
1575,595
954,85
1233,986
692,908
10,917
1530,1373
1410,83
181,932
1181,693
1610,725
866,927
373,741
100,19
886,683
492,685
1360,884
77,723
927,685
1354,20
1654,83
1119,967
20,947
50,743
467,945
476,597
1312,188
937,986
493,984
937,879
803,926
909,875
16,689
254,986
1333,886
909,581
953,51
1360,992
1249,757
1372,919
1766,937
56,731
789,941
1748,877
782,717
1661,183
1375,693
430,990
922,707
757,372
1094,930
191,917
1148,659
973,937
835,932
276,82
979,937
1379,566
1585,990
88,1714
979,711
1241,954
785,681
1242,188
127,683
1637,893
924,203
510,897
746,934
201,683
693,934
336,881
745,891
525,82
687,950
455,737
1279,737
350,1375
759,950
383,719
684,1414
1826,759
943,973
1350,677
133,757
513,709
494,597
593,952
1407,897
1357,203
665,731
1384,749
730,893
425,759
172,763
879,950
1731,671
74,699
1110,747
666,1371
43,1732
1710,757
1597,765
30,739
1694,83
1022,19
79,904
270,917
1523,595
1606,691
222,731
1637,202
982,69
257,48
980,705
1585,992
1233,68
170,970
1086,595
185,945
1674,908
190,18
675,711
380,687
1582,1714
681,82
