src,same_file,jaccard_val,dst
290,0,-1,661
617,1,-1,749
403,0,0.0,891
1435,1,-1,713
1115,0,0.0,47
1466,1,-1,701
481,0,-1,659
652,1,0.0,893
1467,1,0.0,927
1503,0,0.0,48
620,0,0.0,80
407,1,-1,183
1557,1,0.0,945
1496,1,-1,715
630,1,0.0,943
316,1,-1,183
639,1,-1,1375
1072,1,0.0,950
1509,1,0.0,893
1040,1,0.0,940
287,0,0.0,969
417,0,-1,699
522,0,0.0,950
549,0,0.0,919
1811,1,-1,745
1547,0,0.0,67
613,1,0.0,891
1158,1,0.0,930
599,1,0.0,940
1076,1,-1,731
644,0,-1,183
1553,1,-1,681
1450,1,-1,597
1156,1,-1,667
1218,1,0.0,930
652,1,0.0,917
1096,1,0.0,969
1558,1,-1,597
1040,0,0.0,17
149,0,-1,687
585,1,-1,697
1511,1,0.0,919
92,1,0.5,47
1494,1,-1,735
1479,0,0.0,69
281,0,-1,735
403,0,-1,703
585,0,0.0,67
1431,1,0.0,930
1507,1,-1,667
1146,1,-1,675
522,0,0.0,886
576,0,0.0,204
612,0,0.0,85
410,1,-1,388
1116,0,-1,188
1537,1,-1,743
1431,1,0.0,1716
1434,1,0.0,950
395,1,0.0,16
1159,1,0.0,937
1012,1,0.0,921
410,0,-1,1380
313,0,0.0,969
307,1,0.0,86
648,1,-1,713
1534,1,0.0,927
1084,0,-1,192
1118,0,0.0,85
1553,1,0.0,952
1685,1,0.0,946
1550,1,-1,713
1494,1,-1,683
1506,1,0.0,921
1440,1,0.0,934
1685,1,0.0,879
395,0,0.0,1716
285,1,-1,183
634,1,0.0,992
1471,0,0.0,81
1679,1,-1,685
402,1,-1,372
609,0,0.0,18
1096,0,-1,190
1426,1,-1,695
158,0,-1,703
1469,0,0.0,17
1178,0,0.0,85
1146,1,0.0,941
599,0,0.0,18
