id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,8,0,29,3,packages\global-modules\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,10,0,10,29,packages\global-modules\index.js,1,1
4,VariableDeclaration,nan,-1,-1,-1,11,0,11,40,packages\global-modules\index.js,1,2
5,VariableDeclaration,nan,-1,-1,-1,12,0,12,7,packages\global-modules\index.js,1,3
6,FunctionDeclaration,nan,-1,0,1,14,0,19,1,packages\global-modules\index.js,1,4
9,Identifier,getPath,-1,-1,-1,14,9,14,16,packages\global-modules\index.js,1,5
11,BlockStatement,nan,-1,-1,-1,14,19,19,1,packages\global-modules\index.js,1,6
12,CallExpression,nan,3,-1,-1,25,0,29,2,packages\global-modules\index.js,1,7
13,IfStatement,nan,-1,-1,-1,15,2,17,3,packages\global-modules\index.js,1,8
14,ReturnStatement,nan,1,-1,-1,18,2,18,50,packages\global-modules\index.js,1,9
15,Identifier,module,-1,-1,-1,25,23,25,29,packages\global-modules\index.js,1,10
17,ObjectExpression,nan,-1,-1,-1,25,42,29,1,packages\global-modules\index.js,1,11
18,MemberExpression,nan,-1,-1,-1,25,0,25,22,packages\global-modules\index.js,1,12
19,BlockStatement,nan,-1,-1,-1,15,104,17,3,packages\global-modules\index.js,1,13
20,LogicalExpression,nan,-1,-1,-1,15,6,15,102,packages\global-modules\index.js,1,14
21,CallExpression,nan,2,-1,-1,18,9,18,49,packages\global-modules\index.js,1,15
22,ReturnStatement,nan,1,-1,-1,16,4,16,48,packages\global-modules\index.js,1,16
23,LogicalExpression,nan,-1,-1,-1,15,6,15,67,packages\global-modules\index.js,1,17
25,Identifier,prefix,-1,-1,-1,18,22,18,28,packages\global-modules\index.js,1,18
27,MemberExpression,nan,-1,-1,-1,18,9,18,21,packages\global-modules\index.js,1,19
28,CallExpression,nan,2,-1,-1,16,11,16,47,packages\global-modules\index.js,1,20
31,MemberExpression,nan,-1,-1,-1,15,71,15,89,packages\global-modules\index.js,1,21
33,Identifier,prefix,-1,-1,-1,16,24,16,30,packages\global-modules\index.js,1,22
35,MemberExpression,nan,-1,-1,-1,16,11,16,23,packages\global-modules\index.js,1,23
36,MemberExpression,nan,-1,-1,-1,15,6,15,22,packages\global-modules\index.js,1,24
38,MemberExpression,nan,-1,-1,-1,15,38,15,56,packages\global-modules\index.js,1,25
40,Program,nan,-1,-1,-1,8,0,19,3,packages\global-modules\test.js,1,26
43,VariableDeclaration,nan,-1,-1,-1,11,0,11,23,packages\global-modules\test.js,1,27
44,VariableDeclaration,nan,-1,-1,-1,12,0,12,31,packages\global-modules\test.js,1,28
45,VariableDeclaration,nan,-1,-1,-1,13,0,13,23,packages\global-modules\test.js,1,29
48,CallExpression,nan,1,-1,-1,10,0,10,16,packages\global-modules\test.js,1,30
49,CallExpression,nan,2,-1,-1,15,0,19,2,packages\global-modules\test.js,1,31
51,Identifier,require,-1,-1,-1,10,0,10,7,packages\global-modules\test.js,1,32
53,FunctionExpression,nan,-1,0,0,15,27,19,1,packages\global-modules\test.js,1,33
54,Identifier,describe,-1,-1,-1,15,0,15,8,packages\global-modules\test.js,1,34
56,BlockStatement,nan,-1,-1,-1,15,38,19,1,packages\global-modules\test.js,1,35
58,CallExpression,nan,2,-1,-1,16,2,18,4,packages\global-modules\test.js,1,36
60,FunctionExpression,nan,-1,0,0,16,69,18,3,packages\global-modules\test.js,1,37
61,Identifier,it,-1,-1,-1,16,2,16,4,packages\global-modules\test.js,1,38
63,BlockStatement,nan,-1,-1,-1,16,80,18,3,packages\global-modules\test.js,1,39
65,CallExpression,nan,1,-1,-1,17,4,17,29,packages\global-modules\test.js,1,40
66,CallExpression,nan,1,-1,-1,17,11,17,28,packages\global-modules\test.js,1,41
67,Identifier,assert,-1,-1,-1,17,4,17,10,packages\global-modules\test.js,1,42
68,Identifier,gm,-1,-1,-1,17,25,17,27,packages\global-modules\test.js,1,43
69,MemberExpression,nan,-1,-1,-1,17,11,17,24,packages\global-modules\test.js,1,44
