src,dst
0,1
0,2
3,4
3,5
6,7
6,8
9,10
9,11
10,12
13,20
13,21
14,22
14,23
15,24
15,25
16,26
16,27
17,28
17,29
18,30
18,31
19,32
19,33
20,34
20,35
22,36
22,37
24,38
24,39
26,40
26,41
28,42
28,43
30,44
30,45
32,46
32,47
39,48
39,49
49,54
49,55
50,72
51,73
52,74
53,75
55,76
56,77
56,78
57,79
57,80
58,81
58,82
59,83
59,84
60,85
61,86
62,87
63,88
64,89
64,90
65,91
66,92
66,93
67,94
67,95
68,96
68,97
69,98
69,99
70,100
70,101
71,102
71,103
71,104
76,105
76,106
77,107
77,108
79,109
79,110
81,111
81,112
83,113
83,114
89,115
89,116
92,117
92,118
96,119
96,120
100,121
100,122
100,123
106,124
106,125
124,131
124,132
126,154
127,155
128,156
129,157
130,158
131,159
131,160
133,161
134,162
135,163
136,164
137,165
138,166
139,167
140,168
141,169
142,170
143,171
144,172
145,173
146,174
147,175
147,176
148,177
149,178
149,179
150,180
151,181
151,182
152,183
152,184
153,185
