id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,7,24,packages\gulplog\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,3,0,3,33,packages\gulplog\index.js,1,1
4,VariableDeclaration,nan,-1,-1,-1,5,0,5,34,packages\gulplog\index.js,1,2
7,AssignmentExpression,nan,-1,-1,-1,7,0,7,23,packages\gulplog\index.js,1,3
8,MemberExpression,nan,-1,-1,-1,7,0,7,14,packages\gulplog\index.js,1,4
9,Identifier,logger,-1,-1,-1,7,17,7,23,packages\gulplog\index.js,1,5
10,Program,nan,-1,-1,-1,1,0,96,3,packages\gulplog\test\index.js,1,6
12,VariableDeclaration,nan,-1,-1,-1,3,0,3,31,packages\gulplog\test\index.js,1,7
13,VariableDeclaration,nan,-1,-1,-1,5,0,5,28,packages\gulplog\test\index.js,1,8
16,CallExpression,nan,2,-1,-1,7,0,96,2,packages\gulplog\test\index.js,1,9
18,FunctionExpression,nan,-1,0,0,7,20,96,1,packages\gulplog\test\index.js,1,10
19,Identifier,describe,-1,-1,-1,7,0,7,8,packages\gulplog\test\index.js,1,11
21,BlockStatement,nan,-1,-1,-1,7,32,96,1,packages\gulplog\test\index.js,1,12
29,CallExpression,nan,1,-1,-1,8,2,11,4,packages\gulplog\test\index.js,1,13
30,CallExpression,nan,1,-1,-1,13,2,16,4,packages\gulplog\test\index.js,1,14
31,CallExpression,nan,2,-1,-1,18,2,58,4,packages\gulplog\test\index.js,1,15
32,CallExpression,nan,2,-1,-1,60,2,67,4,packages\gulplog\test\index.js,1,16
33,CallExpression,nan,2,-1,-1,69,2,76,4,packages\gulplog\test\index.js,1,17
34,CallExpression,nan,2,-1,-1,78,2,85,4,packages\gulplog\test\index.js,1,18
35,CallExpression,nan,2,-1,-1,87,2,95,4,packages\gulplog\test\index.js,1,19
36,FunctionExpression,nan,-1,1,0,8,8,11,3,packages\gulplog\test\index.js,1,20
37,Identifier,after,-1,-1,-1,8,2,8,7,packages\gulplog\test\index.js,1,21
38,FunctionExpression,nan,-1,1,0,13,12,16,3,packages\gulplog\test\index.js,1,22
39,Identifier,afterEach,-1,-1,-1,13,2,13,11,packages\gulplog\test\index.js,1,23
41,FunctionExpression,nan,-1,1,0,18,88,58,3,packages\gulplog\test\index.js,1,24
42,Identifier,it,-1,-1,-1,18,2,18,4,packages\gulplog\test\index.js,1,25
44,FunctionExpression,nan,-1,1,0,60,42,67,3,packages\gulplog\test\index.js,1,26
45,Identifier,it,-1,-1,-1,60,2,60,4,packages\gulplog\test\index.js,1,27
47,FunctionExpression,nan,-1,1,0,69,38,76,3,packages\gulplog\test\index.js,1,28
48,Identifier,it,-1,-1,-1,69,2,69,4,packages\gulplog\test\index.js,1,29
50,FunctionExpression,nan,-1,1,0,78,37,85,3,packages\gulplog\test\index.js,1,30
51,Identifier,it,-1,-1,-1,78,2,78,4,packages\gulplog\test\index.js,1,31
53,FunctionExpression,nan,-1,1,0,87,61,95,3,packages\gulplog\test\index.js,1,32
54,Identifier,it,-1,-1,-1,87,2,87,4,packages\gulplog\test\index.js,1,33
55,Identifier,done,-1,-1,-1,8,18,8,22,packages\gulplog\test\index.js,1,34
57,BlockStatement,nan,-1,-1,-1,8,24,11,3,packages\gulplog\test\index.js,1,35
58,Identifier,done,-1,-1,-1,13,22,13,26,packages\gulplog\test\index.js,1,36
60,BlockStatement,nan,-1,-1,-1,13,28,16,3,packages\gulplog\test\index.js,1,37
61,Identifier,done,-1,-1,-1,18,98,18,102,packages\gulplog\test\index.js,1,38
63,BlockStatement,nan,-1,-1,-1,18,104,58,3,packages\gulplog\test\index.js,1,39
64,Identifier,done,-1,-1,-1,60,52,60,56,packages\gulplog\test\index.js,1,40
66,BlockStatement,nan,-1,-1,-1,60,58,67,3,packages\gulplog\test\index.js,1,41
67,Identifier,done,-1,-1,-1,69,48,69,52,packages\gulplog\test\index.js,1,42
69,BlockStatement,nan,-1,-1,-1,69,54,76,3,packages\gulplog\test\index.js,1,43
70,Identifier,done,-1,-1,-1,78,47,78,51,packages\gulplog\test\index.js,1,44
72,BlockStatement,nan,-1,-1,-1,78,53,85,3,packages\gulplog\test\index.js,1,45
73,Identifier,done,-1,-1,-1,87,71,87,75,packages\gulplog\test\index.js,1,46
75,BlockStatement,nan,-1,-1,-1,87,77,95,3,packages\gulplog\test\index.js,1,47
80,VariableDeclaration,nan,-1,-1,-1,19,4,19,58,packages\gulplog\test\index.js,1,48
81,FunctionDeclaration,nan,-1,0,0,20,4,28,5,packages\gulplog\test\index.js,1,49
98,CallExpression,nan,0,-1,-1,9,4,9,19,packages\gulplog\test\index.js,1,50
99,CallExpression,nan,0,-1,-1,10,4,10,10,packages\gulplog\test\index.js,1,51
100,CallExpression,nan,0,-1,-1,14,4,14,31,packages\gulplog\test\index.js,1,52
101,CallExpression,nan,0,-1,-1,15,4,15,10,packages\gulplog\test\index.js,1,53
102,Identifier,allDone,-1,-1,-1,20,13,20,20,packages\gulplog\test\index.js,1,54
104,BlockStatement,nan,-1,-1,-1,20,23,28,5,packages\gulplog\test\index.js,1,55
105,CallExpression,nan,2,-1,-1,30,4,34,6,packages\gulplog\test\index.js,1,56
106,CallExpression,nan,2,-1,-1,36,4,40,6,packages\gulplog\test\index.js,1,57
107,CallExpression,nan,2,-1,-1,42,4,46,6,packages\gulplog\test\index.js,1,58
108,CallExpression,nan,2,-1,-1,48,4,52,6,packages\gulplog\test\index.js,1,59
109,CallExpression,nan,1,-1,-1,54,4,54,37,packages\gulplog\test\index.js,1,60
110,CallExpression,nan,1,-1,-1,55,4,55,38,packages\gulplog\test\index.js,1,61
111,CallExpression,nan,1,-1,-1,56,4,56,42,packages\gulplog\test\index.js,1,62
112,CallExpression,nan,1,-1,-1,57,4,57,46,packages\gulplog\test\index.js,1,63
113,CallExpression,nan,2,-1,-1,61,4,64,6,packages\gulplog\test\index.js,1,64
114,CallExpression,nan,2,-1,-1,66,4,66,39,packages\gulplog\test\index.js,1,65
115,CallExpression,nan,2,-1,-1,70,4,73,6,packages\gulplog\test\index.js,1,66
116,CallExpression,nan,1,-1,-1,75,4,75,31,packages\gulplog\test\index.js,1,67
117,CallExpression,nan,2,-1,-1,79,4,82,6,packages\gulplog\test\index.js,1,68
118,CallExpression,nan,1,-1,-1,84,4,84,26,packages\gulplog\test\index.js,1,69
119,CallExpression,nan,2,-1,-1,88,4,92,6,packages\gulplog\test\index.js,1,70
120,CallExpression,nan,2,-1,-1,94,4,94,37,packages\gulplog\test\index.js,1,71
121,MemberExpression,nan,-1,-1,-1,9,4,9,17,packages\gulplog\test\index.js,1,72
122,Identifier,done,-1,-1,-1,10,4,10,8,packages\gulplog\test\index.js,1,73
123,MemberExpression,nan,-1,-1,-1,14,4,14,29,packages\gulplog\test\index.js,1,74
124,Identifier,done,-1,-1,-1,15,4,15,8,packages\gulplog\test\index.js,1,75
125,IfStatement,nan,-1,-1,-1,21,6,27,7,packages\gulplog\test\index.js,1,76
127,FunctionExpression,nan,-1,1,0,30,23,34,5,packages\gulplog\test\index.js,1,77
128,MemberExpression,nan,-1,-1,-1,30,4,30,13,packages\gulplog\test\index.js,1,78
130,FunctionExpression,nan,-1,1,0,36,22,40,5,packages\gulplog\test\index.js,1,79
131,MemberExpression,nan,-1,-1,-1,36,4,36,13,packages\gulplog\test\index.js,1,80
133,FunctionExpression,nan,-1,1,0,42,22,46,5,packages\gulplog\test\index.js,1,81
134,MemberExpression,nan,-1,-1,-1,42,4,42,13,packages\gulplog\test\index.js,1,82
136,FunctionExpression,nan,-1,1,0,48,23,52,5,packages\gulplog\test\index.js,1,83
137,MemberExpression,nan,-1,-1,-1,48,4,48,13,packages\gulplog\test\index.js,1,84
139,MemberExpression,nan,-1,-1,-1,54,4,54,16,packages\gulplog\test\index.js,1,85
141,MemberExpression,nan,-1,-1,-1,55,4,55,15,packages\gulplog\test\index.js,1,86
143,MemberExpression,nan,-1,-1,-1,56,4,56,15,packages\gulplog\test\index.js,1,87
145,MemberExpression,nan,-1,-1,-1,57,4,57,16,packages\gulplog\test\index.js,1,88
147,FunctionExpression,nan,-1,1,0,61,23,64,5,packages\gulplog\test\index.js,1,89
148,MemberExpression,nan,-1,-1,-1,61,4,61,13,packages\gulplog\test\index.js,1,90
151,MemberExpression,nan,-1,-1,-1,66,4,66,16,packages\gulplog\test\index.js,1,91
153,FunctionExpression,nan,-1,1,0,70,23,73,5,packages\gulplog\test\index.js,1,92
