src,dst
511,415
129,409
113,22
148,458
82,440
183,406
271,446
48,2
523,358
336,454
298,22
276,440
26,5
105,440
189,412
231,3
323,415
422,456
178,462
143,443
274,22
130,22
58,458
238,456
263,462
33,454
361,4
368,440
184,451
399,448
401,409
35,4
460,22
72,415
150,2
260,22
340,446
1,406
48,406
159,446
401,415
32,454
282,412
463,2
454,4
338,3
392,456
103,446
263,448
50,22
275,22
468,464
266,415
201,406
193,415
165,448
254,3
511,460
507,3
313,448
263,464
311,3
123,22
514,440
271,464
265,451
278,458
421,464
336,2
345,440
439,458
347,22
523,5
441,358
235,464
2,358
413,409
120,5
358,2
115,5
467,409
339,406
343,415
112,462
263,406
404,2
421,464
271,2
47,5
80,22
34,458
256,464
404,440
327,456
476,454
81,443
325,446
411,406
163,443
226,409
271,5
301,440
360,458
186,2
340,460
399,406
6,409
7,412
212,448
410,440
67,456
52,446
445,448
471,358
174,412
351,451
522,412
292,440
361,4
296,5
130,451
85,406
12,454
268,415
214,446
230,451
159,4
4,448
295,464
19,4
70,412
142,448
220,22
405,451
357,456
128,412
341,462
477,5
472,406
270,2
404,440
188,2
484,440
277,443
97,462
254,406
80,2
521,2
340,415
27,412
17,5
169,456
351,446
112,412
458,451
161,5
504,22
148,462
298,454
375,460
265,409
215,412
122,462
417,464
398,412
6,451
381,464
280,415
94,464
226,406
109,460
94,464
64,440
281,454
326,2
103,412
27,2
476,440
480,454
21,358
321,458
463,440
482,5
470,5
355,464
464,456
58,440
354,415
476,454
500,3
191,454
69,451
312,460
487,460
356,456
324,448
30,412
345,409
101,456
295,440
32,22
139,415
130,458
48,454
105,443
266,462
9,454
340,454
469,358
272,451
253,460
288,406
402,2
254,448
331,458
109,406
500,412
91,451
36,406
71,3
499,456
282,464
178,5
441,22
267,443
283,409
254,454
279,464
89,3
165,409
270,462
49,443
321,406
314,4
471,4
481,412
377,22
336,22
282,406
265,451
167,448
319,440
192,4
333,22
48,22
511,460
441,358
297,464
217,5
383,458
160,443
487,358
441,446
228,458
289,5
287,456
402,22
368,454
29,358
473,440
402,454
219,462
451,464
360,2
136,451
362,443
474,454
485,358
350,460
193,2
293,415
270,448
305,446
514,448
37,412
355,3
60,446
323,358
131,451
243,22
48,412
473,5
97,460
12,4
405,412
7,454
36,456
125,462
59,451
88,448
211,451
247,415
21,440
55,456
476,3
272,446
410,454
421,451
257,406
268,412
477,458
163,446
54,2
295,448
36,412
73,443
519,3
239,443
240,409
48,454
345,5
324,22
189,460
239,4
198,448
313,464
509,464
313,22
144,4
260,451
247,22
333,448
385,448
21,5
250,454
299,446
300,415
355,446
161,409
300,454
214,448
120,406
468,406
452,406
355,22
441,358
365,443
188,358
152,5
289,4
483,5
463,358
165,358
283,358
94,22
59,440
363,3
419,456
1,446
485,451
312,412
360,22
204,443
469,451
420,409
427,448
270,4
39,358
362,22
249,458
478,2
467,4
226,454
398,409
303,22
455,446
481,456
322,451
135,415
159,3
11,446
152,456
410,440
263,440
29,460
244,406
2,440
351,458
466,440
93,458
484,2
48,440
464,358
160,3
227,462
330,448
58,448
30,415
448,2
11,5
66,458
49,460
287,458
124,415
485,412
286,460
66,454
409,22
361,409
421,412
115,451
295,4
198,446
337,462
38,451
