src,dst
1,2
1,3
3,4
3,5
5,6
5,7
5,8
6,9
7,10
7,11
9,12
10,14
13,15
14,16
16,19
16,20
17,21
18,22
19,25
19,26
25,27
28,29
28,30
31,34
32,35
32,36
33,37
33,38
35,39
37,40
39,41
40,42
43,45
43,46
44,47
44,48
45,49
45,50
45,51
47,52
47,53
54,56
54,57
55,58
55,59
56,61
58,63
60,64
60,65
62,66
62,67
68,70
68,71
69,72
69,73
70,74
70,75
72,76
76,78
76,79
77,81
77,82
80,83
80,84
86,87
86,88
89,90
89,91
89,92
89,93
89,94
89,95
89,96
89,97
89,98
94,99
94,100
94,101
95,102
95,103
95,104
95,105
96,109
96,110
96,111
97,112
97,113
97,114
98,115
98,116
98,117
101,118
101,119
101,120
104,121
106,122
107,123
108,124
111,125
111,126
111,127
114,128
114,129
114,130
114,131
114,132
117,133
117,134
117,135
120,136
125,138
126,139
129,140
130,141
131,142
133,143
134,144
134,145
137,146
137,147
138,148
139,150
142,154
142,155
143,157
144,159
146,160
146,161
149,162
151,163
154,166
154,167
156,168
158,169
159,170
161,173
161,174
166,176
170,177
170,178
171,179
172,180
177,189
177,190
184,191
184,192
186,193
189,194
