id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,8,0,18,2,packages\is-number\index.js,1,0
5,AssignmentExpression,nan,-1,-1,-1,10,0,18,1,packages\is-number\index.js,1,1
6,MemberExpression,nan,-1,-1,-1,10,0,10,14,packages\is-number\index.js,1,2
7,FunctionExpression,nan,-1,1,1,10,17,18,1,packages\is-number\index.js,1,3
8,Identifier,num,-1,-1,-1,10,26,10,29,packages\is-number\index.js,1,4
10,BlockStatement,nan,-1,-1,-1,10,31,18,1,packages\is-number\index.js,1,5
11,IfStatement,nan,-1,-1,-1,11,2,13,3,packages\is-number\index.js,1,6
12,IfStatement,nan,-1,-1,-1,14,2,16,3,packages\is-number\index.js,1,7
13,ReturnStatement,nan,1,-1,-1,17,2,17,15,packages\is-number\index.js,1,8
14,BlockStatement,nan,-1,-1,-1,11,31,13,3,packages\is-number\index.js,1,9
16,BlockStatement,nan,-1,-1,-1,14,52,16,3,packages\is-number\index.js,1,10
17,LogicalExpression,nan,-1,-1,-1,14,6,14,50,packages\is-number\index.js,1,11
19,ReturnStatement,nan,1,-1,-1,12,4,12,27,packages\is-number\index.js,1,12
20,UnaryExpression,nan,1,-1,-1,11,6,11,16,packages\is-number\index.js,1,13
22,ReturnStatement,nan,1,-1,-1,15,4,15,68,packages\is-number\index.js,1,14
26,Identifier,num,-1,-1,-1,11,13,11,16,packages\is-number\index.js,1,15
27,ConditionalExpression,nan,-1,-1,-1,15,11,15,67,packages\is-number\index.js,1,16
28,UnaryExpression,nan,1,-1,-1,14,6,14,16,packages\is-number\index.js,1,17
30,CallExpression,nan,0,-1,-1,14,33,14,43,packages\is-number\index.js,1,18
34,CallExpression,nan,1,-1,-1,15,29,15,50,packages\is-number\index.js,1,19
35,MemberExpression,nan,-1,-1,-1,15,11,15,26,packages\is-number\index.js,1,20
36,Identifier,num,-1,-1,-1,14,13,14,16,packages\is-number\index.js,1,21
37,MemberExpression,nan,-1,-1,-1,14,33,14,41,packages\is-number\index.js,1,22
38,Identifier,num,-1,-1,-1,12,11,12,14,packages\is-number\index.js,1,23
39,Identifier,num,-1,-1,-1,12,17,12,20,packages\is-number\index.js,1,24
40,UnaryExpression,nan,1,-1,-1,15,45,15,49,packages\is-number\index.js,1,25
41,MemberExpression,nan,-1,-1,-1,15,29,15,44,packages\is-number\index.js,1,26
42,Identifier,num,-1,-1,-1,15,46,15,49,packages\is-number\index.js,1,27
43,Program,nan,-1,-1,-1,8,0,153,3,packages\is-number\test.js,1,28
46,VariableDeclaration,nan,-1,-1,-1,11,0,11,31,packages\is-number\test.js,1,29
47,VariableDeclaration,nan,-1,-1,-1,12,0,12,29,packages\is-number\test.js,1,30
51,CallExpression,nan,1,-1,-1,10,0,10,16,packages\is-number\test.js,1,31
