id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,42,37,packages\is-potential-custom-element-name\build.js,0,0
3,VariableDeclaration,nan,-1,-1,-1,3,0,3,25,packages\is-potential-custom-element-name\build.js,0,1
4,VariableDeclaration,nan,-1,-1,-1,4,0,4,41,packages\is-potential-custom-element-name\build.js,0,2
5,VariableDeclaration,nan,-1,-1,-1,10,0,24,31,packages\is-potential-custom-element-name\build.js,0,3
6,VariableDeclaration,nan,-1,-1,-1,25,0,25,32,packages\is-potential-custom-element-name\build.js,0,4
7,VariableDeclaration,nan,-1,-1,-1,26,0,26,60,packages\is-potential-custom-element-name\build.js,0,5
8,VariableDeclaration,nan,-1,-1,-1,31,0,31,88,packages\is-potential-custom-element-name\build.js,0,6
9,VariableDeclaration,nan,-1,-1,-1,32,0,41,2,packages\is-potential-custom-element-name\build.js,0,7
12,CallExpression,nan,2,-1,-1,42,0,42,36,packages\is-potential-custom-element-name\build.js,0,8
14,Identifier,source,-1,-1,-1,42,29,42,35,packages\is-potential-custom-element-name\build.js,0,9
15,MemberExpression,nan,-1,-1,-1,42,0,42,16,packages\is-potential-custom-element-name\build.js,0,10
16,Program,nan,-1,-1,-1,3,0,9,46,packages\is-potential-custom-element-name\index.js,1,11
17,VariableDeclaration,nan,-1,-1,-1,3,0,3,391,packages\is-potential-custom-element-name\index.js,1,12
18,VariableDeclaration,nan,-1,-1,-1,5,0,7,2,packages\is-potential-custom-element-name\index.js,1,13
20,AssignmentExpression,nan,-1,-1,-1,9,0,9,45,packages\is-potential-custom-element-name\index.js,1,14
21,MemberExpression,nan,-1,-1,-1,9,0,9,14,packages\is-potential-custom-element-name\index.js,1,15
22,Identifier,isPotentialCustomElementName,-1,-1,-1,9,17,9,45,packages\is-potential-custom-element-name\index.js,1,16
23,Program,nan,-1,-1,-1,1,0,16,3,packages\is-potential-custom-element-name\test.js,1,17
24,VariableDeclaration,nan,-1,-1,-1,1,0,1,31,packages\is-potential-custom-element-name\test.js,1,18
25,VariableDeclaration,nan,-1,-1,-1,2,0,2,57,packages\is-potential-custom-element-name\test.js,1,19
27,CallExpression,nan,2,-1,-1,4,0,16,2,packages\is-potential-custom-element-name\test.js,1,20
29,FunctionExpression,nan,-1,0,0,4,45,16,1,packages\is-potential-custom-element-name\test.js,1,21
30,Identifier,describe,-1,-1,-1,4,0,4,8,packages\is-potential-custom-element-name\test.js,1,22
32,BlockStatement,nan,-1,-1,-1,4,56,16,1,packages\is-potential-custom-element-name\test.js,1,23
35,CallExpression,nan,2,-1,-1,5,1,10,3,packages\is-potential-custom-element-name\test.js,1,24
36,CallExpression,nan,2,-1,-1,12,1,15,3,packages\is-potential-custom-element-name\test.js,1,25
38,FunctionExpression,nan,-1,0,0,5,96,10,2,packages\is-potential-custom-element-name\test.js,1,26
39,Identifier,it,-1,-1,-1,5,1,5,3,packages\is-potential-custom-element-name\test.js,1,27
41,FunctionExpression,nan,-1,0,0,12,34,15,2,packages\is-potential-custom-element-name\test.js,1,28
42,Identifier,it,-1,-1,-1,12,1,12,3,packages\is-potential-custom-element-name\test.js,1,29
44,BlockStatement,nan,-1,-1,-1,5,107,10,2,packages\is-potential-custom-element-name\test.js,1,30
46,BlockStatement,nan,-1,-1,-1,12,45,15,2,packages\is-potential-custom-element-name\test.js,1,31
51,VariableDeclaration,nan,-1,-1,-1,13,2,13,37,packages\is-potential-custom-element-name\test.js,1,32
53,CallExpression,nan,2,-1,-1,6,2,6,61,packages\is-potential-custom-element-name\test.js,1,33
54,CallExpression,nan,2,-1,-1,7,2,7,62,packages\is-potential-custom-element-name\test.js,1,34
55,CallExpression,nan,2,-1,-1,8,2,8,61,packages\is-potential-custom-element-name\test.js,1,35
56,CallExpression,nan,2,-1,-1,9,2,9,68,packages\is-potential-custom-element-name\test.js,1,36
57,CallExpression,nan,2,-1,-1,14,2,14,76,packages\is-potential-custom-element-name\test.js,1,37
58,CallExpression,nan,1,-1,-1,6,15,6,54,packages\is-potential-custom-element-name\test.js,1,38
60,MemberExpression,nan,-1,-1,-1,6,2,6,14,packages\is-potential-custom-element-name\test.js,1,39
61,CallExpression,nan,1,-1,-1,7,15,7,54,packages\is-potential-custom-element-name\test.js,1,40
63,MemberExpression,nan,-1,-1,-1,7,2,7,14,packages\is-potential-custom-element-name\test.js,1,41
64,CallExpression,nan,1,-1,-1,8,15,8,53,packages\is-potential-custom-element-name\test.js,1,42
66,MemberExpression,nan,-1,-1,-1,8,2,8,14,packages\is-potential-custom-element-name\test.js,1,43
67,CallExpression,nan,1,-1,-1,9,15,9,61,packages\is-potential-custom-element-name\test.js,1,44
69,MemberExpression,nan,-1,-1,-1,9,2,9,14,packages\is-potential-custom-element-name\test.js,1,45
70,CallExpression,nan,1,-1,-1,14,21,14,69,packages\is-potential-custom-element-name\test.js,1,46
72,MemberExpression,nan,-1,-1,-1,14,2,14,20,packages\is-potential-custom-element-name\test.js,1,47
74,Identifier,isPotentialCustomElementName,-1,-1,-1,6,15,6,43,packages\is-potential-custom-element-name\test.js,1,48
