src,same_file,jaccard_val,dst
222,0,0.5,4
58,1,-1.0,90
224,0,0.5,4
59,1,-1.0,92
226,0,0.5,4
60,1,-1.0,94
228,0,0.5,4
61,1,-1.0,96
230,0,0.5,4
62,1,-1.0,98
232,0,0.5,4
63,1,-1.0,100
234,0,0.5,4
64,1,-1.0,102
236,0,0.5,4
65,1,-1.0,104
238,0,0.5,4
66,1,-1.0,106
240,0,0.5,4
67,1,-1.0,108
242,0,0.5,4
68,1,-1.0,110
244,0,0.5,4
69,1,-1.0,112
246,0,0.5,4
70,1,-1.0,114
248,0,0.5,4
71,1,-1.0,116
250,0,0.5,4
72,1,-1.0,118
252,0,0.5,4
73,1,-1.0,120
254,0,0.5,4
74,1,-1.0,122
256,0,0.5,4
75,1,-1.0,124
258,0,0.5,4
76,1,-1.0,126
260,0,0.5,4
77,1,-1.0,128
262,0,0.5,4
78,1,-1.0,130
264,0,0.5,4
79,1,-1.0,132
46,1,-1.0,49
309,0,0.5,4
80,1,-1.0,134
310,0,0.5,4
81,1,-1.0,136
311,0,0.5,4
82,1,-1.0,138
312,0,0.5,4
83,1,-1.0,140
313,0,0.5,4
84,1,-1.0,142
314,0,0.5,4
85,1,-1.0,144
315,0,0.5,4
86,1,-1.0,146
316,0,0.5,4
87,1,-1.0,148
317,0,0.5,4
88,1,-1.0,150
47,1,-1.0,51
318,0,0.5,4
89,1,-1.0,152
48,1,-1.0,53
42,1,-1.0,43
