src,dst
239,134
303,104
298,96
40,120
187,126
26,148
239,114
3,114
179,136
274,92
287,106
139,94
121,102
146,4
117,108
325,90
243,126
103,4
134,118
324,116
3,51
149,142
305,122
7,51
131,100
4,144
143,136
108,138
153,150
112,146
328,108
15,96
243,142
4,53
116,150
305,150
323,90
164,96
331,150
97,108
2,96
279,148
28,142
22,51
22,92
52,94
180,110
269,132
277,51
0,122
121,116
267,122
131,51
116,4
186,49
29,138
144,120
109,43
29,4
15,138
279,138
291,120
154,124
305,140
105,114
54,120
115,152
26,128
4,136
92,136
115,130
290,136
303,140
185,144
129,104
161,146
44,53
113,90
52,148
153,98
283,138
294,134
173,118
180,116
137,49
231,140
160,146
253,104
15,122
288,96
308,53
148,104
280,92
128,108
279,96
125,102
107,118
170,136
167,49
306,94
231,120
112,120
308,124
52,150
303,138
11,138
34,138
157,114
125,100
54,138
49,152
19,98
306,146
133,112
179,126
307,122
233,51
330,120
121,98
57,152
133,148
168,118
267,122
29,150
11,114
6,152
134,122
148,108
321,140
54,96
293,104
9,132
119,96
265,116
154,43
9,49
187,96
271,130
1,92
162,112
148,126
251,116
271,98
126,114
148,112
272,104
105,51
267,144
119,51
280,114
168,112
268,126
114,110
323,108
140,144
19,106
330,128
245,108
178,51
156,136
180,136
167,102
319,49
323,43
278,51
138,122
147,132
49,144
330,94
118,53
322,126
119,118
290,106
5,49
271,4
239,132
150,51
225,106
283,138
96,132
293,94
292,49
102,150
163,148
290,4
147,110
186,120
174,126
302,4
122,118
185,128
249,4
331,116
55,148
333,114
105,110
165,118
249,152
31,94
253,136
132,108
21,106
105,104
169,108
49,128
328,98
119,110
270,100
267,51
277,92
325,43
101,51
129,112
332,118
294,150
282,43
289,108
276,92
117,4
130,126
291,104
274,90
181,108
245,150
134,104
159,96
287,148
227,148
139,126
30,114
141,140
176,53
271,120
301,146
141,138
14,136
284,4
21,134
117,104
307,140
105,144
327,130
119,4
55,96
282,43
26,43
153,112
308,150
139,146
330,102
283,108
167,130
10,98
55,102
129,118
175,104
92,110
98,126
285,146
