src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
4,8
4,9
7,10
7,11
9,13
11,14
11,15
12,16
12,17
14,20
15,21
17,22
17,23
18,24
18,25
19,26
19,27
23,28
23,29
23,30
25,31
25,32
25,33
27,34
27,35
27,36
30,37
30,38
30,39
33,40
36,41
37,42
37,43
42,44
43,45
45,46
47,48
49,50
49,51
49,52
49,53
54,59
54,60
55,61
55,62
55,63
56,64
56,65
56,66
57,67
57,68
57,69
58,70
58,71
58,72
59,73
59,74
62,75
62,76
65,77
65,78
68,79
68,80
71,81
71,82
76,83
78,84
80,85
82,86
87,97
87,98
87,99
88,100
89,101
89,102
90,103
91,104
91,105
92,106
93,107
93,108
94,109
95,110
95,111
96,112
98,113
98,114
101,115
101,116
104,118
104,119
107,121
107,122
110,124
110,125
117,127
117,128
120,129
120,130
123,131
123,132
126,133
126,134
135,136
135,137
136,138
136,139
140,141
140,142
