src,dst
17,25
119,65
11,68
34,23
77,62
22,25
26,62
70,59
70,25
59,62
50,23
102,59
16,68
98,59
112,23
84,68
130,25
100,68
7,68
141,62
133,62
69,59
141,25
108,68
2,68
114,59
59,98
119,25
43,59
137,25
77,25
13,68
82,23
42,23
62,98
125,59
35,98
52,68
62,71
52,68
124,68
60,27
74,98
3,23
17,27
3,65
64,62
4,71
46,98
108,23
129,71
45,98
15,23
62,71
61,65
102,23
80,68
133,59
22,71
81,68
43,25
70,65
132,68
24,65
109,98
18,98
63,71
43,68
26,68
72,25
35,25
43,59
73,62
75,59
26,65
7,98
113,62
22,98
124,23
6,23
10,68
27,23
35,25
116,71
98,62
118,25
73,59
85,59
81,59
34,25
75,59
21,65
29,62
52,68
70,62
25,59
43,25
78,27
100,27
14,68
24,68
85,59
141,98
66,68
37,59
72,65
52,71
44,65
52,71
99,25
28,68
113,62
31,25
97,23
132,71
99,62
