id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,46,2,packages\is-weakmap\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,3,0,3,83,packages\is-weakmap\index.js,1,1
4,VariableDeclaration,nan,-1,-1,-1,4,0,4,83,packages\is-weakmap\index.js,1,2
5,VariableDeclaration,nan,-1,-1,-1,6,0,6,13,packages\is-weakmap\index.js,1,3
6,IfStatement,nan,-1,-1,-1,8,0,15,1,packages\is-weakmap\index.js,1,4
7,VariableDeclaration,nan,-1,-1,-1,17,0,17,55,packages\is-weakmap\index.js,1,5
8,VariableDeclaration,nan,-1,-1,-1,18,0,18,55,packages\is-weakmap\index.js,1,6
9,IfStatement,nan,-1,-1,-1,19,0,26,1,packages\is-weakmap\index.js,1,7
12,BlockStatement,nan,-1,-1,-1,8,15,15,1,packages\is-weakmap\index.js,1,8
13,UnaryExpression,nan,1,-1,-1,8,4,8,13,packages\is-weakmap\index.js,1,9
14,BlockStatement,nan,-1,-1,-1,19,27,26,1,packages\is-weakmap\index.js,1,10
15,LogicalExpression,nan,-1,-1,-1,19,4,19,25,packages\is-weakmap\index.js,1,11
16,AssignmentExpression,nan,-1,-1,-1,29,0,46,1,packages\is-weakmap\index.js,1,12
18,Identifier,$WeakMap,-1,-1,-1,8,5,8,13,packages\is-weakmap\index.js,1,13
20,UnaryExpression,nan,1,-1,-1,19,4,19,13,packages\is-weakmap\index.js,1,14
21,UnaryExpression,nan,1,-1,-1,19,17,19,25,packages\is-weakmap\index.js,1,15
22,MemberExpression,nan,-1,-1,-1,29,0,29,14,packages\is-weakmap\index.js,1,16
23,LogicalExpression,nan,-1,-1,-1,29,17,46,1,packages\is-weakmap\index.js,1,17
24,AssignmentExpression,nan,-1,-1,-1,11,1,14,2,packages\is-weakmap\index.js,1,18
25,AssignmentExpression,nan,-1,-1,-1,22,1,25,2,packages\is-weakmap\index.js,1,19
26,Identifier,exported,-1,-1,-1,19,5,19,13,packages\is-weakmap\index.js,1,20
27,Identifier,$mapHas,-1,-1,-1,19,18,19,25,packages\is-weakmap\index.js,1,21
28,Identifier,exported,-1,-1,-1,29,17,29,25,packages\is-weakmap\index.js,1,22
29,FunctionExpression,nan,-1,1,1,29,29,46,1,packages\is-weakmap\index.js,1,23
30,Identifier,exported,-1,-1,-1,11,1,11,9,packages\is-weakmap\index.js,1,24
31,FunctionExpression,nan,-1,1,1,11,12,14,2,packages\is-weakmap\index.js,1,25
32,Identifier,exported,-1,-1,-1,22,1,22,9,packages\is-weakmap\index.js,1,26
33,FunctionExpression,nan,-1,1,1,22,12,25,2,packages\is-weakmap\index.js,1,27
34,Identifier,isWeakMap,-1,-1,-1,29,38,29,47,packages\is-weakmap\index.js,1,28
35,Identifier,x,-1,-1,-1,29,48,29,49,packages\is-weakmap\index.js,1,29
37,BlockStatement,nan,-1,-1,-1,29,51,46,1,packages\is-weakmap\index.js,1,30
38,Identifier,isWeakMap,-1,-1,-1,11,21,11,30,packages\is-weakmap\index.js,1,31
39,Identifier,x,-1,-1,-1,11,31,11,32,packages\is-weakmap\index.js,1,32
41,BlockStatement,nan,-1,-1,-1,11,34,14,2,packages\is-weakmap\index.js,1,33
42,Identifier,isWeakMap,-1,-1,-1,22,21,22,30,packages\is-weakmap\index.js,1,34
43,Identifier,x,-1,-1,-1,22,31,22,32,packages\is-weakmap\index.js,1,35
45,BlockStatement,nan,-1,-1,-1,22,34,25,2,packages\is-weakmap\index.js,1,36
46,IfStatement,nan,-1,-1,-1,30,1,32,2,packages\is-weakmap\index.js,1,37
47,TryStatement,nan,-1,-1,-1,33,1,44,15,packages\is-weakmap\index.js,1,38
