id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,8,0,27,3,packages\is-windows\index.js,1,0
3,CallExpression,nan,1,-1,-1,8,0,27,2,packages\is-windows\index.js,1,1
4,FunctionExpression,nan,-1,0,1,22,3,27,1,packages\is-windows\index.js,1,2
5,FunctionExpression,nan,-1,1,0,8,1,22,1,packages\is-windows\index.js,1,3
7,BlockStatement,nan,-1,-1,-1,22,14,27,1,packages\is-windows\index.js,1,4
8,Identifier,factory,-1,-1,-1,8,10,8,17,packages\is-windows\index.js,1,5
10,BlockStatement,nan,-1,-1,-1,8,19,22,1,packages\is-windows\index.js,1,6
12,ReturnStatement,nan,1,-1,-1,24,2,26,4,packages\is-windows\index.js,1,7
13,IfStatement,nan,-1,-1,-1,9,2,21,3,packages\is-windows\index.js,1,8
15,FunctionExpression,nan,-1,0,1,24,9,26,3,packages\is-windows\index.js,1,9
16,BlockStatement,nan,-1,-1,-1,9,79,11,3,packages\is-windows\index.js,1,10
17,LogicalExpression,nan,-1,-1,-1,9,6,9,77,packages\is-windows\index.js,1,11
18,Identifier,isWindows,-1,-1,-1,24,18,24,27,packages\is-windows\index.js,1,12
20,BlockStatement,nan,-1,-1,-1,24,30,26,3,packages\is-windows\index.js,1,13
22,LogicalExpression,nan,-1,-1,-1,9,6,9,44,packages\is-windows\index.js,1,14
24,ReturnStatement,nan,1,-1,-1,25,4,25,99,packages\is-windows\index.js,1,15
25,AssignmentExpression,nan,-1,-1,-1,10,4,10,30,packages\is-windows\index.js,1,16
26,Identifier,exports,-1,-1,-1,9,6,9,13,packages\is-windows\index.js,1,17
28,UnaryExpression,nan,1,-1,-1,9,48,9,61,packages\is-windows\index.js,1,18
30,LogicalExpression,nan,-1,-1,-1,25,11,25,98,packages\is-windows\index.js,1,19
31,MemberExpression,nan,-1,-1,-1,10,4,10,18,packages\is-windows\index.js,1,20
32,CallExpression,nan,0,-1,-1,10,21,10,30,packages\is-windows\index.js,1,21
33,UnaryExpression,nan,1,-1,-1,9,17,9,31,packages\is-windows\index.js,1,22
35,Identifier,module,-1,-1,-1,9,55,9,61,packages\is-windows\index.js,1,23
36,Identifier,process,-1,-1,-1,25,11,25,18,packages\is-windows\index.js,1,24
37,LogicalExpression,nan,-1,-1,-1,25,23,25,97,packages\is-windows\index.js,1,25
38,Identifier,factory,-1,-1,-1,10,21,10,28,packages\is-windows\index.js,1,26
39,Identifier,exports,-1,-1,-1,9,24,9,31,packages\is-windows\index.js,1,27
41,CallExpression,nan,1,-1,-1,25,55,25,97,packages\is-windows\index.js,1,28
42,MemberExpression,nan,-1,-1,-1,25,23,25,39,packages\is-windows\index.js,1,29
44,MemberExpression,nan,-1,-1,-1,25,78,25,96,packages\is-windows\index.js,1,30
45,MemberExpression,nan,-1,-1,-1,25,55,25,77,packages\is-windows\index.js,1,31
46,Program,nan,-1,-1,-1,1,0,15,3,packages\is-windows\test.js,1,32
49,VariableDeclaration,nan,-1,-1,-1,4,0,4,31,packages\is-windows\test.js,1,33
50,VariableDeclaration,nan,-1,-1,-1,5,0,5,30,packages\is-windows\test.js,1,34
53,CallExpression,nan,1,-1,-1,3,0,3,16,packages\is-windows\test.js,1,35
54,CallExpression,nan,2,-1,-1,7,0,15,2,packages\is-windows\test.js,1,36
56,Identifier,require,-1,-1,-1,3,0,3,7,packages\is-windows\test.js,1,37
58,FunctionExpression,nan,-1,0,0,7,22,15,1,packages\is-windows\test.js,1,38
59,Identifier,describe,-1,-1,-1,7,0,7,8,packages\is-windows\test.js,1,39
61,BlockStatement,nan,-1,-1,-1,7,33,15,1,packages\is-windows\test.js,1,40
63,CallExpression,nan,2,-1,-1,8,2,14,4,packages\is-windows\test.js,1,41
65,FunctionExpression,nan,-1,0,0,8,55,14,3,packages\is-windows\test.js,1,42
66,Identifier,it,-1,-1,-1,8,2,8,4,packages\is-windows\test.js,1,43
68,BlockStatement,nan,-1,-1,-1,8,66,14,3,packages\is-windows\test.js,1,44
69,IfStatement,nan,-1,-1,-1,9,4,13,5,packages\is-windows\test.js,1,45
70,BlockStatement,nan,-1,-1,-1,9,96,11,5,packages\is-windows\test.js,1,46
71,LogicalExpression,nan,-1,-1,-1,9,8,9,94,packages\is-windows\test.js,1,47
73,LogicalExpression,nan,-1,-1,-1,9,8,9,47,packages\is-windows\test.js,1,48
74,UnaryExpression,nan,1,-1,-1,9,51,9,94,packages\is-windows\test.js,1,49
75,CallExpression,nan,2,-1,-1,10,6,10,38,packages\is-windows\test.js,1,50
76,Identifier,process,-1,-1,-1,9,8,9,15,packages\is-windows\test.js,1,51
78,CallExpression,nan,1,-1,-1,9,52,9,94,packages\is-windows\test.js,1,52
79,CallExpression,nan,0,-1,-1,10,19,10,30,packages\is-windows\test.js,1,53
81,MemberExpression,nan,-1,-1,-1,10,6,10,18,packages\is-windows\test.js,1,54
82,MemberExpression,nan,-1,-1,-1,9,19,9,35,packages\is-windows\test.js,1,55
84,MemberExpression,nan,-1,-1,-1,9,75,9,93,packages\is-windows\test.js,1,56
85,MemberExpression,nan,-1,-1,-1,9,52,9,74,packages\is-windows\test.js,1,57
86,Identifier,isWindows,-1,-1,-1,10,19,10,28,packages\is-windows\test.js,1,58
