id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,7,2,packages\isarray\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,3,0,3,27,packages\isarray\index.js,1,1
6,AssignmentExpression,nan,-1,-1,-1,5,0,7,1,packages\isarray\index.js,1,2
7,MemberExpression,nan,-1,-1,-1,5,0,5,14,packages\isarray\index.js,1,3
8,LogicalExpression,nan,-1,-1,-1,5,17,7,1,packages\isarray\index.js,1,4
9,MemberExpression,nan,-1,-1,-1,5,17,5,30,packages\isarray\index.js,1,5
10,FunctionExpression,nan,-1,1,1,5,34,7,1,packages\isarray\index.js,1,6
11,Identifier,arr,-1,-1,-1,5,44,5,47,packages\isarray\index.js,1,7
13,BlockStatement,nan,-1,-1,-1,5,49,7,1,packages\isarray\index.js,1,8
14,ReturnStatement,nan,1,-1,-1,6,2,6,49,packages\isarray\index.js,1,9
16,CallExpression,nan,1,-1,-1,6,9,6,27,packages\isarray\index.js,1,10
18,Identifier,arr,-1,-1,-1,6,23,6,26,packages\isarray\index.js,1,11
19,MemberExpression,nan,-1,-1,-1,6,9,6,22,packages\isarray\index.js,1,12
20,Program,nan,-1,-1,-1,1,0,58,3,packages\isarray\test.js,1,13
22,VariableDeclaration,nan,-1,-1,-1,3,0,3,28,packages\isarray\test.js,1,14
23,VariableDeclaration,nan,-1,-1,-1,4,0,4,27,packages\isarray\test.js,1,15
24,VariableDeclaration,nan,-1,-1,-1,6,0,6,34,packages\isarray\test.js,1,16
28,CallExpression,nan,2,-1,-1,8,0,32,2,packages\isarray\test.js,1,17
29,CallExpression,nan,2,-1,-1,34,0,58,2,packages\isarray\test.js,1,18
31,FunctionExpression,nan,-1,1,0,8,33,32,1,packages\isarray\test.js,1,19
32,Identifier,test,-1,-1,-1,8,0,8,4,packages\isarray\test.js,1,20
34,FunctionExpression,nan,-1,1,0,34,26,58,1,packages\isarray\test.js,1,21
35,Identifier,test,-1,-1,-1,34,0,34,4,packages\isarray\test.js,1,22
36,Identifier,t,-1,-1,-1,8,43,8,44,packages\isarray\test.js,1,23
38,BlockStatement,nan,-1,-1,-1,8,46,32,1,packages\isarray\test.js,1,24
39,Identifier,t,-1,-1,-1,34,36,34,37,packages\isarray\test.js,1,25
41,BlockStatement,nan,-1,-1,-1,34,39,58,1,packages\isarray\test.js,1,26
55,VariableDeclaration,nan,-1,-1,-1,23,2,23,15,packages\isarray\test.js,1,27
58,VariableDeclaration,nan,-1,-1,-1,27,2,27,15,packages\isarray\test.js,1,28
75,VariableDeclaration,nan,-1,-1,-1,49,2,49,15,packages\isarray\test.js,1,29
78,VariableDeclaration,nan,-1,-1,-1,53,2,53,15,packages\isarray\test.js,1,30
82,UnaryExpression,nan,1,-1,-1,9,2,9,22,packages\isarray\test.js,1,31
83,CallExpression,nan,1,-1,-1,10,2,10,19,packages\isarray\test.js,1,32
84,CallExpression,nan,1,-1,-1,11,2,11,22,packages\isarray\test.js,1,33
85,CallExpression,nan,1,-1,-1,12,2,12,24,packages\isarray\test.js,1,34
86,CallExpression,nan,1,-1,-1,13,2,13,25,packages\isarray\test.js,1,35
87,CallExpression,nan,1,-1,-1,14,2,14,22,packages\isarray\test.js,1,36
88,CallExpression,nan,1,-1,-1,15,2,15,24,packages\isarray\test.js,1,37
89,CallExpression,nan,1,-1,-1,16,2,16,22,packages\isarray\test.js,1,38
90,CallExpression,nan,1,-1,-1,17,2,17,25,packages\isarray\test.js,1,39
91,CallExpression,nan,1,-1,-1,18,2,18,26,packages\isarray\test.js,1,40
