id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,93,1,packages\json-schema-traverse\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,3,0,15,2,packages\json-schema-traverse\index.js,1,1
8,FunctionDeclaration,nan,-1,10,0,67,0,88,1,packages\json-schema-traverse\index.js,1,2
9,FunctionDeclaration,nan,-1,1,1,91,0,93,1,packages\json-schema-traverse\index.js,1,3
11,AssignmentExpression,nan,-1,-1,-1,18,0,28,1,packages\json-schema-traverse\index.js,1,4
12,AssignmentExpression,nan,-1,-1,-1,30,0,35,1,packages\json-schema-traverse\index.js,1,5
13,AssignmentExpression,nan,-1,-1,-1,37,0,43,1,packages\json-schema-traverse\index.js,1,6
14,AssignmentExpression,nan,-1,-1,-1,45,0,64,1,packages\json-schema-traverse\index.js,1,7
15,Identifier,_traverse,-1,-1,-1,67,9,67,18,packages\json-schema-traverse\index.js,1,8
16,Identifier,opts,-1,-1,-1,67,19,67,23,packages\json-schema-traverse\index.js,1,9
17,Identifier,pre,-1,-1,-1,67,25,67,28,packages\json-schema-traverse\index.js,1,10
18,Identifier,post,-1,-1,-1,67,30,67,34,packages\json-schema-traverse\index.js,1,11
19,Identifier,schema,-1,-1,-1,67,36,67,42,packages\json-schema-traverse\index.js,1,12
20,Identifier,jsonPtr,-1,-1,-1,67,44,67,51,packages\json-schema-traverse\index.js,1,13
21,Identifier,rootSchema,-1,-1,-1,67,53,67,63,packages\json-schema-traverse\index.js,1,14
22,Identifier,parentJsonPtr,-1,-1,-1,67,65,67,78,packages\json-schema-traverse\index.js,1,15
23,Identifier,parentKeyword,-1,-1,-1,67,80,67,93,packages\json-schema-traverse\index.js,1,16
24,Identifier,parentSchema,-1,-1,-1,67,95,67,107,packages\json-schema-traverse\index.js,1,17
25,Identifier,keyIndex,-1,-1,-1,67,109,67,117,packages\json-schema-traverse\index.js,1,18
27,BlockStatement,nan,-1,-1,-1,67,119,88,1,packages\json-schema-traverse\index.js,1,19
28,Identifier,escapeJsonPtr,-1,-1,-1,91,9,91,22,packages\json-schema-traverse\index.js,1,20
29,Identifier,str,-1,-1,-1,91,23,91,26,packages\json-schema-traverse\index.js,1,21
31,BlockStatement,nan,-1,-1,-1,91,28,93,1,packages\json-schema-traverse\index.js,1,22
32,MemberExpression,nan,-1,-1,-1,18,0,18,17,packages\json-schema-traverse\index.js,1,23
33,ObjectExpression,nan,-1,-1,-1,18,20,28,1,packages\json-schema-traverse\index.js,1,24
34,MemberExpression,nan,-1,-1,-1,30,0,30,22,packages\json-schema-traverse\index.js,1,25
35,ObjectExpression,nan,-1,-1,-1,30,25,35,1,packages\json-schema-traverse\index.js,1,26
36,MemberExpression,nan,-1,-1,-1,37,0,37,22,packages\json-schema-traverse\index.js,1,27
37,ObjectExpression,nan,-1,-1,-1,37,25,43,1,packages\json-schema-traverse\index.js,1,28
38,MemberExpression,nan,-1,-1,-1,45,0,45,21,packages\json-schema-traverse\index.js,1,29
39,ObjectExpression,nan,-1,-1,-1,45,24,64,1,packages\json-schema-traverse\index.js,1,30
40,IfStatement,nan,-1,-1,-1,68,2,87,3,packages\json-schema-traverse\index.js,1,31
41,ReturnStatement,nan,1,-1,-1,92,2,92,54,packages\json-schema-traverse\index.js,1,32
42,BlockStatement,nan,-1,-1,-1,68,69,87,3,packages\json-schema-traverse\index.js,1,33
43,LogicalExpression,nan,-1,-1,-1,68,6,68,67,packages\json-schema-traverse\index.js,1,34
