src,same_file,jaccard_val,dst
19,0,-1.0,148
117,0,-1.0,1387
127,1,-1.0,131
114,1,1.0,36
78,1,-1.0,84
90,0,-1.0,1387
82,1,1.0,35
202,1,-1.0,208
205,1,-1.0,212
694,1,1.0,260
982,0,1.0,1220
954,1,1.0,706
1047,1,1.0,704
1048,1,1.0,705
1050,1,1.0,255
775,1,1.0,706
518,1,-1.0,576
521,1,-1.0,580
522,1,-1.0,582
1003,1,1.0,255
1013,1,1.0,255
1015,1,1.0,345
403,1,0.0,341
404,1,0.0,342
534,1,0.0,343
783,1,1.0,344
535,1,-1.0,603
784,1,1.0,344
536,1,-1.0,605
537,1,0.0,346
723,1,1.0,256
554,1,1.0,259
727,1,1.0,259
430,1,-1.0,499
502,0,-1.0,1387
562,1,1.0,262
436,1,-1.0,506
437,1,-1.0,508
1192,0,-1.0,1237
1200,0,-1.0,1237
1188,0,-1.0,1383
1284,1,1.0,1221
1302,1,-1.0,1235
1286,1,1.0,1257
1732,1,-1.0,1377
1815,1,-1.0,1379
1690,1,-1.0,1735
1482,1,-1.0,1525
1649,1,-1.0,1377
1803,1,-1.0,1379
1652,1,-1.0,1703
1595,1,-1.0,1383
1859,1,-1.0,1865
1860,1,-1.0,1867
1937,1,-1.0,1996
1861,1,-1.0,1869
1939,1,-1.0,2000
1862,1,-1.0,1871
1941,1,-1.0,2004
1863,1,-1.0,1873
1943,1,-1.0,2008
1864,1,-1.0,1875
2381,0,-1.0,1369
2384,0,-1.0,1369
2387,0,-1.0,1369
2390,0,-1.0,1369
2393,0,-1.0,1369
2396,0,-1.0,1369
2399,0,-1.0,1369
2402,0,-1.0,1369
2405,0,-1.0,1369
2072,1,-1.0,2099
2408,0,-1.0,1385
2411,0,-1.0,1385
2414,0,-1.0,1385
2417,0,-1.0,1385
2420,0,-1.0,1385
2423,0,-1.0,1385
2426,0,-1.0,1385
2429,0,-1.0,1385
2432,0,-1.0,1385
2073,1,-1.0,2101
2731,0,-1.0,1237
2436,1,1.0,2182
2439,1,1.0,2182
2442,1,1.0,2182
2445,1,1.0,2182
2448,1,1.0,2182
2451,1,1.0,2182
2454,1,1.0,2182
2457,1,1.0,2182
2460,1,1.0,2182
2463,1,1.0,2182
2466,1,1.0,2182
2469,1,1.0,2182
2472,1,1.0,2182
2475,1,1.0,2182
2074,1,-1.0,2103
2943,0,1.0,1220
2746,0,1.0,1130
2479,0,-1.0,1147
2483,1,1.0,2183
2485,1,1.0,2183
2486,0,-1.0,1147
2490,1,1.0,2183
2492,1,1.0,2183
2493,0,-1.0,1147
2075,1,-1.0,2105
2496,0,-1.0,1149
2076,1,-1.0,2107
2077,1,-1.0,2109
2078,1,-1.0,2111
2079,1,-1.0,2113
2080,1,-1.0,2115
2525,0,-1.0,9
2081,1,-1.0,2117
2527,0,-1.0,9
2082,1,-1.0,2119
2529,0,-1.0,9
2083,1,-1.0,2121
2531,0,-1.0,9
2084,1,-1.0,2123
2533,0,-1.0,9
2085,1,-1.0,2125
2086,1,-1.0,2127
2281,1,-1.0,2537
2087,1,-1.0,2129
2541,0,-1.0,9
2543,0,-1.0,9
2545,0,-1.0,9
2547,0,-1.0,9
2549,0,-1.0,9
2551,0,-1.0,9
2553,0,-1.0,9
2088,1,-1.0,2131
2089,1,-1.0,2133
2625,0,-1.0,9
2090,1,-1.0,2135
2091,1,-1.0,2137
2092,1,-1.0,2139
2093,1,-1.0,2141
2094,1,-1.0,2143
2095,1,-1.0,2145
2096,1,-1.0,2147
2669,1,1.0,2068
2673,1,1.0,2068
2677,1,1.0,2068
2681,1,1.0,2068
2693,1,1.0,2068
2097,1,-1.0,2149
3113,1,1.0,3026
3101,1,-1.0,3059
3027,1,-1.0,3038
3086,0,-1.0,1375
3087,0,-1.0,1375
3028,1,-1.0,3040
3075,0,1.0,261
3091,0,-1.0,1375
3092,0,-1.0,1375
3029,1,-1.0,3042
3120,1,1.0,3026
3110,1,-1.0,3059
3030,1,-1.0,3044
3127,0,-1.0,9
3164,1,1.0,3141
3160,1,-1.0,3155
3142,1,-1.0,3147
3166,0,-1.0,9
3143,1,-1.0,3149
3190,0,1.0,34
3168,1,-1.0,3176
3169,1,-1.0,3178
3204,0,-1.0,1375
3205,0,-1.0,1375
3170,1,-1.0,3180
