src,dst
298,3180
223,345
1021,705
1500,1371
1569,580
1176,1381
487,2004
3116,3044
667,261
2013,508
3003,605
613,1871
1247,9
1453,34
744,3040
2934,3147
444,1235
2055,2113
1347,3044
382,212
2576,257
473,84
1562,1147
1843,1875
3222,148
2859,194
2042,1237
378,212
1985,2121
1842,131
3105,2145
2995,344
2658,1387
2555,2111
1310,2119
1077,84
1011,1369
1876,264
2642,1083
2208,605
3046,148
2253,131
1308,2105
354,1875
1974,1081
863,84
3109,2139
2759,1875
844,84
34,1525
2102,344
1751,2105
2156,3026
2587,3038
148,2008
2508,2103
1025,1257
2179,705
2444,263
2507,3178
3125,2115
2988,2149
1291,1379
2935,1083
3011,258
1078,1875
1320,2111
674,256
1184,1220
189,1387
916,3038
1107,34
607,3180
1298,1379
1781,1387
253,2145
584,1873
589,1220
2052,3026
3023,2135
668,131
638,2103
2172,131
2937,2149
1609,1130
1695,2008
592,1237
526,1375
541,1871
3015,2129
1320,2137
2107,2103
2726,1385
3133,1703
619,2113
584,263
1271,262
1247,34
1250,2099
2859,1147
2339,1377
3219,3155
2826,148
248,1385
2169,1873
1706,2127
2745,3044
1398,1996
1798,34
1194,36
1086,1383
1163,258
1982,2105
553,2537
1329,1145
1509,1375
773,343
137,263
1506,1081
1066,1220
776,342
469,2537
2260,3025
2039,3025
2552,1387
953,2139
1672,3059
1432,2135
321,345
1823,2004
557,582
249,2139
3174,2182
1317,2135
3033,3149
3138,262
2811,261
1356,1869
2068,258
2919,2008
508,1373
974,2149
1964,1381
963,36
917,3038
585,262
1238,343
1107,2182
398,499
815,2115
516,1221
746,343
2056,3155
640,2113
1556,255
2556,3178
2941,1149
1509,1257
3077,1369
2557,3178
1425,342
813,3026
360,1369
140,208
446,3180
2939,344
1680,1235
1088,1149
714,2131
1124,2123
1757,2131
976,704
2101,3147
105,2129
1762,341
850,84
1994,1149
3180,341
438,2068
2144,2101
652,261
2514,2537
513,3044
1844,1875
2235,1865
234,3147
2,2133
3129,2141
175,148
1644,258
1504,576
589,2004
1904,2111
1516,35
2568,3025
1267,343
2052,1735
2317,343
486,131
2739,1383
2145,2107
1599,345
3082,35
265,3059
2608,3042
1379,1081
2819,2123
2945,1149
20,264
3015,212
197,208
701,258
2570,2139
772,131
718,2123
2916,36
2609,2123
320,3059
2160,2068
3020,257
2214,2119
1031,263
2424,2109
2719,2121
465,34
662,131
2758,2133
77,499
1433,255
2102,2183
3159,2103
1665,3178
1466,1130
1351,260
2993,212
754,3147
364,1869
1958,1871
2771,1257
1012,1383
1149,250
926,2119
1984,212
3064,2068
762,2149
241,255
2869,3040
2768,2147
1584,1385
3015,1377
2888,264
2139,2115
2516,264
1103,1383
476,36
81,263
1877,257
1307,580
1191,499
3042,1703
62,2068
649,704
1493,9
442,2113
444,2101
2630,254
2777,344
1071,2131
3145,1381
2703,3026
50,2004
2597,2143
2188,36
1114,1237
83,190
3017,706
2955,2111
26,704
1023,258
2235,605
2833,2109
3071,2008
750,1220
357,250
1528,261
1375,582
2613,263
2177,262
257,2008
1857,2131
3184,2105
1288,1237
1362,576
3207,1371
630,580
1461,508
3000,35
902,1375
2842,262
2101,499
2477,508
22,3025
1147,1149
3150,3042
1800,2101
1613,343
1525,2145
1908,3149
60,194
1232,1996
3000,1875
847,2107
2317,3155
1980,3141
1832,605
1442,2068
138,3176
255,1130
531,2141
1762,2131
1455,3149
2773,3059
2650,131
2973,605
206,2149
3007,256
427,499
1380,36
289,257
1907,1869
426,2129
501,1996
2900,2129
1057,131
1709,2139
2123,9
1754,582
1496,256
34,2127
2603,2107
2891,212
1536,3155
2580,1147
1016,194
3133,190
1638,706
2903,582
545,260
700,508
433,2004
955,1081
3121,3026
283,1871
666,706
772,344
1658,2127
2339,1703
519,1373
649,344
1299,2101
2234,2113
639,1373
773,255
3152,212
1332,2135
2896,1130
3103,3042
2580,1387
1199,582
492,1873
1893,2000
2668,2121
1802,2145
67,499
2382,212
836,257
1975,255
3210,260
2057,508
2128,2131
1006,1703
476,9
256,1867
188,258
619,506
1036,2004
2605,2117
1520,1147
3217,3149
1746,3038
565,148
4,2131
402,1385
395,2127
230,1081
1476,1369
2386,1703
249,34
2949,3147
665,580
101,259
648,36
3095,1221
26,263
1254,258
2785,2103
724,1703
309,1371
2570,2537
1112,2000
2654,2149
1527,3141
2235,704
1328,263
1288,1145
2723,1875
463,346
2546,582
427,254
2763,190
588,254
2814,2131
1189,1869
689,1373
903,3180
140,2143
1448,257
2991,3178
630,2107
456,2103
2295,1083
2989,2135
1403,1383
2759,1735
3141,3147
3107,1869
323,603
2642,2105
2471,1081
269,1375
372,344
540,1703
825,1867
409,705
2772,190
1734,1145
1344,580
494,2537
2252,605
237,1871
1322,1865
1217,1221
3117,2101
9,1875
1162,341
2068,1379
265,3180
1810,603
2802,1869
2922,3042
289,3180
1677,499
1247,2113
2596,2101
2643,1379
444,1083
2780,1147
1784,508
2131,2123
189,256
539,3025
423,2147
1274,499
1456,255
2198,2149
1714,1221
2736,1235
2157,1373
1739,256
245,576
59,131
1653,1869
2311,3180
3054,1381
2165,263
2730,2099
1719,2139
95,2123
2854,2143
2711,580
3095,343
1505,341
296,2139
915,2105
1683,3141
927,1875
1537,1387
338,605
2173,3155
1363,1383
1021,250
1241,2129
647,2141
1521,2111
1978,1371
189,250
3014,131
2121,2145
792,1081
2900,1145
2991,3025
1757,190
1776,1130
1011,2103
70,2000
1264,1873
1593,9
