src,same_file,jaccard_val,dst
1684,0,-1,3149
176,0,-1,2109
1860,0,-1,3180
2472,0,-1,84
2094,1,-1,2107
1482,0,0.0,256
2075,1,-1,2101
2362,0,-1,3176
2384,0,0.0,263
90,0,-1,2131
1182,0,-1,2537
888,0,-1,1875
2369,1,-1,2141
2283,0,-1,580
2932,0,-1,148
1929,1,-1,1867
2651,0,-1,1373
1929,0,0.0,264
205,0,0.0,1257
3087,0,0.0,1130
2460,0,-1,3044
2324,1,-1,2131
2097,1,-1,2145
2490,0,-1,3040
2237,0,0.0,3026
846,1,-1,499
2881,0,-1,2004
2573,1,-1,2101
2358,0,0.0,263
2296,0,0.0,256
2371,0,0.0,34
3086,0,-1,1081
2340,0,-1,1081
1931,0,-1,2129
1928,0,-1,2147
2582,1,-1,2129
3102,0,-1,1081
1015,1,0.0,258
2269,0,0.0,261
2269,0,-1,131
562,0,-1,1387
2486,1,-1,2121
2276,0,-1,1865
2294,0,0.0,342
651,0,-1,1873
2227,0,-1,3059
1761,0,0.0,257
2324,0,-1,250
1755,0,0.0,36
2267,0,-1,1735
2275,0,-1,208
2525,0,0.0,256
1725,0,-1,2133
2673,0,-1,1377
2270,1,-1,2121
562,0,0.0,2183
2030,0,-1,580
2676,0,-1,194
2327,0,-1,499
2243,0,0.0,343
3108,0,-1,148
2844,0,0.0,1220
887,0,-1,3180
875,0,-1,3059
2573,1,-1,2131
1815,0,-1,2127
2812,0,-1,1237
2483,0,-1,1735
2319,1,-1,2115
2879,1,-1,2131
3205,0,0.0,36
2344,0,0.0,257
2091,0,-1,1869
2655,0,-1,3059
2359,0,-1,1377
2531,0,-1,212
1761,0,0.0,2183
2490,0,-1,9
1481,0,0.0,35
2824,0,0.0,35
1938,0,-1,2137
1938,0,-1,3044
3190,0,0.0,263
2479,0,-1,3147
2472,0,-1,3147
799,1,-1,506
238,0,0.0,341
2083,0,0.0,342
2820,0,-1,2008
1922,0,-1,2131
660,0,-1,1373
2288,0,-1,190
3086,0,0.0,261
2297,0,-1,1081
2256,0,0.0,1220
960,0,-1,2113
2899,0,0.0,259
2688,1,-1,2149
2693,1,-1,2105
2429,0,-1,506
162,0,-1,1996
800,0,-1,2133
2380,1,-1,2141
3028,0,-1,1867
2286,1,-1,2117
3113,0,-1,212
3101,0,0.0,343
554,0,-1,1383
2336,0,-1,1375
2263,0,0.0,1220
19,0,0.0,1221
2647,0,0.0,1130
2693,1,-1,2107
221,0,-1,2121
2381,0,-1,1385
2338,0,0.0,261
2786,0,-1,3059
2828,1,-1,2137
1929,0,-1,3155
2539,0,-1,1871
2661,1,-1,2107
2296,0,0.0,1221
2337,1,-1,2149
2362,0,0.0,343
2405,1,-1,2119
1579,0,-1,2143
2292,0,-1,9
2850,0,-1,576
3168,0,-1,2143
2804,0,0.0,263
1836,0,0.0,344
2078,0,-1,2000
2087,1,-1,2135
2086,1,-1,2141
3213,0,-1,1235
1924,0,-1,3040
2292,0,-1,580
2036,0,-1,2113
1912,0,-1,1525
723,0,-1,1387
2812,0,-1,1379
947,0,-1,3176
1182,0,-1,2117
660,1,-1,603
1685,0,-1,131
2545,0,-1,576
1121,0,-1,1871
2292,1,-1,2099
2338,0,0.0,3025
2655,1,-1,2131
1182,0,-1,190
2351,0,0.0,3026
1684,0,-1,2147
3102,0,-1,2000
869,0,-1,1371
3161,0,-1,1865
2218,0,-1,1373
651,0,-1,2143
2033,0,0.0,264
1050,0,-1,212
3215,0,-1,2143
2074,0,0.0,34
2080,1,-1,2147
893,0,-1,194
1643,0,-1,2137
2545,0,-1,208
1727,0,-1,2141
3110,0,-1,1871
2525,0,0.0,704
2549,0,-1,1083
2322,0,-1,3155
2094,0,-1,1871
2828,0,-1,1387
2073,0,-1,580
2677,0,-1,1379
