id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,29,29,packages\juice\client.js,0,0
3,VariableDeclaration,nan,-1,-1,-1,3,0,3,39,packages\juice\client.js,0,1
4,VariableDeclaration,nan,-1,-1,-1,4,0,4,46,packages\juice\client.js,0,2
5,VariableDeclaration,nan,-1,-1,-1,15,0,17,3,packages\juice\client.js,0,3
6,VariableDeclaration,nan,-1,-1,-1,19,0,21,1,packages\juice\client.js,0,4
11,AssignmentExpression,nan,-1,-1,-1,23,0,25,1,packages\juice\client.js,0,5
12,AssignmentExpression,nan,-1,-1,-1,27,0,27,43,packages\juice\client.js,0,6
13,AssignmentExpression,nan,-1,-1,-1,29,0,29,28,packages\juice\client.js,0,7
14,MemberExpression,nan,-1,-1,-1,23,0,23,25,packages\juice\client.js,0,8
15,FunctionExpression,nan,-1,3,1,23,28,25,1,packages\juice\client.js,0,9
16,MemberExpression,nan,-1,-1,-1,27,0,27,22,packages\juice\client.js,0,10
17,MemberExpression,nan,-1,-1,-1,27,25,27,43,packages\juice\client.js,0,11
18,MemberExpression,nan,-1,-1,-1,29,0,29,14,packages\juice\client.js,0,12
19,Identifier,juiceClient,-1,-1,-1,29,17,29,28,packages\juice\client.js,0,13
20,Identifier,html,-1,-1,-1,23,37,23,41,packages\juice\client.js,0,14
21,Identifier,css,-1,-1,-1,23,43,23,46,packages\juice\client.js,0,15
22,Identifier,options,-1,-1,-1,23,48,23,55,packages\juice\client.js,0,16
24,BlockStatement,nan,-1,-1,-1,23,57,25,1,packages\juice\client.js,0,17
25,ReturnStatement,nan,1,-1,-1,24,2,24,107,packages\juice\client.js,0,18
26,CallExpression,nan,4,-1,-1,24,9,24,106,packages\juice\client.js,0,19
27,Identifier,html,-1,-1,-1,24,17,24,21,packages\juice\client.js,0,20
28,ObjectExpression,nan,-1,-1,-1,24,23,24,61,packages\juice\client.js,0,21
29,MemberExpression,nan,-1,-1,-1,24,63,24,89,packages\juice\client.js,0,22
30,ArrayExpression,nan,-1,-1,-1,24,91,24,105,packages\juice\client.js,0,23
31,Identifier,cheerio,-1,-1,-1,24,9,24,16,packages\juice\client.js,0,24
32,Program,nan,-1,-1,-1,1,1,69,1,packages\juice\index.js,1,25
34,VariableDeclaration,nan,-1,-1,-1,7,0,7,35,packages\juice\index.js,1,26
