src,dst
88,235
133,211
213,245
200,16
166,235
94,233
147,209
6,15
198,233
184,9
195,168
207,211
313,235
302,213
135,312
76,211
0,15
300,14
94,243
199,213
53,168
210,14
198,243
26,209
128,319
314,237
246,239
112,237
188,213
261,233
65,14
153,241
33,8
71,14
109,312
315,11
255,312
201,15
77,209
176,241
188,8
151,231
53,168
0,213
216,239
245,11
115,13
22,308
129,319
80,241
216,239
54,308
69,319
185,16
150,207
201,213
1,211
111,237
310,243
120,237
95,209
259,241
209,9
75,16
136,235
39,308
119,16
80,13
80,308
38,211
181,18
133,312
30,308
113,235
178,213
217,14
75,16
109,245
31,213
194,233
210,312
139,14
151,237
287,14
59,14
308,209
149,319
319,14
122,245
3,319
96,11
180,207
208,18
66,308
132,243
162,209
172,231
319,241
321,18
57,308
128,207
316,235
153,209
199,209
262,211
320,239
75,9
243,168
74,319
65,14
118,14
124,231
151,243
37,241
202,213
183,237
237,213
200,211
1,209
105,319
150,213
178,241
72,209
1,241
115,168
190,308
127,237
306,11
106,243
28,243
202,209
161,239
176,18
98,13
287,207
263,231
93,213
86,241
105,312
242,209
257,235
33,239
303,13
210,233
319,241
160,9
156,18
19,13
283,239
60,211
183,16
141,243
175,239
139,213
323,233
184,18
221,11
119,9
310,308
281,319
175,312
126,243
174,312
109,15
215,237
265,15
88,243
168,245
253,245
190,213
245,11
119,16
233,15
54,245
216,233
49,231
169,11
96,14
131,211
263,211
233,207
110,211
249,168
101,18
22,207
315,308
70,15
174,18
26,209
292,13
56,233
262,319
128,319
62,312
303,16
324,11
282,213
63,308
173,241
181,243
154,13
160,237
8,168
124,239
162,213
219,233
85,13
241,239
66,8
63,241
160,209
42,207
99,16
298,168
76,241
218,13
316,231
238,237
195,237
315,9
132,235
187,241
255,14
299,237
78,207
131,209
297,11
220,9
70,207
297,168
76,237
187,241
55,15
239,209
202,211
212,9
172,245
179,207
69,15
177,237
26,239
163,14
151,312
7,237
220,211
146,11
222,241
281,207
187,211
30,319
146,15
85,213
238,319
