id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,1,60,packages\karma-chrome-launcher\commitlint.config.js,0,0
3,AssignmentExpression,nan,-1,-1,-1,1,0,1,60,packages\karma-chrome-launcher\commitlint.config.js,0,1
4,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\karma-chrome-launcher\commitlint.config.js,0,2
5,ObjectExpression,nan,-1,-1,-1,1,17,1,60,packages\karma-chrome-launcher\commitlint.config.js,0,3
6,Program,nan,-1,-1,-1,1,0,339,1,packages\karma-chrome-launcher\index.js,1,4
7,VariableDeclaration,nan,-1,-1,-1,1,0,1,22,packages\karma-chrome-launcher\index.js,1,5
8,VariableDeclaration,nan,-1,-1,-1,2,0,2,26,packages\karma-chrome-launcher\index.js,1,6
9,VariableDeclaration,nan,-1,-1,-1,3,0,3,28,packages\karma-chrome-launcher\index.js,1,7
10,FunctionDeclaration,nan,-1,1,1,5,0,7,1,packages\karma-chrome-launcher\index.js,1,8
11,FunctionDeclaration,nan,-1,1,1,9,0,18,1,packages\karma-chrome-launcher\index.js,1,9
12,VariableDeclaration,nan,-1,-1,-1,20,0,52,1,packages\karma-chrome-launcher\index.js,1,10
13,FunctionDeclaration,nan,-1,1,1,55,0,74,1,packages\karma-chrome-launcher\index.js,1,11
14,VariableDeclaration,nan,-1,-1,-1,76,0,101,1,packages\karma-chrome-launcher\index.js,1,12
15,FunctionDeclaration,nan,-1,1,1,104,0,123,1,packages\karma-chrome-launcher\index.js,1,13
16,FunctionDeclaration,nan,-1,1,1,125,0,140,1,packages\karma-chrome-launcher\index.js,1,14
17,FunctionDeclaration,nan,-1,1,1,142,0,154,1,packages\karma-chrome-launcher\index.js,1,15
20,FunctionDeclaration,nan,-1,3,1,169,0,183,1,packages\karma-chrome-launcher\index.js,1,16
21,VariableDeclaration,nan,-1,-1,-1,185,0,192,1,packages\karma-chrome-launcher\index.js,1,17
24,FunctionDeclaration,nan,-1,3,1,207,0,220,1,packages\karma-chrome-launcher\index.js,1,18
25,VariableDeclaration,nan,-1,-1,-1,222,0,229,1,packages\karma-chrome-launcher\index.js,1,19
28,VariableDeclaration,nan,-1,-1,-1,244,0,251,1,packages\karma-chrome-launcher\index.js,1,20
33,VariableDeclaration,nan,-1,-1,-1,281,0,288,1,packages\karma-chrome-launcher\index.js,1,21
35,VariableDeclaration,nan,-1,-1,-1,303,0,313,1,packages\karma-chrome-launcher\index.js,1,22
40,Identifier,isJSFlags,-1,-1,-1,5,9,5,18,packages\karma-chrome-launcher\index.js,1,23
41,Identifier,flag,-1,-1,-1,5,20,5,24,packages\karma-chrome-launcher\index.js,1,24
43,BlockStatement,nan,-1,-1,-1,5,26,7,1,packages\karma-chrome-launcher\index.js,1,25
44,Identifier,sanitizeJSFlags,-1,-1,-1,9,9,9,24,packages\karma-chrome-launcher\index.js,1,26
45,Identifier,flag,-1,-1,-1,9,26,9,30,packages\karma-chrome-launcher\index.js,1,27
47,BlockStatement,nan,-1,-1,-1,9,32,18,1,packages\karma-chrome-launcher\index.js,1,28
48,Identifier,getChromeExe,-1,-1,-1,55,9,55,21,packages\karma-chrome-launcher\index.js,1,29
49,Identifier,chromeDirName,-1,-1,-1,55,23,55,36,packages\karma-chrome-launcher\index.js,1,30
51,BlockStatement,nan,-1,-1,-1,55,38,74,1,packages\karma-chrome-launcher\index.js,1,31
52,Identifier,getChromiumExe,-1,-1,-1,104,9,104,23,packages\karma-chrome-launcher\index.js,1,32
53,Identifier,chromeDirName,-1,-1,-1,104,25,104,38,packages\karma-chrome-launcher\index.js,1,33
55,BlockStatement,nan,-1,-1,-1,104,40,123,1,packages\karma-chrome-launcher\index.js,1,34
56,Identifier,getBin,-1,-1,-1,125,9,125,15,packages\karma-chrome-launcher\index.js,1,35
57,Identifier,commands,-1,-1,-1,125,17,125,25,packages\karma-chrome-launcher\index.js,1,36
59,BlockStatement,nan,-1,-1,-1,125,27,140,1,packages\karma-chrome-launcher\index.js,1,37
60,Identifier,getChromeDarwin,-1,-1,-1,142,9,142,24,packages\karma-chrome-launcher\index.js,1,38
61,Identifier,defaultPath,-1,-1,-1,142,26,142,37,packages\karma-chrome-launcher\index.js,1,39
63,BlockStatement,nan,-1,-1,-1,142,39,154,1,packages\karma-chrome-launcher\index.js,1,40
64,AssignmentExpression,nan,-1,-1,-1,156,0,165,1,packages\karma-chrome-launcher\index.js,1,41
65,AssignmentExpression,nan,-1,-1,-1,167,0,167,56,packages\karma-chrome-launcher\index.js,1,42
66,Identifier,headlessGetOptions,-1,-1,-1,169,9,169,27,packages\karma-chrome-launcher\index.js,1,43
67,Identifier,url,-1,-1,-1,169,29,169,32,packages\karma-chrome-launcher\index.js,1,44
68,Identifier,args,-1,-1,-1,169,34,169,38,packages\karma-chrome-launcher\index.js,1,45
69,Identifier,parent,-1,-1,-1,169,40,169,46,packages\karma-chrome-launcher\index.js,1,46
71,BlockStatement,nan,-1,-1,-1,169,48,183,1,packages\karma-chrome-launcher\index.js,1,47
72,AssignmentExpression,nan,-1,-1,-1,194,0,203,1,packages\karma-chrome-launcher\index.js,1,48
73,AssignmentExpression,nan,-1,-1,-1,205,0,205,64,packages\karma-chrome-launcher\index.js,1,49
74,Identifier,canaryGetOptions,-1,-1,-1,207,9,207,25,packages\karma-chrome-launcher\index.js,1,50
75,Identifier,url,-1,-1,-1,207,27,207,30,packages\karma-chrome-launcher\index.js,1,51
76,Identifier,args,-1,-1,-1,207,32,207,36,packages\karma-chrome-launcher\index.js,1,52
77,Identifier,parent,-1,-1,-1,207,38,207,44,packages\karma-chrome-launcher\index.js,1,53
79,BlockStatement,nan,-1,-1,-1,207,46,220,1,packages\karma-chrome-launcher\index.js,1,54
80,AssignmentExpression,nan,-1,-1,-1,231,0,240,1,packages\karma-chrome-launcher\index.js,1,55
81,AssignmentExpression,nan,-1,-1,-1,242,0,242,62,packages\karma-chrome-launcher\index.js,1,56
82,AssignmentExpression,nan,-1,-1,-1,253,0,262,1,packages\karma-chrome-launcher\index.js,1,57
83,AssignmentExpression,nan,-1,-1,-1,264,0,264,70,packages\karma-chrome-launcher\index.js,1,58
84,AssignmentExpression,nan,-1,-1,-1,266,0,277,1,packages\karma-chrome-launcher\index.js,1,59
85,AssignmentExpression,nan,-1,-1,-1,279,0,279,58,packages\karma-chrome-launcher\index.js,1,60
86,AssignmentExpression,nan,-1,-1,-1,290,0,301,1,packages\karma-chrome-launcher\index.js,1,61
87,AssignmentExpression,nan,-1,-1,-1,315,0,319,1,packages\karma-chrome-launcher\index.js,1,62
88,AssignmentExpression,nan,-1,-1,-1,321,0,321,57,packages\karma-chrome-launcher\index.js,1,63
89,AssignmentExpression,nan,-1,-1,-1,324,0,332,1,packages\karma-chrome-launcher\index.js,1,64
90,AssignmentExpression,nan,-1,-1,-1,334,0,339,1,packages\karma-chrome-launcher\index.js,1,65
91,ReturnStatement,nan,1,-1,-1,6,2,6,42,packages\karma-chrome-launcher\index.js,1,66
92,VariableDeclaration,nan,-1,-1,-1,10,2,10,43,packages\karma-chrome-launcher\index.js,1,67
93,IfStatement,nan,-1,-1,-1,11,2,13,3,packages\karma-chrome-launcher\index.js,1,68
94,VariableDeclaration,nan,-1,-1,-1,14,2,14,26,packages\karma-chrome-launcher\index.js,1,69
95,VariableDeclaration,nan,-1,-1,-1,15,2,15,43,packages\karma-chrome-launcher\index.js,1,70
96,VariableDeclaration,nan,-1,-1,-1,16,2,16,55,packages\karma-chrome-launcher\index.js,1,71
97,ReturnStatement,nan,1,-1,-1,17,2,17,66,packages\karma-chrome-launcher\index.js,1,72
98,IfStatement,nan,-1,-1,-1,57,2,59,3,packages\karma-chrome-launcher\index.js,1,73
99,VariableDeclaration,nan,-1,-1,-1,60,2,60,39,packages\karma-chrome-launcher\index.js,1,74
100,VariableDeclaration,nan,-1,-1,-1,61,2,61,73,packages\karma-chrome-launcher\index.js,1,75
101,VariableDeclaration,nan,-1,-1,-1,62,2,62,129,packages\karma-chrome-launcher\index.js,1,76
102,ForStatement,nan,-1,-1,-1,64,2,71,3,packages\karma-chrome-launcher\index.js,1,77
103,ReturnStatement,nan,1,-1,-1,73,2,73,31,packages\karma-chrome-launcher\index.js,1,78
104,IfStatement,nan,-1,-1,-1,106,2,108,3,packages\karma-chrome-launcher\index.js,1,79
105,VariableDeclaration,nan,-1,-1,-1,109,2,109,41,packages\karma-chrome-launcher\index.js,1,80
106,VariableDeclaration,nan,-1,-1,-1,110,2,110,52,packages\karma-chrome-launcher\index.js,1,81
107,VariableDeclaration,nan,-1,-1,-1,111,2,111,129,packages\karma-chrome-launcher\index.js,1,82
108,ForStatement,nan,-1,-1,-1,113,2,120,3,packages\karma-chrome-launcher\index.js,1,83
109,ReturnStatement,nan,1,-1,-1,122,2,122,33,packages\karma-chrome-launcher\index.js,1,84
110,IfStatement,nan,-1,-1,-1,127,2,129,3,packages\karma-chrome-launcher\index.js,1,85
111,VariableDeclaration,nan,-1,-1,-1,130,2,130,12,packages\karma-chrome-launcher\index.js,1,86
112,ForStatement,nan,-1,-1,-1,131,2,138,3,packages\karma-chrome-launcher\index.js,1,87
113,ReturnStatement,nan,1,-1,-1,139,2,139,12,packages\karma-chrome-launcher\index.js,1,88
114,IfStatement,nan,-1,-1,-1,143,2,145,3,packages\karma-chrome-launcher\index.js,1,89
115,TryStatement,nan,-1,-1,-1,147,2,153,3,packages\karma-chrome-launcher\index.js,1,90
116,MemberExpression,nan,-1,-1,-1,156,0,156,23,packages\karma-chrome-launcher\index.js,1,91
117,ObjectExpression,nan,-1,-1,-1,156,26,165,1,packages\karma-chrome-launcher\index.js,1,92
118,MemberExpression,nan,-1,-1,-1,167,0,167,21,packages\karma-chrome-launcher\index.js,1,93
119,ArrayExpression,nan,-1,-1,-1,167,24,167,56,packages\karma-chrome-launcher\index.js,1,94
120,VariableDeclaration,nan,-1,-1,-1,170,2,174,4,packages\karma-chrome-launcher\index.js,1,95
121,VariableDeclaration,nan,-1,-1,-1,176,2,178,3,packages\karma-chrome-launcher\index.js,1,96
122,ReturnStatement,nan,1,-1,-1,180,2,182,57,packages\karma-chrome-launcher\index.js,1,97
123,MemberExpression,nan,-1,-1,-1,194,0,194,31,packages\karma-chrome-launcher\index.js,1,98
124,ObjectExpression,nan,-1,-1,-1,194,34,203,1,packages\karma-chrome-launcher\index.js,1,99
125,MemberExpression,nan,-1,-1,-1,205,0,205,29,packages\karma-chrome-launcher\index.js,1,100
126,ArrayExpression,nan,-1,-1,-1,205,32,205,64,packages\karma-chrome-launcher\index.js,1,101
127,VariableDeclaration,nan,-1,-1,-1,209,2,209,30,packages\karma-chrome-launcher\index.js,1,102
128,VariableDeclaration,nan,-1,-1,-1,210,2,210,20,packages\karma-chrome-launcher\index.js,1,103
129,VariableDeclaration,nan,-1,-1,-1,211,2,211,44,packages\karma-chrome-launcher\index.js,1,104
131,ReturnStatement,nan,1,-1,-1,219,2,219,87,packages\karma-chrome-launcher\index.js,1,105
132,MemberExpression,nan,-1,-1,-1,231,0,231,29,packages\karma-chrome-launcher\index.js,1,106
133,ObjectExpression,nan,-1,-1,-1,231,32,240,1,packages\karma-chrome-launcher\index.js,1,107
134,MemberExpression,nan,-1,-1,-1,242,0,242,27,packages\karma-chrome-launcher\index.js,1,108
135,ArrayExpression,nan,-1,-1,-1,242,30,242,62,packages\karma-chrome-launcher\index.js,1,109
136,MemberExpression,nan,-1,-1,-1,253,0,253,37,packages\karma-chrome-launcher\index.js,1,110
137,ObjectExpression,nan,-1,-1,-1,253,40,262,1,packages\karma-chrome-launcher\index.js,1,111
138,MemberExpression,nan,-1,-1,-1,264,0,264,35,packages\karma-chrome-launcher\index.js,1,112
139,ArrayExpression,nan,-1,-1,-1,264,38,264,70,packages\karma-chrome-launcher\index.js,1,113
140,MemberExpression,nan,-1,-1,-1,266,0,266,25,packages\karma-chrome-launcher\index.js,1,114
141,ObjectExpression,nan,-1,-1,-1,266,28,277,1,packages\karma-chrome-launcher\index.js,1,115
142,MemberExpression,nan,-1,-1,-1,279,0,279,23,packages\karma-chrome-launcher\index.js,1,116
143,ArrayExpression,nan,-1,-1,-1,279,26,279,58,packages\karma-chrome-launcher\index.js,1,117
144,MemberExpression,nan,-1,-1,-1,290,0,290,33,packages\karma-chrome-launcher\index.js,1,118
145,ObjectExpression,nan,-1,-1,-1,290,36,301,1,packages\karma-chrome-launcher\index.js,1,119
146,MemberExpression,nan,-1,-1,-1,315,0,315,24,packages\karma-chrome-launcher\index.js,1,120
