src,same_file,jaccard_val,dst
55,0,1.0,265
55,0,-1.0,42
137,1,1.0,83
203,0,-1.0,635
203,0,-1.0,629
203,0,-1.0,624
203,0,-1.0,619
203,0,-1.0,613
203,0,-1.0,602
203,0,-1.0,596
203,0,-1.0,592
111,1,1.0,91
207,0,-1.0,635
207,0,-1.0,629
207,0,-1.0,624
207,0,-1.0,619
207,0,-1.0,613
207,0,-1.0,602
207,0,-1.0,596
207,0,-1.0,592
256,0,-1.0,635
256,0,-1.0,629
256,0,-1.0,624
256,0,-1.0,619
256,0,-1.0,613
256,0,-1.0,602
256,0,-1.0,596
256,0,-1.0,592
179,1,-1.0,196
367,0,1.0,19
355,1,-1.0,358
369,0,1.0,21
371,0,1.0,19
373,0,1.0,21
356,1,-1.0,360
375,0,1.0,21
376,0,1.0,19
377,0,1.0,19
357,1,-1.0,362
351,1,-1.0,352
420,0,-1.0,48
421,0,-1.0,49
422,0,-1.0,50
406,1,-1.0,409
407,1,-1.0,411
408,1,-1.0,413
397,1,-1.0,398
445,0,-1.0,42
442,1,-1.0,443
437,1,-1.0,439
571,0,-1.0,142
571,0,-1.0,145
571,0,-1.0,112
486,1,-1.0,496
572,0,-1.0,142
572,0,-1.0,145
572,0,-1.0,112
487,1,-1.0,498
575,0,-1.0,142
575,0,-1.0,145
575,0,-1.0,112
488,1,-1.0,500
578,0,-1.0,142
578,0,-1.0,145
578,0,-1.0,112
489,1,-1.0,502
579,0,-1.0,142
579,0,-1.0,145
579,0,-1.0,112
490,1,-1.0,504
491,1,-1.0,506
581,0,1.0,21
582,0,-1.0,142
582,0,-1.0,145
582,0,-1.0,112
492,1,-1.0,508
583,0,1.0,21
584,0,-1.0,142
584,0,-1.0,145
584,0,-1.0,112
493,1,-1.0,510
585,0,1.0,21
586,0,-1.0,142
586,0,-1.0,145
586,0,-1.0,112
494,1,-1.0,512
589,0,-1.0,142
589,0,-1.0,145
589,0,-1.0,112
495,1,-1.0,514
473,1,-1.0,474
727,0,1.0,267
718,1,-1.0,721
731,1,-1.0,735
732,1,-1.0,737
719,1,-1.0,723
757,0,1.0,265
758,0,1.0,266
733,1,-1.0,739
763,0,1.0,266
734,1,-1.0,741
720,1,-1.0,725
714,1,-1.0,715
816,1,-1.0,820
1063,1,-1.0,1226
858,1,-1.0,929
859,1,-1.0,931
860,1,-1.0,933
861,1,-1.0,935
862,1,-1.0,937
1082,1,-1.0,1249
863,1,-1.0,939
1091,1,-1.0,1259
864,1,-1.0,941
1100,1,-1.0,1269
865,1,-1.0,943
1111,1,-1.0,1284
866,1,-1.0,945
867,1,-1.0,947
1125,1,-1.0,1302
868,1,-1.0,949
869,1,-1.0,951
1141,1,-1.0,1319
870,1,-1.0,953
1147,1,-1.0,1327
871,1,-1.0,955
1152,1,-1.0,1333
872,1,-1.0,957
1158,1,-1.0,1340
873,1,-1.0,959
1167,1,-1.0,1350
874,1,-1.0,961
1179,1,-1.0,1368
875,1,-1.0,963
1188,1,-1.0,1381
876,1,-1.0,965
1196,1,-1.0,1392
877,1,-1.0,967
1204,1,-1.0,1401
878,1,-1.0,969
817,1,-1.0,822
786,1,-1.0,787
1609,0,1.0,329
1598,1,-1.0,1600
1612,0,1.0,329
1613,0,1.0,329
1599,1,-1.0,1602
1594,1,-1.0,1595
