src,dst
1378,737
87,820
1581,182
1112,737
1035,360
1406,1368
909,504
1590,937
621,142
1136,1600
70,512
1576,955
674,145
511,951
434,933
118,787
543,965
836,1392
472,931
729,949
1006,1269
999,1327
1560,498
1407,83
1354,592
610,142
458,329
1165,481
1554,439
1336,443
155,787
558,1600
9,624
811,119
798,957
988,949
753,413
1235,145
353,723
1235,1302
1536,737
748,1327
379,787
775,820
564,1269
716,735
1484,502
387,721
616,737
775,592
1519,481
840,739
382,362
148,168
160,481
60,265
807,961
87,1249
1486,481
330,735
86,953
257,182
941,715
158,951
1603,119
1556,929
1460,1595
1438,1269
927,443
424,20
1411,496
1071,1392
281,967
307,741
597,929
132,358
759,943
282,502
1018,939
327,596
1538,937
1364,1319
119,715
1340,168
1023,514
197,619
59,613
911,145
960,635
593,933
469,929
16,947
1492,929
809,941
919,398
388,1302
846,1595
182,329
534,1392
268,939
1048,508
576,945
160,1595
1231,723
1361,822
1182,180
1038,739
31,961
175,945
97,1226
1072,20
1330,19
362,965
1219,937
1402,951
1412,965
1245,629
778,439
814,1319
497,267
202,592
143,1381
640,951
1554,510
1579,1333
898,265
213,1368
539,512
1280,1392
843,409
908,969
196,182
25,1319
23,737
77,937
562,168
588,1600
1544,947
323,820
331,496
1131,514
649,715
1202,725
275,969
1433,266
635,619
1221,84
446,1401
1588,439
1016,504
1501,953
224,822
552,506
854,1401
805,635
403,1333
134,822
253,953
830,196
802,510
964,967
1370,602
885,1333
264,963
277,1327
895,358
1387,943
201,947
1321,967
807,957
791,1259
1553,931
1421,715
801,510
1445,502
968,1600
261,735
116,498
29,512
1448,443
1620,953
1486,358
251,957
303,1600
4,443
1486,1340
1433,1249
1217,592
736,735
919,931
1156,963
162,715
328,725
1560,602
48,822
1253,142
243,83
1406,443
1398,91
558,619
778,935
36,943
836,961
885,398
1571,481
972,822
81,514
1387,820
67,91
37,592
1232,510
279,196
197,739
145,735
72,358
211,411
1368,1602
262,961
338,265
1003,592
1305,933
1583,360
401,196
1039,959
338,498
886,1392
773,929
31,739
696,481
615,443
988,943
118,933
1233,725
1433,635
622,514
1401,963
1241,1226
800,500
952,182
610,112
1486,741
37,443
1177,959
803,931
34,142
1330,945
789,820
554,411
929,504
933,943
613,737
785,360
921,1259
390,953
1250,929
789,180
794,592
629,592
444,931
177,21
399,358
1557,1368
157,474
213,352
898,1333
982,265
1027,1340
533,409
99,635
627,84
335,933
313,941
956,1327
1567,1333
1165,1269
1037,619
556,1600
1428,1368
1109,737
709,959
201,929
751,969
242,735
537,947
691,1340
1485,822
1485,496
352,474
1385,619
1395,1392
32,83
301,955
1589,945
269,398
404,1284
1240,439
1524,951
509,961
483,941
990,21
977,84
854,84
276,1350
1481,20
458,725
637,613
793,83
651,500
1414,1401
966,411
968,504
503,1226
945,1340
232,180
134,596
183,360
275,112
539,619
1619,91
181,592
212,1600
898,510
81,931
1047,474
1213,929
551,1333
1213,439
1070,142
1429,514
119,329
92,496
1544,947
953,635
318,119
333,1602
1307,398
294,1381
1462,963
70,1381
591,949
1618,439
634,723
534,1302
239,1340
512,1327
898,739
149,439
681,352
289,1368
1587,629
44,168
483,715
390,1284
1549,1368
929,267
187,822
120,943
912,969
1284,939
103,1340
1400,613
1328,265
418,1284
1249,500
413,1302
738,510
1269,398
709,1340
724,84
243,182
499,496
88,20
911,266
562,735
1565,443
934,145
1487,1302
142,1600
759,20
508,358
772,411
1302,69
641,715
1358,411
539,267
1493,508
573,619
846,398
1602,739
364,1600
552,820
414,1381
1628,723
1299,512
267,506
535,1381
748,1368
1213,945
208,959
409,481
1362,820
1538,965
1494,931
119,145
124,937
1024,592
808,1392
769,624
1097,624
518,1249
1628,180
1320,613
915,957
65,358
1532,119
319,514
458,613
212,629
693,512
1134,741
1223,266
105,502
198,443
1455,119
457,955
809,1595
946,959
78,514
1380,961
19,1392
316,735
855,1226
224,1595
412,929
176,21
1299,1327
1378,1327
1432,1381
590,439
414,1269
612,21
74,943
34,602
811,83
527,723
925,969
1586,329
522,510
1391,635
213,961
1010,1595
1574,358
655,506
1446,943
198,83
154,3
931,266
13,1600
82,1392
645,1226
1488,413
273,1226
554,739
626,721
1009,119
982,398
574,739
1596,822
915,19
291,508
1161,180
884,947
221,949
952,947
951,967
799,1392
426,145
61,84
108,512
565,266
142,265
1128,1226
1524,723
172,411
1,725
1347,739
285,182
507,498
782,957
897,1595
1483,1600
484,929
756,723
1344,1249
940,822
51,439
1235,1284
1560,955
1358,951
1186,937
25,945
1305,91
215,409
344,1340
1622,943
76,957
886,266
988,1401
1341,265
552,935
883,735
921,602
76,84
1452,951
1319,1333
713,329
547,820
1289,1302
403,957
1037,84
930,266
281,969
284,1327
1053,787
128,514
78,937
226,1226
1380,959
1556,196
1563,1226
1293,508
1014,481
1442,360
1620,439
643,951
631,409
1024,1401
1427,951
271,1392
448,723
785,21
1451,398
999,965
1289,329
922,635
769,1319
1053,943
1021,145
1530,510
370,142
604,1259
1351,20
565,723
1362,1249
978,963
35,1302
1365,1284
1200,84
740,931
801,787
934,514
244,142
551,957
272,941
1382,474
554,721
338,329
932,967
946,965
1291,20
1482,362
181,409
1270,1259
1022,951
1508,506
555,961
198,500
909,939
791,168
232,939
173,514
1165,721
1418,20
934,737
151,820
1429,1350
1145,168
1249,1327
1159,947
1542,180
1340,145
1071,474
1215,1249
989,1327
1362,145
484,943
1627,963
542,613
1622,112
1411,949
1337,929
1189,737
116,739
71,502
1330,721
466,1259
1519,1350
1258,596
190,1319
330,439
259,19
497,1319
522,1381
170,439
1132,360
989,83
386,592
1453,352
1283,969
834,409
58,506
38,715
1462,512
1504,69
1551,822
1148,592
522,737
1096,943
28,500
1285,953
1457,741
1051,358
1289,931
1118,398
35,266
796,715
184,1333
1502,474
1582,1284
4,19
1071,112
964,145
1021,963
82,963
650,933
613,1595
403,502
117,961
697,739
553,352
1222,358
807,965
957,266
40,929
940,1333
1520,725
426,474
385,119
75,1600
1224,1600
308,943
58,19
109,953
172,935
289,411
91,953
1001,512
1118,629
500,180
1270,737
1274,943
998,741
132,961
896,943
404,3
92,1392
937,723
1296,362
280,411
723,266
342,21
1407,739
689,1259
1000,949
1296,961
1532,3
942,1302
365,953
396,1226
1563,820
554,739
998,592
1305,496
1528,266
429,822
943,963
636,933
1567,1602
1570,933
647,504
542,1340
218,142
1508,506
919,498
554,602
161,725
514,939
1530,512
949,1284
1426,723
1012,504
899,945
