src,same_file,jaccard_val,dst
858,1,-1,1249
57,0,-1,119
1440,0,0.0,91
104,0,-1,398
677,0,-1,1392
1612,0,-1,1249
1300,1,-1,967
847,1,-1,1340
985,1,-1,1249
493,0,-1,1327
916,1,-1,949
1069,1,-1,935
492,0,0.0,20
586,0,0.0,83
1140,1,-1,822
890,1,-1,1333
1163,0,0.0,266
1117,1,-1,959
1085,0,-1,741
6,0,-1,409
292,0,0.0,19
1212,0,-1,439
1292,0,-1,145
673,0,-1,398
1133,1,-1,1333
1271,0,-1,512
1173,0,-1,352
1236,1,-1,1350
304,0,-1,1226
1275,0,-1,737
660,0,-1,352
731,0,-1,1333
179,0,-1,596
250,0,-1,498
408,0,-1,443
104,0,-1,1381
580,0,-1,1327
376,0,-1,474
422,0,-1,142
122,0,-1,959
1478,1,-1,1259
473,0,-1,1392
1069,0,0.0,21
233,0,-1,409
1550,1,-1,957
910,0,-1,352
1126,1,-1,1269
1558,0,-1,498
1062,1,-1,935
1267,0,0.0,481
1115,0,-1,502
1252,1,-1,929
1290,0,-1,182
1162,0,-1,715
816,1,-1,1269
1086,0,-1,737
1313,0,-1,514
659,0,0.0,267
1090,1,-1,1350
355,0,-1,635
1191,0,-1,737
57,0,-1,196
1505,0,-1,510
1078,0,-1,3
494,1,-1,502
376,0,-1,474
1366,1,-1,941
1157,1,-1,963
1111,0,-1,723
1111,0,-1,506
1124,1,-1,959
865,1,-1,959
664,0,-1,413
1262,0,-1,145
1379,1,-1,951
1220,0,-1,498
1162,1,-1,1392
1352,0,-1,613
659,1,-1,504
1144,1,-1,1381
894,1,-1,931
1188,1,-1,1284
233,0,-1,947
255,0,-1,737
351,1,-1,362
1229,1,-1,953
369,0,0.0,329
416,0,0.0,265
874,0,-1,3
1077,1,-1,939
863,1,-1,1350
589,0,0.0,21
1152,0,-1,498
420,0,-1,358
763,1,-1,725
874,0,-1,512
575,0,-1,820
664,0,-1,1284
1126,0,-1,142
668,0,0.0,20
1151,1,-1,1302
407,0,-1,967
675,0,-1,959
841,1,-1,1249
1229,1,-1,1302
817,1,-1,937
863,0,-1,739
839,1,-1,953
837,1,-1,787
1239,0,-1,502
847,0,0.0,84
1216,1,-1,1249
676,0,-1,409
1397,0,0.0,267
1288,0,-1,512
1615,0,-1,822
368,0,-1,929
1154,0,-1,502
1352,1,-1,941
1100,1,-1,941
1342,1,-1,1327
1141,1,-1,953
1533,0,-1,145
669,0,-1,180
668,0,-1,360
572,0,-1,1269
420,0,0.0,267
207,0,-1,943
237,0,-1,510
1176,0,-1,145
7,0,-1,196
870,0,-1,498
1608,0,-1,969
416,0,-1,820
578,0,-1,1381
571,1,-1,508
1309,0,0.0,481
1094,1,-1,1269
731,0,-1,963
1163,0,-1,112
377,0,-1,602
137,0,-1,613
985,0,-1,168
1352,0,0.0,267
1348,0,-1,602
1195,1,-1,969
676,0,-1,822
1157,0,-1,1600
