id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,20,1,packages\karma-coverage\gruntfile.js,0,0
3,AssignmentExpression,nan,-1,-1,-1,1,0,20,1,packages\karma-coverage\gruntfile.js,0,1
4,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\karma-coverage\gruntfile.js,0,2
5,FunctionExpression,nan,-1,1,0,1,17,20,1,packages\karma-coverage\gruntfile.js,0,3
6,Identifier,grunt,-1,-1,-1,1,27,1,32,packages\karma-coverage\gruntfile.js,0,4
8,BlockStatement,nan,-1,-1,-1,1,34,20,1,packages\karma-coverage\gruntfile.js,0,5
12,CallExpression,nan,1,-1,-1,2,2,2,33,packages\karma-coverage\gruntfile.js,0,6
13,CallExpression,nan,1,-1,-1,3,2,3,35,packages\karma-coverage\gruntfile.js,0,7
14,CallExpression,nan,1,-1,-1,4,2,19,4,packages\karma-coverage\gruntfile.js,0,8
16,MemberExpression,nan,-1,-1,-1,2,2,2,20,packages\karma-coverage\gruntfile.js,0,9
18,MemberExpression,nan,-1,-1,-1,3,2,3,20,packages\karma-coverage\gruntfile.js,0,10
19,ObjectExpression,nan,-1,-1,-1,4,19,19,3,packages\karma-coverage\gruntfile.js,0,11
20,MemberExpression,nan,-1,-1,-1,4,2,4,18,packages\karma-coverage\gruntfile.js,0,12
21,Program,nan,-1,-1,-1,1,0,24,1,packages\karma-coverage\release.config.js,0,13
23,AssignmentExpression,nan,-1,-1,-1,1,0,24,1,packages\karma-coverage\release.config.js,0,14
24,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\karma-coverage\release.config.js,0,15
25,ObjectExpression,nan,-1,-1,-1,1,17,24,1,packages\karma-coverage\release.config.js,0,16
26,Program,nan,-1,-1,-1,4,0,22,1,packages\karma-coverage\lib\coverage-map.js,0,17
27,VariableDeclaration,nan,-1,-1,-1,4,0,4,20,packages\karma-coverage\lib\coverage-map.js,0,18
28,FunctionDeclaration,nan,-1,1,0,6,0,8,1,packages\karma-coverage\lib\coverage-map.js,0,19
29,FunctionDeclaration,nan,-1,0,1,10,0,12,1,packages\karma-coverage\lib\coverage-map.js,0,20
30,FunctionDeclaration,nan,-1,0,0,14,0,16,1,packages\karma-coverage\lib\coverage-map.js,0,21
32,Identifier,add,-1,-1,-1,6,9,6,12,packages\karma-coverage\lib\coverage-map.js,0,22
33,Identifier,coverageObj,-1,-1,-1,6,14,6,25,packages\karma-coverage\lib\coverage-map.js,0,23
35,BlockStatement,nan,-1,-1,-1,6,27,8,1,packages\karma-coverage\lib\coverage-map.js,0,24
36,Identifier,get,-1,-1,-1,10,9,10,12,packages\karma-coverage\lib\coverage-map.js,0,25
38,BlockStatement,nan,-1,-1,-1,10,16,12,1,packages\karma-coverage\lib\coverage-map.js,0,26
39,Identifier,reset,-1,-1,-1,14,9,14,14,packages\karma-coverage\lib\coverage-map.js,0,27
41,BlockStatement,nan,-1,-1,-1,14,18,16,1,packages\karma-coverage\lib\coverage-map.js,0,28
42,AssignmentExpression,nan,-1,-1,-1,18,0,22,1,packages\karma-coverage\lib\coverage-map.js,0,29
44,ReturnStatement,nan,1,-1,-1,11,2,11,20,packages\karma-coverage\lib\coverage-map.js,0,30
46,MemberExpression,nan,-1,-1,-1,18,0,18,14,packages\karma-coverage\lib\coverage-map.js,0,31
47,ObjectExpression,nan,-1,-1,-1,18,17,22,1,packages\karma-coverage\lib\coverage-map.js,0,32
48,AssignmentExpression,nan,-1,-1,-1,7,2,7,45,packages\karma-coverage\lib\coverage-map.js,0,33
49,Identifier,coverageMap,-1,-1,-1,11,9,11,20,packages\karma-coverage\lib\coverage-map.js,0,34
50,AssignmentExpression,nan,-1,-1,-1,15,2,15,18,packages\karma-coverage\lib\coverage-map.js,0,35
51,MemberExpression,nan,-1,-1,-1,7,2,7,31,packages\karma-coverage\lib\coverage-map.js,0,36
52,Identifier,coverageObj,-1,-1,-1,7,34,7,45,packages\karma-coverage\lib\coverage-map.js,0,37
53,Identifier,coverageMap,-1,-1,-1,15,2,15,13,packages\karma-coverage\lib\coverage-map.js,0,38
54,ObjectExpression,nan,-1,-1,-1,15,16,15,18,packages\karma-coverage\lib\coverage-map.js,0,39
55,Program,nan,-1,-1,-1,1,0,29,31,packages\karma-coverage\lib\in-memory-report.js,0,40
56,VariableDeclaration,nan,-1,-1,-1,1,0,1,53,packages\karma-coverage\lib\in-memory-report.js,0,41
57,ClassDeclaration,nan,-1,-1,-1,3,0,26,1,packages\karma-coverage\lib\in-memory-report.js,0,42
60,Identifier,InMemoryReport,-1,-1,-1,3,6,3,20,packages\karma-coverage\lib\in-memory-report.js,0,43
61,ClassBody,nan,-1,-1,-1,3,40,26,1,packages\karma-coverage\lib\in-memory-report.js,0,44
62,AssignmentExpression,nan,-1,-1,-1,27,0,27,33,packages\karma-coverage\lib\in-memory-report.js,0,45
63,AssignmentExpression,nan,-1,-1,-1,29,0,29,31,packages\karma-coverage\lib\in-memory-report.js,0,46
64,MethodDefinition,nan,-1,-1,-1,4,2,7,3,packages\karma-coverage\lib\in-memory-report.js,0,47
65,MethodDefinition,nan,-1,-1,-1,9,2,11,3,packages\karma-coverage\lib\in-memory-report.js,0,48
66,MethodDefinition,nan,-1,-1,-1,13,2,17,3,packages\karma-coverage\lib\in-memory-report.js,0,49
67,MethodDefinition,nan,-1,-1,-1,19,2,25,3,packages\karma-coverage\lib\in-memory-report.js,0,50
68,MemberExpression,nan,-1,-1,-1,27,0,27,19,packages\karma-coverage\lib\in-memory-report.js,0,51
70,MemberExpression,nan,-1,-1,-1,29,0,29,14,packages\karma-coverage\lib\in-memory-report.js,0,52
71,Identifier,InMemoryReport,-1,-1,-1,29,17,29,31,packages\karma-coverage\lib\in-memory-report.js,0,53
