src,dst
0,1
0,2
0,3
3,4
3,5
3,6
3,7
3,8
8,11
8,12
8,13
8,14
8,15
9,16
9,17
10,18
10,19
11,20
12,21
13,22
13,23
14,24
14,25
15,26
15,27
15,28
15,29
17,33
17,34
20,36
21,38
22,39
24,40
25,41
25,42
29,43
30,44
30,45
31,46
31,47
32,48
32,49
34,50
34,51
35,52
37,53
39,54
39,55
39,56
39,57
40,60
41,61
43,62
45,63
45,64
47,65
47,66
47,67
49,68
49,69
49,70
51,71
60,72
62,74
62,75
64,76
67,77
70,78
70,79
71,80
74,81
74,82
76,83
78,84
79,85
80,86
82,87
83,88
83,89
83,90
84,95
86,96
87,97
91,98
91,99
91,100
95,101
95,102
101,103
102,104
102,105
102,106
103,107
105,108
105,109
105,110
111,112
111,113
114,115
114,116
115,117
118,123
118,124
119,125
119,126
120,127
120,128
121,129
121,130
122,131
122,132
123,133
125,134
127,135
129,136
131,137
138,156
138,157
139,158
139,159
140,160
140,161
141,162
141,163
142,164
142,165
143,166
143,167
144,168
144,169
145,170
145,171
146,172
146,173
147,174
147,175
148,176
148,177
149,178
149,179
150,180
150,181
151,182
151,183
152,184
152,185
153,186
153,187
154,188
154,189
155,190
155,191
156,192
158,193
160,194
162,195
164,196
166,197
168,198
170,199
172,200
174,201
176,202
178,203
180,204
182,205
184,206
186,207
188,208
190,209
192,210
193,211
197,212
197,213
198,214
198,215
201,216
201,217
202,218
202,219
205,220
205,221
206,222
206,223
207,224
207,225
226,248
226,249
227,250
228,251
228,252
229,253
230,254
230,255
231,256
231,257
232,258
232,259
233,260
233,261
234,262
234,263
235,264
235,265
235,266
236,267
236,268
237,269
237,270
238,271
238,272
239,273
239,274
240,275
240,276
241,277
241,278
242,279
242,280
243,281
243,282
244,283
244,284
245,285
245,286
246,287
246,288
247,289
247,290
254,295
256,296
258,297
260,298
260,299
262,300
262,301
264,302
264,303
267,304
269,305
275,306
277,307
279,308
279,309
281,310
281,311
283,312
285,313
287,314
289,315
295,316
296,317
297,318
304,319
304,320
305,321
305,322
306,323
306,324
307,325
307,326
312,327
312,328
313,329
313,330
314,331
314,332
315,333
315,334
335,347
335,348
336,349
336,350
337,351
337,352
338,353
338,354
339,355
339,356
340,357
341,358
341,359
342,360
342,361
343,362
343,363
344,364
344,365
345,366
345,367
346,368
346,369
347,370
349,371
351,372
353,373
358,376
358,377
360,378
360,379
366,380
366,381
368,382
368,383
384,386
384,387
385,388
385,389
387,390
389,391
389,392
