src,same_file,jaccard_val,dst
39,1,1.0,3
62,1,-1.0,74
83,1,1.0,15
91,1,-1.0,49
105,1,1.0,15
138,1,-1.0,156
139,1,-1.0,158
118,1,-1.0,123
387,0,1.0,3
335,1,-1.0,347
230,1,-1.0,254
140,1,-1.0,160
389,0,1.0,3
337,1,-1.0,351
231,1,-1.0,256
141,1,-1.0,162
232,1,-1.0,258
142,1,-1.0,164
119,1,-1.0,125
260,0,-1.0,49
262,0,-1.0,49
143,1,-1.0,166
264,0,-1.0,49
144,1,-1.0,168
358,0,-1.0,49
236,1,-1.0,267
145,1,-1.0,170
360,0,-1.0,49
237,1,-1.0,269
146,1,-1.0,172
120,1,-1.0,127
147,1,-1.0,174
148,1,-1.0,176
240,1,-1.0,275
149,1,-1.0,178
241,1,-1.0,277
150,1,-1.0,180
121,1,-1.0,129
279,0,-1.0,47
281,0,-1.0,47
151,1,-1.0,182
312,0,-1.0,47
152,1,-1.0,184
313,0,-1.0,47
153,1,-1.0,186
366,0,-1.0,47
246,1,-1.0,287
154,1,-1.0,188
368,0,-1.0,47
247,1,-1.0,289
155,1,-1.0,190
122,1,-1.0,131
114,1,-1.0,115
