src,same_file,jaccard_val,dst
387,1,-1,176
387,1,-1,158
83,0,-1,160
121,1,-1,287
138,1,-1,125
144,1,-1,277
260,1,-1,188
102,1,0.0,3
243,0,-1,49
366,1,-1,180
235,0,-1,45
154,1,-1,267
387,1,-1,186
341,1,-1,162
148,1,-1,190
86,0,-1,160
143,1,-1,178
335,1,-1,184
244,0,0.0,3
246,1,-1,176
235,1,-1,254
91,0,-1,182
120,1,-1,158
368,1,-1,186
281,1,-1,168
281,1,-1,127
345,0,-1,49
91,0,-1,275
335,1,-1,123
346,1,-1,176
83,1,0.0,3
262,0,-1,45
120,0,-1,74
150,1,-1,184
247,1,-1,156
152,1,-1,277
340,1,-1,182
114,1,-1,267
86,0,-1,162
281,1,-1,172
264,1,-1,347
226,1,-1,115
144,1,-1,180
343,0,-1,51
243,0,-1,47
339,1,-1,186
151,0,0.0,15
60,1,-1,51
119,0,0.0,3
312,1,-1,256
146,1,-1,123
154,1,-1,131
232,1,-1,277
