src,same_file,jaccard_val,dst
885,1,-1,653
688,1,-1,967
1099,1,-1,522
448,0,-1,1045
274,1,-1,359
688,1,-1,534
1102,1,-1,796
846,1,-1,956
564,1,-1,685
511,1,-1,930
274,0,-1,647
844,1,0.0,560
433,0,-1,536
848,0,-1,181
274,1,-1,359
513,1,-1,671
1008,1,-1,520
43,0,0.0,80
565,1,-1,1045
1086,0,-1,381
277,0,-1,989
1068,0,0.0,3
1056,1,-1,661
847,0,-1,92
140,0,-1,946
1095,0,-1,192
864,1,0.1428571428571428,560
424,1,-1,150
860,1,0.19999999999999996,560
588,1,-1,653
265,0,-1,645
716,1,-1,930
517,0,-1,370
167,1,-1,217
235,0,-1,788
690,1,-1,930
1097,1,-1,956
1184,1,-1,939
715,1,-1,633
423,1,-1,183
1097,1,-1,946
874,1,-1,1045
851,1,-1,675
1099,1,-1,673
173,0,-1,647
285,0,-1,877
313,0,0.0,80
174,0,0.0,558
688,0,-1,129
291,0,-1,524
611,0,0.0,79
577,1,-1,532
587,0,-1,394
831,1,-1,796
848,1,-1,671
1106,1,-1,641
302,1,-1,359
43,0,0.0,559
883,0,0.25,3
514,0,-1,208
688,1,-1,524
296,0,-1,534
837,1,0.0,560
854,0,-1,217
465,0,-1,637
313,0,-1,536
426,1,-1,197
716,1,-1,989
735,1,-1,810
1100,0,-1,204
598,0,-1,192
1092,1,-1,643
574,1,-1,661
296,1,-1,144
282,0,-1,661
814,1,-1,920
598,1,-1,920
288,1,-1,204
1092,1,-1,657
1091,1,-1,520
265,0,-1,524
1066,1,-1,796
278,0,-1,946
722,0,-1,208
1105,0,0.0,80
865,1,-1,653
886,1,-1,881
600,0,-1,131
513,1,-1,624
111,0,-1,649
314,1,-1,197
165,0,0.0,80
337,0,-1,645
570,0,-1,204
237,0,-1,661
874,1,-1,653
