id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,29,25,packages\klaw-sync\klaw-sync.js,0,0
3,VariableDeclaration,nan,-1,-1,-1,2,0,2,33,packages\klaw-sync\klaw-sync.js,0,1
4,VariableDeclaration,nan,-1,-1,-1,3,0,3,28,packages\klaw-sync\klaw-sync.js,0,2
5,FunctionDeclaration,nan,-1,3,1,5,0,27,1,packages\klaw-sync\klaw-sync.js,0,3
8,Identifier,klawSync,-1,-1,-1,5,9,5,17,packages\klaw-sync\klaw-sync.js,0,4
9,Identifier,dir,-1,-1,-1,5,19,5,22,packages\klaw-sync\klaw-sync.js,0,5
10,Identifier,opts,-1,-1,-1,5,24,5,28,packages\klaw-sync\klaw-sync.js,0,6
11,Identifier,ls,-1,-1,-1,5,30,5,32,packages\klaw-sync\klaw-sync.js,0,7
13,BlockStatement,nan,-1,-1,-1,5,34,27,1,packages\klaw-sync\klaw-sync.js,0,8
14,AssignmentExpression,nan,-1,-1,-1,29,0,29,25,packages\klaw-sync\klaw-sync.js,0,9
15,IfStatement,nan,-1,-1,-1,6,2,12,3,packages\klaw-sync\klaw-sync.js,0,10
16,VariableDeclaration,nan,-1,-1,-1,13,2,13,69,packages\klaw-sync\klaw-sync.js,0,11
17,ForStatement,nan,-1,-1,-1,14,2,25,3,packages\klaw-sync\klaw-sync.js,0,12
18,ReturnStatement,nan,1,-1,-1,26,2,26,11,packages\klaw-sync\klaw-sync.js,0,13
19,MemberExpression,nan,-1,-1,-1,29,0,29,14,packages\klaw-sync\klaw-sync.js,0,14
20,Identifier,klawSync,-1,-1,-1,29,17,29,25,packages\klaw-sync\klaw-sync.js,0,15
21,BlockStatement,nan,-1,-1,-1,6,11,12,3,packages\klaw-sync\klaw-sync.js,0,16
22,UnaryExpression,nan,1,-1,-1,6,6,6,9,packages\klaw-sync\klaw-sync.js,0,17
24,BlockStatement,nan,-1,-1,-1,14,44,25,3,packages\klaw-sync\klaw-sync.js,0,18
25,Identifier,ls,-1,-1,-1,26,9,26,11,packages\klaw-sync\klaw-sync.js,0,19
