src,dst
0,1
2,3
2,4
3,5
6,8
6,9
7,10
7,11
8,12
10,13
14,16
15,17
18,19
20,21
20,22
22,23
22,24
22,25
22,26
27,28
29,30
29,31
29,32
34,35
34,36
36,37
36,38
38,39
38,40
38,41
38,42
39,43
40,44
41,45
44,48
46,51
46,52
47,54
48,55
49,56
50,58
51,59
53,60
55,61
57,62
57,63
63,64
65,66
65,67
66,68
69,73
69,74
70,75
70,76
71,77
71,78
72,79
72,80
73,81
75,82
77,83
79,84
84,85
85,90
85,91
86,93
86,94
87,95
88,96
89,97
91,98
92,99
92,100
98,101
101,102
