id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,11,3,packages\lazy-ass\test\commonjs.spec.js,1,0
2,VariableDeclaration,nan,-1,-1,-1,1,0,1,35,packages\lazy-ass\test\commonjs.spec.js,1,1
4,CallExpression,nan,2,-1,-1,3,0,11,2,packages\lazy-ass\test\commonjs.spec.js,1,2
6,FunctionExpression,nan,-1,0,0,3,31,11,1,packages\lazy-ass\test\commonjs.spec.js,1,3
7,Identifier,describe,-1,-1,-1,3,0,3,8,packages\lazy-ass\test\commonjs.spec.js,1,4
9,BlockStatement,nan,-1,-1,-1,3,43,11,1,packages\lazy-ass\test\commonjs.spec.js,1,5
12,CallExpression,nan,2,-1,-1,4,2,6,4,packages\lazy-ass\test\commonjs.spec.js,1,6
13,CallExpression,nan,2,-1,-1,8,2,10,4,packages\lazy-ass\test\commonjs.spec.js,1,7
15,FunctionExpression,nan,-1,0,0,4,22,6,3,packages\lazy-ass\test\commonjs.spec.js,1,8
16,Identifier,it,-1,-1,-1,4,2,4,4,packages\lazy-ass\test\commonjs.spec.js,1,9
18,FunctionExpression,nan,-1,0,0,8,14,10,3,packages\lazy-ass\test\commonjs.spec.js,1,10
19,Identifier,it,-1,-1,-1,8,2,8,4,packages\lazy-ass\test\commonjs.spec.js,1,11
21,BlockStatement,nan,-1,-1,-1,4,34,6,3,packages\lazy-ass\test\commonjs.spec.js,1,12
23,BlockStatement,nan,-1,-1,-1,8,26,10,3,packages\lazy-ass\test\commonjs.spec.js,1,13
26,CallExpression,nan,1,-1,-1,5,4,5,44,packages\lazy-ass\test\commonjs.spec.js,1,14
27,CallExpression,nan,2,-1,-1,9,4,9,32,packages\lazy-ass\test\commonjs.spec.js,1,15
29,MemberExpression,nan,-1,-1,-1,5,4,5,18,packages\lazy-ass\test\commonjs.spec.js,1,16
32,Identifier,la,-1,-1,-1,9,4,9,6,packages\lazy-ass\test\commonjs.spec.js,1,17
33,UnaryExpression,nan,1,-1,-1,5,19,5,28,packages\lazy-ass\test\commonjs.spec.js,1,18
35,Identifier,la,-1,-1,-1,5,26,5,28,packages\lazy-ass\test\commonjs.spec.js,1,19
36,Program,nan,-1,-1,-1,1,0,5,18,packages\lazy-ass\test\demo.js,1,20
37,VariableDeclaration,nan,-1,-1,-1,1,0,1,28,packages\lazy-ass\test\demo.js,1,21
38,FunctionDeclaration,nan,-1,2,0,2,0,4,1,packages\lazy-ass\test\demo.js,1,22
40,Identifier,bad,-1,-1,-1,2,9,2,12,packages\lazy-ass\test\demo.js,1,23
41,Identifier,foo,-1,-1,-1,2,13,2,16,packages\lazy-ass\test\demo.js,1,24
42,Identifier,bar,-1,-1,-1,2,18,2,21,packages\lazy-ass\test\demo.js,1,25
44,BlockStatement,nan,-1,-1,-1,2,23,4,1,packages\lazy-ass\test\demo.js,1,26
45,CallExpression,nan,2,-1,-1,5,0,5,17,packages\lazy-ass\test\demo.js,1,27
49,Identifier,bad,-1,-1,-1,5,0,5,3,packages\lazy-ass\test\demo.js,1,28
50,CallExpression,nan,5,-1,-1,3,2,3,67,packages\lazy-ass\test\demo.js,1,29
