src,same_file,jaccard_val,dst
283,0,0.0,631
379,0,-1,638
614,0,-1,469
92,0,-1,435
538,0,-1,605
392,0,0.0,597
538,0,-1,445
247,0,-1,435
615,0,0.0,9
314,0,-1,469
622,0,0.0,164
405,0,-1,514
53,0,-1,266
587,0,-1,413
486,0,-1,494
341,0,-1,638
92,1,0.0,2
718,0,-1,561
63,0,-1,469
429,0,0.0,3
92,0,-1,652
636,0,-1,548
486,0,-1,652
504,1,-1,494
461,0,-1,510
377,0,0.0,322
465,0,-1,639
433,0,-1,561
586,1,-1,518
97,1,0.0,2
479,0,0.125,361
346,0,0.5,397
240,0,-1,638
586,0,0.0,164
105,0,-1,508
538,0,0.0,322
247,0,-1,658
540,1,-1,494
622,0,-1,510
