src,dst
1,2
1,3
4,5
4,6
4,7
4,8
4,9
4,10
4,11
8,12
9,13
9,14
9,15
11,17
11,18
11,19
11,20
15,25
15,26
15,27
16,28
16,29
20,30
20,31
20,32
20,33
20,34
20,35
21,36
21,37
22,38
22,39
25,41
27,42
27,43
29,45
29,46
29,47
30,48
30,49
32,50
34,52
35,54
37,55
37,56
40,57
40,58
44,61
44,62
44,63
50,64
51,66
51,67
53,70
53,71
58,72
58,73
58,74
64,87
65,88
67,89
67,90
71,92
71,93
71,94
74,95
75,96
75,97
75,98
76,99
76,100
76,101
81,102
81,103
85,104
85,105
86,106
86,107
91,110
91,111
107,113
112,116
112,117
112,118
113,119
114,122
114,123
114,124
115,125
115,126
119,127
127,128
128,129
128,130
128,131
128,132
133,134
133,135
133,136
133,137
133,138
133,139
133,140
136,141
136,142
136,143
136,144
136,145
137,146
137,147
137,148
137,149
138,150
138,151
145,154
145,155
149,156
151,157
152,158
152,159
153,160
153,161
155,162
157,168
158,169
160,170
160,171
163,172
163,173
164,174
164,175
165,176
165,177
166,178
166,179
167,180
167,181
168,182
171,183
173,184
175,185
186,189
186,190
187,191
187,192
188,193
188,194
188,195
194,196
195,197
195,198
199,201
199,202
200,203
200,204
201,205
203,206
205,207
205,208
205,209
205,210
205,211
212,220
212,221
213,222
213,223
214,224
214,225
215,226
215,227
216,228
216,229
217,230
218,231
218,232
218,233
219,234
219,235
234,236
234,237
237,238
237,239
239,240
239,241
241,243
241,244
242,245
242,246
242,247
243,249
244,250
246,251
247,252
247,253
248,254
248,255
251,258
251,259
251,260
251,261
251,262
251,263
251,264
269,277
269,278
270,279
270,280
271,281
271,282
272,283
272,284
273,285
273,286
274,287
274,288
275,289
276,290
276,291
276,292
