src,dst
33,137
25,246
220,158
279,203
28,9
103,234
55,138
35,194
98,9
109,137
7,158
121,246
265,11
225,137
258,201
85,194
105,158
50,160
250,246
155,9
259,11
142,201
46,138
99,136
51,9
239,11
58,136
40,234
57,11
157,138
149,194
237,113
117,234
210,9
69,194
80,246
197,138
287,160
194,158
196,136
196,201
100,203
70,246
291,137
68,201
110,158
73,11
238,136
3,234
230,138
46,138
123,201
96,11
77,11
189,58
64,113
156,158
86,234
156,160
278,234
232,158
49,9
286,203
268,203
182,246
46,246
108,11
110,201
233,203
177,246
52,58
82,9
60,203
101,113
132,158
277,11
237,160
267,138
225,201
151,201
10,138
239,194
105,234
38,246
150,203
169,194
255,194
179,194
228,246
95,234
3,158
48,9
16,203
84,11
147,137
131,9
39,137
234,136
267,234
285,194
177,203
40,138
77,201
65,203
70,9
208,113
127,160
210,137
63,137
284,158
139,160
24,160
127,246
158,160
240,113
263,158
292,58
184,158
231,9
254,246
103,194
104,201
277,158
45,234
211,234
97,158
88,160
204,137
149,158
206,137
183,138
138,201
162,11
55,158
17,160
107,234
148,158
0,203
68,11
124,234
132,11
142,136
159,136
194,203
68,58
115,234
251,136
252,136
144,160
9,203
267,136
60,9
180,158
35,136
208,234
256,113
70,158
107,158
122,246
139,160
94,138
290,11
222,58
204,137
91,160
280,58
291,203
70,194
134,138
7,194
18,137
111,136
60,11
78,203
246,234
48,113
87,9
204,201
221,113
109,203
226,136
162,136
121,58
191,194
157,158
132,137
116,158
225,160
290,234
237,234
184,113
267,58
122,158
40,9
82,11
70,9
8,138
184,158
91,138
260,9
82,160
20,194
19,246
126,137
251,234
202,234
40,203
82,203
2,158
280,158
120,138
282,113
61,234
289,11
4,203
169,158
92,11
58,234
183,234
