id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,23,2,packages\make-error\.eslintrc.js,0,0
3,AssignmentExpression,nan,-1,-1,-1,1,0,23,1,packages\make-error\.eslintrc.js,0,1
4,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\make-error\.eslintrc.js,0,2
5,ObjectExpression,nan,-1,-1,-1,1,17,23,1,packages\make-error\.eslintrc.js,0,3
6,Program,nan,-1,-1,-1,3,0,151,30,packages\make-error\index.js,1,4
8,VariableDeclaration,nan,-1,-1,-1,7,0,7,79,packages\make-error\index.js,1,5
9,VariableDeclaration,nan,-1,-1,-1,8,0,8,43,packages\make-error\index.js,1,6
10,VariableDeclaration,nan,-1,-1,-1,12,0,12,48,packages\make-error\index.js,1,7
11,IfStatement,nan,-1,-1,-1,13,0,40,1,packages\make-error\index.js,1,8
12,FunctionDeclaration,nan,-1,1,0,44,0,63,1,packages\make-error\index.js,1,9
14,VariableDeclaration,nan,-1,-1,-1,77,0,91,5,packages\make-error\index.js,1,10
15,FunctionDeclaration,nan,-1,2,1,95,0,149,1,packages\make-error\index.js,1,11
19,BlockStatement,nan,-1,-1,-1,13,37,40,1,packages\make-error\index.js,1,12
21,Identifier,BaseError,-1,-1,-1,44,9,44,18,packages\make-error\index.js,1,13
22,Identifier,message,-1,-1,-1,44,19,44,26,packages\make-error\index.js,1,14
24,BlockStatement,nan,-1,-1,-1,44,28,63,1,packages\make-error\index.js,1,15
25,AssignmentExpression,nan,-1,-1,-1,65,0,72,2,packages\make-error\index.js,1,16
26,Identifier,makeError,-1,-1,-1,95,9,95,18,packages\make-error\index.js,1,17
27,Identifier,constructor,-1,-1,-1,95,19,95,30,packages\make-error\index.js,1,18
28,Identifier,super_,-1,-1,-1,95,32,95,38,packages\make-error\index.js,1,19
30,BlockStatement,nan,-1,-1,-1,95,40,149,1,packages\make-error\index.js,1,20
31,AssignmentExpression,nan,-1,-1,-1,150,0,150,36,packages\make-error\index.js,1,21
32,AssignmentExpression,nan,-1,-1,-1,151,0,151,29,packages\make-error\index.js,1,22
34,Identifier,captureStackTrace,-1,-1,-1,13,4,13,21,packages\make-error\index.js,1,23
35,Identifier,undefined,-1,-1,-1,13,26,13,35,packages\make-error\index.js,1,24
36,IfStatement,nan,-1,-1,-1,45,2,51,3,packages\make-error\index.js,1,25
37,VariableDeclaration,nan,-1,-1,-1,53,2,53,36,packages\make-error\index.js,1,26
38,IfStatement,nan,-1,-1,-1,54,2,60,3,packages\make-error\index.js,1,27
40,MemberExpression,nan,-1,-1,-1,65,0,65,19,packages\make-error\index.js,1,28
41,CallExpression,nan,2,-1,-1,65,22,72,2,packages\make-error\index.js,1,29
42,IfStatement,nan,-1,-1,-1,96,2,100,3,packages\make-error\index.js,1,30
43,VariableDeclaration,nan,-1,-1,-1,102,2,102,11,packages\make-error\index.js,1,31
44,IfStatement,nan,-1,-1,-1,103,2,121,3,packages\make-error\index.js,1,32
46,VariableDeclaration,nan,-1,-1,-1,129,2,135,4,packages\make-error\index.js,1,33
47,IfStatement,nan,-1,-1,-1,139,2,145,3,packages\make-error\index.js,1,34
49,ReturnStatement,nan,1,-1,-1,148,2,148,21,packages\make-error\index.js,1,35
50,Identifier,exports,-1,-1,-1,150,0,150,7,packages\make-error\index.js,1,36
51,AssignmentExpression,nan,-1,-1,-1,150,10,150,36,packages\make-error\index.js,1,37
52,MemberExpression,nan,-1,-1,-1,151,0,151,17,packages\make-error\index.js,1,38
53,Identifier,BaseError,-1,-1,-1,151,20,151,29,packages\make-error\index.js,1,39
54,AssignmentExpression,nan,-1,-1,-1,14,2,39,3,packages\make-error\index.js,1,40
55,BlockStatement,nan,-1,-1,-1,45,29,51,3,packages\make-error\index.js,1,41
57,BlockStatement,nan,-1,-1,-1,54,50,60,3,packages\make-error\index.js,1,42
58,LogicalExpression,nan,-1,-1,-1,54,6,54,48,packages\make-error\index.js,1,43
59,CallExpression,nan,2,-1,-1,62,2,62,43,packages\make-error\index.js,1,44
60,MemberExpression,nan,-1,-1,-1,65,36,65,51,packages\make-error\index.js,1,45
61,ObjectExpression,nan,-1,-1,-1,65,53,72,1,packages\make-error\index.js,1,46
62,MemberExpression,nan,-1,-1,-1,65,22,65,35,packages\make-error\index.js,1,47
63,BlockStatement,nan,-1,-1,-1,96,42,98,3,packages\make-error\index.js,1,48
64,LogicalExpression,nan,-1,-1,-1,96,6,96,40,packages\make-error\index.js,1,49
65,BlockStatement,nan,-1,-1,-1,103,39,119,3,packages\make-error\index.js,1,50
67,AssignmentExpression,nan,-1,-1,-1,127,2,127,52,packages\make-error\index.js,1,51
68,BlockStatement,nan,-1,-1,-1,139,26,145,3,packages\make-error\index.js,1,52
70,AssignmentExpression,nan,-1,-1,-1,146,2,146,69,packages\make-error\index.js,1,53
71,Identifier,constructor,-1,-1,-1,148,9,148,20,packages\make-error\index.js,1,54
72,MemberExpression,nan,-1,-1,-1,150,10,150,24,packages\make-error\index.js,1,55
73,Identifier,makeError,-1,-1,-1,150,27,150,36,packages\make-error\index.js,1,56
74,Identifier,captureStackTrace,-1,-1,-1,14,2,14,19,packages\make-error\index.js,1,57
75,FunctionExpression,nan,-1,1,0,14,22,39,3,packages\make-error\index.js,1,58
77,Identifier,message,-1,-1,-1,45,6,45,13,packages\make-error\index.js,1,59
78,Identifier,undefined,-1,-1,-1,45,18,45,27,packages\make-error\index.js,1,60
82,ThisExpression,nan,-1,-1,-1,62,20,62,24,packages\make-error\index.js,1,61
83,MemberExpression,nan,-1,-1,-1,62,26,62,42,packages\make-error\index.js,1,62
84,Identifier,captureStackTrace,-1,-1,-1,62,2,62,19,packages\make-error\index.js,1,63
90,IfStatement,nan,-1,-1,-1,115,4,118,5,packages\make-error\index.js,1,64
91,UnaryExpression,nan,1,-1,-1,103,6,103,24,packages\make-error\index.js,1,65
93,MemberExpression,nan,-1,-1,-1,127,2,127,20,packages\make-error\index.js,1,66
94,AssignmentExpression,nan,-1,-1,-1,127,23,127,52,packages\make-error\index.js,1,67
96,Identifier,name,-1,-1,-1,139,6,139,10,packages\make-error\index.js,1,68
97,Identifier,undefined,-1,-1,-1,139,15,139,24,packages\make-error\index.js,1,69
98,MemberExpression,nan,-1,-1,-1,146,2,146,23,packages\make-error\index.js,1,70
99,CallExpression,nan,2,-1,-1,146,26,146,69,packages\make-error\index.js,1,71
100,Identifier,captureStackTrace,-1,-1,-1,14,31,14,48,packages\make-error\index.js,1,72
101,Identifier,error,-1,-1,-1,14,49,14,54,packages\make-error\index.js,1,73
103,BlockStatement,nan,-1,-1,-1,14,56,39,3,packages\make-error\index.js,1,74
104,CallExpression,nan,3,-1,-1,46,4,50,6,packages\make-error\index.js,1,75
105,CallExpression,nan,3,-1,-1,55,4,59,6,packages\make-error\index.js,1,76
106,Identifier,cname,-1,-1,-1,54,6,54,11,packages\make-error\index.js,1,77
107,Identifier,undefined,-1,-1,-1,54,16,54,25,packages\make-error\index.js,1,78
108,Identifier,cname,-1,-1,-1,54,29,54,34,packages\make-error\index.js,1,79
109,MemberExpression,nan,-1,-1,-1,54,39,54,48,packages\make-error\index.js,1,80
110,AssignmentExpression,nan,-1,-1,-1,97,4,97,22,packages\make-error\index.js,1,81
111,Identifier,super_,-1,-1,-1,96,6,96,12,packages\make-error\index.js,1,82
113,Identifier,super_,-1,-1,-1,96,24,96,30,packages\make-error\index.js,1,83
114,Identifier,Error,-1,-1,-1,96,35,96,40,packages\make-error\index.js,1,84
115,AssignmentExpression,nan,-1,-1,-1,104,4,104,22,packages\make-error\index.js,1,85
116,AssignmentExpression,nan,-1,-1,-1,105,4,112,11,packages\make-error\index.js,1,86
117,BlockStatement,nan,-1,-1,-1,115,39,118,5,packages\make-error\index.js,1,87
